投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
04/12(金),突撃ちゃん,PR,,,ダーマレーザー,https://www.tiktok.com/@totsugeki_cosme/video/7356904432161787143?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,2003000.0,42.63,770.0,19.0,5.0,0.0,1.0,25,0.03246753247,0.02467532468,0.006493506494,0,0.001298701299,4.5
04/26(金),肌コミちゃん,PR,,,ダーマレーザー,https://www.tiktok.com/@bihadanaritaina/video/7362105635426618640?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,1700000.0,34.09,1500000.0,3407.0,14.0,41.0,183.0,3645,0.00243,0.002271333333,9.333333333e-06,2.733333333e-05,0.000122,3.0
04/19(金),ビビちゃん,通常,,,ハートファンデ,https://www.tiktok.com/@bibichan_cosme/video/7359517557184875777,短尺,,,,,,,148000.0,28.47,124500.0,3482.0,29.0,46.0,537.0,4094,0.03288353414,0.02796787149,0.0002329317269,0.0003694779116,0.004313253012,11.8
04/09(火),モテコスメちゃん,PR,,,KATEファンデ,https://www.tiktok.com/@mote_cosme/video/7355807633057582337?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,1300000.0,40.22,2330.0,110.0,10.0,1.0,11.0,132,0.05665236052,0.04721030043,0.004291845494,0.0004291845494,0.004721030043,6.4
04/25(木),美容探偵,PR,,,ダーマレーザー,https://www.tiktok.com/@tantei_cosme/video/7361743544639343873?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,1100000.0,38.06,994200.0,1851.0,8.0,36.0,119.0,2014,0.002025749346,0.001861798431,8.04667069e-06,3.621001811e-05,0.0001196942265,3.2
04/05(金),モテコスメちゃん,PR,,,レノア,https://www.tiktok.com/@mote_cosme/video/7354308960423398657?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,634300.0,45.86,29800.0,259.0,8.0,6.0,49.0,322,0.01080536913,0.008691275168,0.0002684563758,0.0002013422819,0.001644295302,8.0
04/26(金),韓国オンニ,通常,,,nuseリップ,https://www.tiktok.com/@choa_cosme/video/7362102164946226449?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,114800.0,23.89,104500.0,1690.0,13.0,63.0,285.0,2051,0.01962679426,0.0161722488,0.0001244019139,0.0006028708134,0.002727272727,9.0
04/16(火),突撃ちゃん,通常,,,しまむらコスメ,https://www.tiktok.com/@totsugeki_cosme/video/7358398934814887176?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,94200.0,26.68,74600.0,873.0,12.0,20.0,112.0,1017,0.01363270777,0.01170241287,0.0001608579088,0.0002680965147,0.001501340483,12.1
04/17(水),ビビちゃん,PR,,,ダーマレーザー美容液,https://www.tiktok.com/@bibichan_cosme/video/7358772173705661712?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,長尺,,,,,,,325900.0,62.6,5732.0,59.0,5.0,0.0,14.0,78,0.01360781577,0.01029309142,0.0008722958828,0,0.002442428472,3.8
04/24(水),おとるーむ。,通常,,,ドンキ垢抜け6選,https://www.tiktok.com/@otoroom01/video/7361375066497633554?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,86800.0,58.34,43600.0,952.0,5.0,7.0,239.0,1203,0.02759174312,0.02183486239,0.0001146788991,0.0001605504587,0.005481651376,17.8
04/18(木),モテコスメちゃん,PR,,,エッセンシャル,https://www.tiktok.com/@mote_cosme/video/7359144252430945537?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,長尺,,,,,,,230000.0,64.02,31300.0,243.0,11.0,4.0,39.0,297,0.009488817891,0.007763578275,0.0003514376997,0.0001277955272,0.00124600639,4.4
04/06(土),韓国オンニ,通常,,,リップセリン,https://www.tiktok.com/@choa_cosme/video/7354679828316048657?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,51300.0,13.03,9021.0,88.0,19.0,3.0,16.0,126,0.01396740938,0.009755016074,0.002106196652,0.0003325573661,0.001773639286,6.8
04/11(木),モテコスメちゃん,通常,,,キャンメイク神6,https://www.tiktok.com/@mote_cosme/video/7356542380591287568?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,113400.0,30.14,49500.0,2255.0,12.0,7.0,399.0,2673,0.054,0.04555555556,0.0002424242424,0.0001414141414,0.008060606061,10.6
04/03(水),韓国オンニ,通常,,,warkmakeリップ,https://www.tiktok.com/@choa_cosme/video/7353578917732617488?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,27800.0,16.39,22600.0,209.0,9.0,2.0,31.0,251,0.01110619469,0.009247787611,0.0003982300885,8.849557522e-05,0.001371681416,7.7
04/24(水),ビビちゃん,通常,,,ドンキ垢抜け６選,https://www.tiktok.com/@bibichan_cosme/video/7361371922061331713?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,長尺,,,,,,,130600.0,68.36,66700.0,2374.0,11.0,19.0,664.0,3068,0.0459970015,0.0355922039,0.0001649175412,0.0002848575712,0.009955022489,18.7
04/10(水),モテコスメちゃん,PR,,,アンレーベル,https://www.tiktok.com/@mote_cosme/video/7356178630017289488?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,173500.0,41.96,2478.0,89.0,5.0,0.0,14.0,108,0.04358353511,0.03591606134,0.002017756255,0,0.005649717514,5.7
04/05(金),ビビちゃん,PR,,,ロゼットゴマージュ,https://www.tiktok.com/@bibichan_cosme/video/7354311602830642450?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,159900.0,33.16,9309.0,189.0,7.0,5.0,54.0,255,0.02739284563,0.02030293265,0.0007519604684,0.0005371146203,0.005800837899,6.8
04/10(水),韓国オンニ,通常,,,ロムアンドグロス,https://www.tiktok.com/@choa_cosme/video/7356173115245726993?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,17400.0,25.36,5818.0,122.0,14.0,0.0,18.0,154,0.02646957717,0.02096940529,0.002406325198,0,0.003093846683,9.6
04/09(火),ビビちゃん,PR,,,アンレーベル,https://www.tiktok.com/@bibichan_cosme/video/7355805176122412296?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,141000.0,42.42,1968.0,85.0,5.0,1.0,20.0,111,0.05640243902,0.04319105691,0.002540650407,0.0005081300813,0.01016260163,7.5
04/13(土),韓国オンニ,通常,,,ナンバーズイン,https://www.tiktok.com/@choa_cosme/video/7357290369811254545?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,224400.0,21.9,115900.0,4449.0,13.0,34.0,1298.0,5794,0.04999137187,0.03838654012,0.0001121656601,0.0002933563417,0.01119930975,9.9
04/17(水),おとるーむ。,通常,,,日焼け止め２つ,https://www.tiktok.com/@otoroom01/video/7358766342670912776?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,101400.0,13.61,13100.0,184.0,5.0,4.0,34.0,227,0.01732824427,0.01404580153,0.0003816793893,0.0003053435115,0.002595419847,6.6
04/14(日),韓国オンニ,通常,,,プランパー,https://www.tiktok.com/@choa_cosme/video/7357646831171538192?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,20900.0,25.73,9572.0,119.0,14.0,3.0,18.0,154,0.01608859173,0.01243209361,0.001462599248,0.0003134141245,0.001880484747,10.2
04/16(火),美容探偵,通常,,,プランパー,https://www.tiktok.com/@tantei_cosme/video/7358402507317579024?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,17100.0,17.9,5316.0,75.0,5.0,0.0,9.0,89,0.01674191121,0.01410835214,0.0009405568096,0,0.001693002257,7.9
04/11(木),突撃ちゃん,通常,,,motonミスト,https://www.tiktok.com/@totsugeki_cosme/video/7356553453126110472?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,30000.0,21.8,19600.0,577.0,12.0,5.0,119.0,713,0.03637755102,0.02943877551,0.000612244898,0.0002551020408,0.006071428571,9.0
04/19(金),美容探偵,PR,,,シーグラム,https://www.tiktok.com/@tantei_cosme/video/7359510321955982608?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,107000.0,32.46,1820.0,64.0,5.0,0.0,1.0,70,0.03846153846,0.03516483516,0.002747252747,0,0.0005494505495,5.6
04/07(日),モテコスメちゃん,通常,,,キャンメイク神6前,https://www.tiktok.com/@mote_cosme/video/7355048823003057424?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,短尺,,,,,,,43800.0,32.09,16900.0,486.0,9.0,2.0,72.0,569,0.03366863905,0.02875739645,0.0005325443787,0.0001183431953,0.00426035503,9.5
04/05(金),美容探偵,PR,,,フラスキン,https://www.tiktok.com/@tantei_cosme/video/7354308264957381904?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,長尺,,,,,,,102900.0,90.14,6113.0,33.0,5.0,1.0,6.0,45,0.007361361034,0.005398331425,0.0008179290038,0.0001635858008,0.0009815148045,3.2
