投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均 視聴時間,視聴 維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規 フォロー,フォロー率,おすすめ率
2025-12-24 00:00:00,ビビちゃん,通常,YT,Maya,【これヤバい】ペリペラのネーミングがクセつよでもはや色がわからん #shorts #コスメ #美容 #メイク #韓国コスメ #垢抜け,https://youtube.com/shorts/t8MyxYQ27SE?si=s8hSTlS2q7zfiCOv,単品,2026-01-20 09:12:36,16.0,2262389.0,43286.0,131.0,,,0.01913287238,5.790339327e-05,0,0,,0,,,,,,0,
2025-12-18 00:00:00,コスメ俱楽部,PR,TikTok,Moeka,歯の黄ばみ問題ってみんなどうしてる！？ドラストで手軽に買えるおすすめ紹介〜✨ #PR #シュミテクト #ホワイトニング #歯磨き粉 #ドラスト,https://www.tiktok.com/@cosme_katari.club/video/7585107637092584725?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026-01-20 09:06:31,42.0,843000.0,364.0,3.0,17.0,83.0,,,,,,,,,,,,0,
2025-12-02 00:00:00,美容探偵,通常,YT,Moeka,LUSHで殿堂入り人気のあれ何回使える？削って検証したらヤバすぎた #コスメ #美容 #ボディケア #検証 #購入品紹介,https://youtube.com/shorts/5u2DoEeLPS8?si=IzaErY7IHq-B_ZNm,単品,2026-01-20 09:14:41,35.0,833112.0,6519.0,62.0,,,0.007824878288,7.441976589e-05,0,0,10.4,0.2971428571,71.0,38.0,30.0,20.32,27.0,3.240860773e-05,62.0
2025-12-30 00:00:00,kana,通常,TikTok,Ryusei,part 2 | pov : my sister wants to introduce japanese famous snacks but she cant speak english #jbeauty #japan #sister #japanese #fyp,https://www.tiktok.com/@__kanachan__/video/7589298760178519326?is_from_webapp=1&sender_device=pc&web_id=7524645317796939280,単品,2026-01-20 09:08:58,29.0,937800.0,106900.0,972.0,751.0,5420.0,0.1139901898,0.00103646833,0.0008008104073,0.005779483898,,0,,,,,,0,
2025-12-04 00:00:00,成分オタクちゃん,PR,TikTok,Riho,歯の黄ばみ悩んでるやつ、これ使え！もちろんただの歯磨き粉やないで！歯の白さを徹底追求したシュミテクト最先端ホワイトニング！！！1回試してみて！！ #PR #シュミテクト #ホワイトニング #ホワイトニングケア #歯磨き粉,https://vt.tiktok.com/ZSfcWrARA/,単品,2026-01-20 09:10:35,23.0,818300.0,537.0,23.0,24.0,155.0,0.0006562385433,2.81070512e-05,2.932909691e-05,0.0001894170842,10.4,0.452173913,71.0,38.0,30.0,20.32,27.0,3.299523402e-05,62.0
2025-12-18 00:00:00,肌コミちゃん,PR,TikTok,Riho,歯の黄ばみ放置してる子に全力でおすすめ！ドラストでも買えるから探してみてね🤍 #PR #シュミテクト #ホワイトニング #歯磨き粉 #ドラスト,https://www.tiktok.com/@bihadanaritaina/video/7585109019438697748?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026-01-20 09:06:37,26.0,785200.0,417.0,9.0,17.0,102.0,,,,,,,,,,,,0,
2025-12-24 00:00:00,ビビちゃん,通常,IG,Maya,コスメの魔法でトキメキとキュンコスメをお届けする🥰ビビちゃんです🧚‍♀️💚💄  今回は癖つよすぎ⁉︎【ペリペラ🤍新作コスメ】を紹介します💄🫶🏻 参考になったら嬉しいです🥰  ビビちゃんでは『コメント欄』と『DM』を解放しています!! 紹介した商品で気になった事や、紹介してほしい商品がある方はぜひ『コメント欄』や『DMに』✍🏻  この投稿が参考になったらあとで見返せるように『保存』お願いします💓 『いいね』を押していただけるととても励みになります！  #美容 #コスメ #韓国コスメ #ペリペラ #アイシャドウ,https://www.instagram.com/reel/DSo_FSlEkU-/?igsh=ZHcxODVjOG1sNW14,単品,2026-01-07 16:35:28,15.7,734321.0,39954.0,24.0,,,0.05440944764,3.268325433e-05,0,0,,0,,,,,,0,
2025-12-27 00:00:00,ビビちゃん,PR,TikTok,Maya,"これに出会って人生変わった,,,🥺💖 秋冬ベースメイク乾燥しやすい子は絶対試してみてほしい！！！💖 #パーフェクトダイアリー　#perfectdiary　#ガラス玉肌　　#PR  #シルバークッション",https://www.tiktok.com/@mote_cosme/video/7589211052735204629?is_from_webapp=1&sender_device=pc&web_id=7550509021708797447,単品,2026-01-21 09:05:39,31.0,686000.0,691.0,3.0,16.0,86.0,,,,,,,,,,,,,
2025-12-29 00:00:00,コスメ俱楽部,PR,TikTok,Moeka,冬でも乾燥しないイチオシクッションファンデ！！！ #PR #パーフェクトダイアリー #perfectdiary #ガラス玉肌 #シルバークッション,https://www.tiktok.com/@cosme_katari.club/video/7589210293721500948?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026-01-20 09:05:45,45.0,637700.0,1138.0,3.0,28.0,177.0,0.001784538184,4.704406461e-06,4.390779363e-05,0.0002775599812,,0,,,,,,0,
2025-12-04 00:00:00,ももそら,PR,TikTok,Hina,💬歯の黄ばみが気になってて、白くなるけど歯に優しい歯磨き粉教えてください！ ーーーーーーーーーーー 私が20本以上試してきたホワイトニング歯磨きで歯を白くしながら優しく守ってくれる答えは…シュミテクトでした🦷✨ #PR #シュミテクト #ホワイトニング #歯磨き粉 #ももそら,https://www.tiktok.com/@cosme_daisuki.kaigi/video/7579935372675960082?is_from_webapp=1&sender_device=pc&web_id=7547609595666515474,単品,2026-01-20 09:10:37,42.0,598600.0,471.0,12.0,23.0,164.0,0.0007868359506,2.004677581e-05,3.842298697e-05,0.0002739726027,10.4,0.2476190476,71.0,38.0,30.0,20.32,27.0,4.510524557e-05,62.0
