,,,,,,,,,,,,,,,,,,,,,,,
,12月売上,,10688674,進捗率,目標,,,12月営業利益,,10057054,,,,,,,,請求書支払日：Greed、NEL、CCPR、リアレーション、PPP 2ヶ月後,,,,,
,全体,,10688674,1.021617587,10462500,,,,,,,,,,,,,,,,,,
,モテコスメちゃん,,4680000,0.9984,4687500.0,40万10件＋20万5件,,,,,,,,,,,,メール希望：utakata、NEL、OMOT,,,,,
,,投稿制作費,3120000,,,,,,,,,,,,,,,,,,,,
,,二次利用費,1060000,,,,,,,,,,,,,,,,,,,,
,,IGフィード,100000,,,,,,,,,,,,,,,,,,,,
,,IG転載,400000,,,,,,,,,,,,,,,,,,,,
,,リピート,3,,,,,,,,,,,,,,,,,,,,
,,新規,5,,,,,,,,,,,,,,,,,,,,
,ビビちゃん,,3680000,1.006495726,3656250.0,40万8件＋20万4件,,12月売上総利益,,10123784,,,,,,,,,,,,,
,,投稿制作費,2450000,,,,,,,,,,,,,,,,,,,,
,,二次利用費,1140000,,,,,,,,,,,,,,,,,,,,
,,リピート,6,,,,,,,,,,,,,,,,,,,,
,,新規,1,,,,,,,,,,,,,,,,,,,,
,美容探偵ちゃん,,1961189,0.9961594921,1968750.0,20万6件＋10万3件,,,,,,,,,,,,,,,,,
,,投稿制作費,1631189,,,,,,,,,,,,,,,,,,,,
,,二次利用費,300000,,,,,,,,,,,,,,,,,,,,
,,リピート,5,,,,,,,,,,,,,,,,,,,,
,,新規,3,,,,,,,,,,,,,,,,,,,,
,突撃ちゃん（旧：ドンキ出待ち）,,150000,1,150000.0,10万1件＋5万1件,,,,,,,,,,,,,,,,,
,肌コミちゃん,,200000,,,,,,,,,,,,,,,,,,,,
,その他、売上,,17485,,,,,,,,,,,,,,,,,,,,
,▲支出,,631620,予算,,,,,,,,,,,,,,,,,,,
,▲メディア広告費,,191241,600000.0,,,,,,,,,,,,,,,,,,,
,▲投稿制作費（外注費、コスメ代）,,373649,,,,,,,,,,,,,,,,,,,,
,▲コスメ購入費,,66730.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Month,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書受取,請求書送付,備考,,入金日,アカウント,金額,,,
2312.0,12/1【金】,モテコスメちゃん,Wakemake,株式会社Greed,〒153-0042東京都目黒区青葉台4丁目4-12 THE N3 5F,TikTokプロモーション,12月発生2月払い,投稿制作費,400000.0,リピート,True,True,True,True,True,,,,モテコスメちゃん,61699.0,,,
2312.0,12/1【金】,モテコスメちゃん,Wakemake,株式会社Greed,〒153-0042東京都目黒区青葉台4丁目4-12 THE N3 5F,TikTokプロモーション,12月発生2月払い,二次利用費,200000.0,リピート,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/4【月】,モテコスメちゃん,KATE,株式会社A,〒150-6139 東京都渋谷区渋谷2-24-12渋谷スクランブルスクエア39F,TikTokプロモーション,12月発生1月払い,投稿制作費,400000.0,新規,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/4【月】,モテコスメちゃん,KATE,株式会社A,〒150-6139 東京都渋谷区渋谷2-24-12渋谷スクランブルスクエア39F,TikTokプロモーション,12月発生1月払い,二次利用費,200000.0,新規,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/4【月】,モテコスメちゃん,KATE,株式会社A,〒150-6139 東京都渋谷区渋谷2-24-12渋谷スクランブルスクエア39F,,12月発生1月払い,IG転載,200000.0,新規,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/6【水】,モテコスメちゃん,Anua,株式会社BitStar,〒150-0002 東京都渋谷区渋谷2-22-3 渋谷東口ビル 10F,IGフィード,12月発生1月払い,IGフィード,100000.0,リピート,True,True,True,True,True,,,,モテコスメちゃん,,,,
2312.0,12/8【金】,モテコスメちゃん,SHEGLAM①,株式会社Wonder Works,〒150-0031 東京都渋谷区桜丘町12-8 渋谷コーポラス601,TikTokプロモーション,12月発生3月払い,投稿制作費,350000.0,新規,True,True,True,True,True,,,,モテコスメちゃん,,,,
