,,,,,,,,,,,
,売上,16660000,進捗率,目標,▲支出,3383103,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,16340000,1.137255221,14367927,▲投稿制作費（外注費、コスメ代）,978010,,モテコスメちゃん,2870000,250000,2620000
,モテコスメちゃん,2550000,0.8600975452,2964780.0,▲販管費,2405093.0,,ビビちゃん,3910000,250000,3660000
,ビビちゃん,4090000,1.262310615,3240090.0,,,,美容探偵,620000,250000,370000
,美容探偵,620000,0.3105089241,1996722.0,粗利,,,合計,7400000,750000,6650000
,突撃ちゃん,1020000,0.8218515833,1241100.0,15681990,,,,,,
,肌コミちゃん,3230000,2.191018858,1474200.0,営業利益,,,制作原価,978010,3メディア分,326003.3333
,コスメ怪獣ちゃん,1130000,0.8430791039,1340325.0,13276897,,,,,,
,韓国オンニ,2150000,1.803751804,1191960.0,,,,,,,
,成分オタクちゃん,1300000,1.737677527,748125.0,,,,売上報告,False,担当：吉谷,
,コスメ女子会ズ,250000,1.465201465,170625.0,,,,制作原価請求,False,担当：吉谷,
,Instagram売上,320000,,,,,,,,,
,YTs売上,,,,,,,,,,
,,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,モテコスメちゃん,サマーズイブ フェミニンウォッシュ（4種）,トレンダーズ株式会社,11月発生12月払い,投稿制作費,450000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,モテコスメちゃん,「&be hair/Sorule」,株式会社ミツバチ,11月発生12月払い,投稿制作費,750000.0,請求書送付済,SA(20)、IG(5)、IG二次利用(5),NADESIKO,吉谷,
2411.0,モテコスメちゃん,魔女工場,株式会社bibin,11月発生12月払い,投稿制作費,450000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,モテコスメちゃん,アレンシア,アレンシア,11月発生12月払い,投稿制作費,450000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,モテコスメちゃん,リーゼヘアオイル,花王,11月発生12月払い,投稿制作費,250000.0,投稿完了,,ライスカレー,吉谷,
2411.0,モテコスメちゃん,＋tmr,starbank,11月発生12月払い,二次利用費,200000.0,請求書送付済,,NADESIKO,,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,ビビちゃん,IROKA,トレンダーズ,11月発生12月払い,二次利用費,180000.0,請求書送付済,,NADESIKO,,
2411.0,,,,,youtube,180000.0,請求書送付済,,NADESIKO,,
2411.0,ビビちゃん,YADAH,株式会社JDTC,11月発生12月払い,投稿制作費,400000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,ビビちゃん,Anua,AnyMind Japan株式会社,11月発生12月払い,投稿制作費,500000.0,請求書送付済,IGあり,NADESIKO,吉谷,
2411.0,ビビちゃん,アレンシア,アレンシア,11月発生12月払い,投稿制作費,400000.0,請求書送付済,pick記載あり→なし,NADESIKO,吉谷,
2411.0,ビビちゃん,WELLAGE,AnyMind Japan株式会社,11月発生12月払い,投稿制作費,400000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,ビビちゃん,BnD,BnD,11月発生12月払い,投稿制作費,400000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,ビビちゃん,WAKEMAKE,coogee,11月発生12月払い,投稿制作費,400000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2411.0,ビビちゃん,リーゼヘアオイル,花王,11月発生12月払い,投稿制作費,250000.0,投稿完了,,ライスカレー,吉谷,
2411.0,ビビちゃん,ODELOI（オドロイ）,AnyMind,11月発生12月払い,投稿制作費,400000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,ビビちゃん,TRTR,starcreation,11月発生1月払い,投稿制作費,400000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,ビビちゃん,dプログラム,AnyMind Japan株式会社,11月発生1月払い,二次利用費,180000.0,請求書送付済,,NADESIKO,,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,美容探偵,リーゼヘアオイル,花王,11月発生12月払い,投稿制作費,250000.0,投稿完了,,ライスカレー,吉谷,
2411.0,美容探偵,TIRTIR,株式会社D&ACE,11月発生12月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,美容探偵,トーニングセラム,3WELL,11月発生1月払い,二次利用費,70000.0,請求書送付済,,NADESIKO,,
2411.0,美容探偵,,,,,,,,,,
2411.0,美容探偵,,,,,,,,,,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,突撃ちゃん,アレンシア,アレンシア,11月発生12月払い,投稿制作費,280000.0,請求書送付済,店舗撮影あり,NADESIKO,吉谷,
2411.0,突撃ちゃん,Anua,AnyMind Japan株式会社,11月発生12月払い,投稿制作費,210000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,突撃ちゃん,BnD,BnD,11月発生12月払い,投稿制作費,300000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2411.0,突撃ちゃん,ETUDE,ハーマンドット,11月発生1月払い,投稿制作費,230000.0,請求書送付済,SAあり、追加修正あり,NADESIKO,吉谷,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,肌コミちゃん,ジアンサー,株式会社ウィングリット,11月発生12月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,肌コミちゃん,サマーズイブ フェミニンウォッシュ,トレンダーズ株式会社,11月発生12月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,肌コミちゃん,サマーズイブ フェミニンウォッシュ,トレンダーズ株式会社,11月発生12月払い,二次利用費,100000.0,請求書送付済,,NADESIKO,,
2411.0,肌コミちゃん,魔女工場,株式会社bibin,11月発生12月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,肌コミちゃん,ILSO,ノイン株式会社,11月発生12月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,肌コミちゃん,ダルシム,ダルシム,11月発生12月払い,投稿制作費,300000.0,請求書送付済,1週間ピン止めあり,NADESIKO,吉谷,
2411.0,肌コミちゃん,アレンシア,アレンシア,11月発生12月払い,投稿制作費,500000.0,請求書送付済,2投稿,NADESIKO,吉谷,
2411.0,肌コミちゃん,Anua,AnyMind Japan株式会社,11月発生12月払い,投稿制作費,350000.0,請求書送付済,IGあり,NADESIKO,吉谷,
2411.0,肌コミちゃん,JMsolution,カルタ,11月発生12月払い,投稿制作費,300000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2411.0,肌コミちゃん,BENEFIQUE(ベネフィーク),and tokyo,11月発生12月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,,,,,二次利用費,100000.0,請求書送付済,,NADESIKO,,
2411.0,肌コミちゃん,ネイチャーリパブリック,YOAKASHI,11月発生12月払い,投稿制作費,330000.0,請求書送付済,SA、プラザ撮影あり,NADESIKO,吉谷,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,コスメ怪獣ちゃん,Anua,AnyMind Japan株式会社,11月発生12月払い,投稿制作費,500000.0,請求書送付済,IGあり,NADESIKO,吉谷,
2411.0,コスメ怪獣ちゃん,TIRTIR,株式会社D&ACE,11月発生12月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,コスメ怪獣ちゃん,美顔器,スターアベニュー,11月発生12月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,コスメ怪獣ちゃん,ノエビア,detect,11月発生12月払い,投稿制作費,180000.0,請求書送付済,追加修正3万円,NADESIKO,吉谷,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,韓国オンニ,UIQ,シーズマーケット株式会社,11月発生12月払い,投稿制作費,250000.0,請求書送付済,9月分との2投稿セット,NADESIKO,吉谷,
2411.0,韓国オンニ,魔女工場,bibin株式会社,11月発生12月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,韓国オンニ,SAM'U,シーズマーケット株式会社,11月発生12月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,韓国オンニ,アレンシア,アレンシア,11月発生12月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,韓国オンニ,メープル毛穴バリアセット,AINDEN LAB,11月発生12月払い,投稿制作費,200000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2411.0,韓国オンニ,WELLAGE,AnyMind Japan株式会社,11月発生12月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,韓国オンニ,CosDeBAHA,YON,11月発生12月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,韓国オンニ,ODELOI（オドロイ）,AnyMind,11月発生12月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,韓国オンニ,LUNA,株式会社Creative Group,11月発生12月払い,投稿制作費,400000.0,請求書送付済,他媒体二次利用あり,NADESIKO,吉谷,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,成分オタクちゃん,WELLAGE,AnyMind Japan株式会社,11月発生12月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,成分オタクちゃん,skin1004,メディアエイド,11月発生12月払い,投稿制作費,350000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2411.0,成分オタクちゃん,バブバブ,OMOT,11月発生12月払い,投稿制作費,300000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2411.0,成分オタクちゃん,TRTR,starcreation,11月発生1月払い,投稿制作費,350000.0,請求書送付済,SA無料,NADESIKO,吉谷,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2411.0,コスメ女子会ズ,CosDeBAHA,YON,11月発生12月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2411.0,Instagramタイアップ,,,,,,,,,,
2411.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2411.0,モテコスメちゃん,TIRTIR,YMS,11月発生12月払い,instagram,100000.0,請求書送付済,リール,,吉谷,
2411.0,モテコスメちゃん,HARIAS,株式会社 JAPAN SOLUTIONS,11月発生12月払い,instagram,220000.0,請求書送付済,リール,,吉谷,
,,,,,,,,,,,
