,,,,,,,,,,,,,,,,,,,,
,NADESIKO売上,,9810080,進捗率,目標,,,NADESIKO売上,,売上総利益,,営業利益,,,,,,,,
,全体,,9810080,1.119363066,8763984,,,9810080,,7850804,,5850804,,,,,,,,
,モテコスメちゃん,,2321200,1.027588894,2258880.0,40万10件＋20万5件,,,,,,,,,,,,,,
,,投稿制作費,#N/A,,,,,,,,,,,,,,,,,
,,二次利用費,#N/A,,,,,,,,,,,,,,,,,
,,リピート,0,,,,,,,,,,,,,,,,,
,,新規,0,,,,,,,,,,,,,,,,,
,ビビちゃん,,2257840,0.9146088535,2468640.0,40万8件＋20万4件,,,,,,,,,,,,,,
,,投稿制作費,400000,,,,,,,,,,,,,,,,,
,,二次利用費,0,,,,,,,,,,,,,,,,,
,,リピート,1,,,,,,,,,,,,,,,,,
,,新規,0,,,,,,,,,,,,,,,,,
,美容探偵ちゃん,,2438160,1.602669275,1521312.0,20万6件＋10万3件,,全体売上,,,,,,,,,,,,
,,投稿制作費,1688160,,,,,12890080,,,,,,,,,,,,
,,二次利用費,100000,,,,,,,,,,,,,,,,,
,,リピート,3,,,,,,,,,,,,,,,,,
,,新規,2,,,,,,,,,,,,,,,,,
,突撃ちゃん,,600000,3.172588832,189120.0,10万1件＋5万1件,,,,,,,,,,,,,,
,肌コミちゃん,,1050000,0.9348290598,1123200.0,,,,,,,,,,,,,,,
,おとるーむ,,700000,0.6854680768,1021200.0,,,,,,NADESIKO発行の請求書,,,,,,,,,
,韓国オンニ,,442880,2.438336857,181632.0,,,,,,,,,,,,,,,
,NADESIKO外売上,,3080000,,,,,,,,,,,,,,,,,
,せよ,,2880000,,,,,,,,,,,,,,,,,
,キャスティング費用,,2600000.0,,12690080,,,,,,,,,,,,,,,
,→粗利,,280000,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Sparty動画制作,,200000.0,,,,,,,,,,,,,,,,,
,▲支出,,3959276,,,,,,,,,,,,,,,,,
,▲メディア広告費,,1239519,,,,,→次月の可能性あり,,■確認事項,,,■2ヶ月サイクル,,,,,,,
,▲投稿制作費（外注費、コスメ代）,,719757,,,,,,,スターアベニュー二次利用、その他クリエイター,,,Greed、NEL、CCPR、リアレーション、PPP 2ヶ月後,,,,,,,
,▲販管費,,2000000.0,,,,,→対応完了,,,,,■メール希望,,,,,,,
,▲アカウントM&A費,,0.0,,,,,,,,,,utakata、NEL、OMOT,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Month,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,
2405.0,5/1【水】,モテコスメちゃん,ビオレ アスリズム,株式会社リアレーション,〒150-0002 東京都渋谷区渋谷2-12-19 東建インターナショナルビル別館9F,,5月発生7月払い,投稿制作費,450000.0,リピート,True,True,True,True,,,,,,
2405.0,,,,,,,,二次利用費,200000.0,,,,,,,,,,,
2405.0,5/10【金】,モテコスメちゃん,ウテナ,株式会社ウィングリット,〒151-0061 東京都渋谷区初台1-45-6 MGビル 7F,,5月発生6月払い,IGフィード,100000.0,リピート,True,True,True,True,,,,,,
2405.0,,,,,,,,二次利用費,50000.0,,,,,,,,,,,
