,,,,,,,,,,,,,,,,,,,,
,NADESIKO売上,,5760000,進捗率,目標,,,NADESIKO売上,,売上総利益,,営業利益,,,,,,,,
,TikTok売上,,5370000,0.5873844264,9142224,,,5760000,,4316500,,2316500,,,,,,,,
,モテコスメちゃん,,730000,0.3231690041,2258880.0,40万10件＋20万5件,,,,,,,,,,,,,,
,,投稿制作費,450000,,,,,,,,,,,,,,,,,
,,二次利用費,280000,,,,,,,,,,,,,,,,,
,ビビちゃん,,890000,0.3605223929,2468640.0,40万8件＋20万4件,,,,,,,,,,,,,,
,,投稿制作費,400000,,,,,,,,,,,,,,,,,
,,二次利用費,0,,,,,,,,,,,,,,,,,
,美容探偵,,950000,0.6244609916,1521312.0,20万6件＋10万3件,,全体売上,,,,,,,,,,,,
,,投稿制作費,950000,,,,,6710000,,,,,,,,,,,,
,,二次利用費,0,,,,,,,,,,,,,,,,,
,突撃ちゃん,,750000,1.321912014,567360.0,10万1件＋5万1件,,,,,,,,,,,,,,
,,投稿制作費,750000,,,,,,,,,,,,,,,,,
,,二次利用費,0,,,,,,,,,,,,,,,,,
,肌コミちゃん,,650000,0.5787037037,1123200.0,,,,,,,,,,,,,,,
,,投稿制作費,450000,,,,,,,,,,,,,,,,,
,,二次利用費,0,,,,,,,,,,,,,,,,,
,おとちゃん,,150000,0.1468860165,1021200.0,,,,,,NADESIKO発行の請求書,,,,,,,,,
,,投稿制作費,150000,,,,,,,,,,,,,,,,,
,,二次利用費,0,,,,,,,,,,,,,,,,,
,韓国オンニ,,1250000,6.882047216,181632.0,,,,,,,,,,,,,,,
,,投稿制作費,1100000,,,,,,,,,,,,,,,,,
,,二次利用費,0,,,,,,,,,,,,,,,,,
,Insta売上,,390000,0.39,1000000.0,,,,,,,,,,,,,,,
,NADESIKO外売上,,950000,,,,,,,,,,,,,,,,,
,Moonshot広告運用,,750000.0,,全体,,,,,,,,,,,,,,,
,せよ二次利用,,200000.0,交通費：96510,0.7339570765,,,,,,,,,,,,,,,
,,,,,6710000,,,,,,,,,,,,,,,
,▲支出,,3443500,,,,,,,,,,,,,,,,,
,▲メディア広告費,,461399,,,,,→次月の可能性あり,,■確認事項,,,■2ヶ月サイクル,,,,,,,
,▲投稿制作費（外注費、コスメ代）,,982101,,,,,→対応完了,,スターアベニュー二次利用、その他クリエイター,,,Greed、NEL、CCPR、リアレーション、PPP 2ヶ月後,,,,,,,
,▲販管費,,2000000.0,,,,,,,,,,■メール希望,,,,,,,
,▲アカウントM&A費,,0.0,,,,,,,,,,utakata、NEL、OMOT,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TikTokタイアップ,,,,,,,,,,,,,,,,,,,
Month,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,依頼記入,請求書送付,備考,,,,,
2406.0,6/27【木】,モテコスメちゃん,melt,株式会社ウィングリット,〒151-0064 東京都渋谷区上原1-22-3 ムサシビル 4F,,6月発生7月払い,投稿制作費,450000.0,リピート,True,True,True,True,,国内,,,,
2406.0,,,,,,,,二次利用費,200000.0,,,,,,,,,,,
2406.0,6月,モテコスメちゃん,TIRTIR,株式会社YON,〒107-0061 東京都港区北青山1-3-1,,6月発生8月払い,二次利用費,80000.0,リピート,True,True,True,True,特別1週間,,,,,
2406.0,,モテコスメちゃん,,,,,6月発生7月払い,,,,False,False,False,False,,,,,,
2406.0,,モテコスメちゃん,,,,,6月発生7月払い,,,,False,False,False,False,,,,,,
