,,,,,,,,,,
,売上,10476518,進捗率,目標,▲支出,2327277,,,,
,TikTok売上,9546518,1.043061939,9152398,▲投稿制作費（外注費、コスメ代）,953609,,,,
,モテコスメちゃん,1790000,1.04496014,1712984.0,▲販管費,1373668.0,,1.144674652,,
,ビビちゃん,1260096,0.6731095076,1872052.0,粗利,,,4679114,,
,美容探偵ちゃん,1817308,0.9001440383,2018908.0,9522909,,,,,
,突撃ちゃん,993553,1.385553913,717080.0,営業利益,,,,,
,肌コミちゃん,743553,0.8729606932,851760.0,8149241,,,,,
,おとちゃん,765910,0.9890239021,774410.0,,,,,,
,韓国オンニ,1292880,1.07274785,1205204.0,,,,,,
,成分オタクちゃん,883218,#DIV/0!,0.0,,,,,,
,Instagram売上,600000,,,,,,,,
,YouTube売上,330000,,,,,,,,
,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,モテコスメちゃん,IKNOWSNOW,UNITY株式会社,8月発生9月払い,投稿制作費,450000.0,請求書送付済,,HADO,
2408.0,モテコスメちゃん,KINS,株式会社オッケーテラバイト,8月発生9月払い,投稿制作費,450000.0,請求書送付済,,ライスカレー,
2408.0,,,,,二次利用費,90000.0,請求書送付済,,,
2408.0,モテコスメちゃん,東亜製薬,AidenLab,8月発生9月払い,投稿制作費,400000.0,請求書送付済,,ライスカレー,
2408.0,モテコスメちゃん,heme,株式会社ネクストラスト,8月発生9月払い,投稿制作費,400000.0,請求書送付済,,ライスカレー,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,ビビちゃん,SAM'U,株式会社シーズマーケット,8月発生9月払い,投稿制作費,400000.0,請求書送付済,,ライスカレー,
2408.0,ビビちゃん,メディキューブコラーゲンナイトラッピングマスク,APR,8月発生9月払い,投稿制作費,400000.0,請求書送付済,二次利用込み、バルク割,HADO,APR7月分合算送付
2408.0,ビビちゃん,ダーマレーザー新作,株式会社OMOT,8月発生9月払い,投稿制作費,460096.0,請求書送付済,二次利用込み,ライスカレー,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,美容探偵,heme,YMS株式会社,8月発生9月払い,投稿制作費,250000.0,請求書送付済,,HADO,
2408.0,美容探偵,IKNOWSNOW,UNITY株式会社,8月発生9月払い,投稿制作費,250000.0,請求書送付済,,HADO,
2408.0,美容探偵,APRメガ割限定ボックス,APR,8月発生9月払い,投稿制作費,400000.0,請求書送付済,,ライスカレー,
2408.0,美容探偵,SHEGLAM,株式会社TRUXiA,8月発生9月払い,投稿制作費,250000.0,請求書送付済,,ライスカレー,
2408.0,美容探偵,ダーマレーザー新作,株式会社OMOT,8月発生9月払い,投稿制作費,317308.0,請求書送付済,二次利用込み,ライスカレー,
2408.0,美容探偵,バブバブ ナノバブルオイルローション,株式会社OMOT,8月発生9月払い,投稿制作費,350000.0,請求書送付済,二次利用込み,ライスカレー,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,突撃ちゃん,ボタニカルヘッドスクラブ,株式会社Sparty,8月発生9月払い,投稿制作費,250000.0,請求書送付済,,HADO,
2408.0,突撃ちゃん,medullaシャンプー,株式会社Sparty,8月発生9月払い,投稿制作費,215909.0,請求書送付済,,HADO,
2408.0,突撃ちゃん,ルルルン,株式会社OMOT,8月発生9月払い,投稿制作費,250000.0,請求書送付済,,HADO,
2408.0,突撃ちゃん,ダーマレーザー新作,株式会社OMOT,8月発生9月払い,投稿制作費,277644.0,請求書送付済,二次利用込み,HADO,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,肌コミちゃん,セルフュージョンC,ノイン株式会社,8月発生9月払い,投稿制作費,,請求書送付済,,HADO,
2408.0,肌コミちゃん,medullaシャンプー,株式会社Sparty,8月発生9月払い,投稿制作費,215909.0,請求書送付済,,HADO,
2408.0,肌コミちゃん,ANUA,YMS株式会社,8月発生9月払い,投稿制作費,250000.0,請求書送付済,,HADO,
2408.0,肌コミちゃん,ダーマレーザー新作,株式会社OMOT,8月発生9月払い,投稿制作費,277644.0,請求書送付済,二次利用込み,HADO,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,おとちゃん,medullaシャンプー,株式会社Sparty,8月発生9月払い,投稿制作費,215910.0,請求書送付済,,HADO,
2408.0,おとちゃん,C1000ビタミンレモン,サムライト株式会社,8月発生9月払い,投稿制作費,200000.0,請求書送付済,,HADO,
2408.0,おとちゃん,skin1004,株式会社メディアエイド,8月発生9月払い,投稿制作費,350000.0,請求書送付済,TikTok＋SparkAds 1ヶ月+Instagramリール転載＋パートナーズ広告1ヶ月,HADO,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,韓国オンニ,ルルルン,株式会社OMOT,8月発生9月払い,投稿制作費,200000.0,請求書送付済,,HADO,
2408.0,,,,,二次利用費,100000.0,,,HADO,
2408.0,韓国オンニ,グルタシカ美白スキンケアライン,株式会社イノバインコリア,8月発生9月払い,投稿制作費,250000.0,請求書送付済,,HADO,
2408.0,韓国オンニ,ANUA,YMS株式会社,8月発生9月払い,投稿制作費,200000.0,請求書送付済,,HADO,
2408.0,韓国オンニ,ムーンショット,株式会社ブイ,8月発生9月払い,投稿制作費,242880.0,請求書送付済,,,
2408.0,韓国オンニ,バブバブ,株式会社OMOT,8月発生9月払い,投稿制作費,200000.0,請求書送付済,,,
2408.0,,,,,二次利用費,100000.0,請求書送付済,,,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,HADO,
2408.0,成分オタクちゃん,medullaシャンプー,株式会社Sparty,8月発生9月払い,投稿制作費,215910.0,請求書送付済,,HADO,
2408.0,成分オタクちゃん,skin1004,株式会社メディアエイド,8月発生9月払い,投稿制作費,350000.0,請求書送付済,TikTok＋SparkAds 2週間,HADO,
