,,,,,,,,
,全体売上,34040000,▲支出,3495859,,,M社 レベシェア(6割),
,TikTok売上(IG/YTs含む),34040000,▲投稿制作費（外注費、コスメ代）,817011,←未確定,,420000,
,モテコスメちゃん,300000,▲販管費,2678848.0,←未確定,,▲運営費用(3媒体),
,ビビちゃん,0,粗利,,,,900000,
,美容探偵,440000,33222989,,,,M社 粗利,
,突撃ちゃん,620000,営業利益,,,,-480000,
,韓国オンニ,660000,30544141,,,,,
,成分オタクちゃん,200000,,,,,,
,ももそら,1170000,,,,,,
,肌コミちゃん,300000,,,,,,
,コスメ怪獣ちゃん,0,,,,,,
,コスメ語りたい倶楽部,400000,,,,,,
,新規,0.0,,,,,,
,BCM,29950000,,,,,,
,,,,,,,,
,アカウント名,案件名,取引先,摘要,単価,ステータス,備考,
✅,モテコスメちゃん,黒龍堂マスカラ,AnyMind,IGリール,100000.0,進行中,,
✅,モテコスメちゃん,キングダム_パウダーリキッドアイブロウ,AnyMind,IGリール,100000.0,進行中,,
✅,モテコスメちゃん,クレーリナ,AnyMind,IGリール,100000.0,進行中,,
,ビビちゃん,,,,,,,
✅,美容探偵,JUMISO,直,投稿制作費,440000.0,進行中,,
✅,突撃ちゃん,JUMISO,直,投稿制作費,320000.0,進行中,,
✅,突撃ちゃん,UNOVE,(株)TURUGI,投稿制作費,300000.0,進行中,SparkAds(1ヶ月)含む,
✅,韓国オンニ,JUMISO,直,投稿制作費,360000.0,進行中,,
✅,韓国オンニ,CHARDEとBEAUTY OF JOSEON,JDTC,投稿制作費,300000.0,進行中,,
✅,成分オタクちゃん,BANOBAGI バラエティパック,BCM,YTS,200000.0,進行中,"YouTube Shorts投稿 ＋ 1ヶ月の二次利用（Meta, SparkAds, 元素材利用など）",
✅,ももそら,Kopher,greed,投稿制作費,450000.0,進行中,,
✅,ももそら,Torriden,AnyMind,投稿制作費,720000.0,,,
✅,肌コミちゃん,ナチュリエ,トレンダーズ(株),IGリール,100000.0,進行中,,
✅,肌コミちゃん,バブルサーモンブースター,,IGリール,200000.0,進行中,,
,コスメ怪獣ちゃん,,,,,,,
✅,語りたい倶楽部,JUMISO,直,投稿制作費,400000.0,進行中,,
,成分オタクちゃん,シュミテクト,AnyMind,投稿制作費,1200000.0,進行中,合計420万,
,ビビちゃん,シュミテクト,AnyMind,投稿制作費,1200000.0,進行中,,
,ももそら,シュミテクト,AnyMind,投稿制作費,1100000.0,進行中,,
,語りたい倶楽部,シュミテクト,AnyMind,投稿制作費,400000.0,進行中,,
,肌コミちゃん,シュミテクト,AnyMind,投稿制作費,300000.0,進行中,,
,韓国オンニ,11月fwee,AnyMind,投稿制作費,450000.0,進行中,合計350万円,
,成分オタクちゃん,11月fwee,AnyMind,投稿制作費,450000.0,進行中,,
,モテコスメちゃん,11月fwee,AnyMind,投稿制作費,450000.0,進行中,,
,ビビちゃん,11月fwee,AnyMind,投稿制作費,400000.0,進行中,,
,美容探偵,11月fwee,AnyMind,投稿制作費,400000.0,進行中,,
,ももそら,11月fwee,AnyMind,投稿制作費,400000.0,進行中,,
,突撃ちゃん,11月fwee,AnyMind,投稿制作費,400000.0,進行中,,
,肌コミちゃん,11月fwee,AnyMind,投稿制作費,300000.0,進行中,,
,コスメ怪獣ちゃん,11月fwee,AnyMind,投稿制作費,250000.0,進行中,,
,韓国オンニ,11月ナンバーズイン,AnyMind,投稿制作費,450000.0,進行中,合計350万円,
,成分オタクちゃん,11月ナンバーズイン,AnyMind,投稿制作費,450000.0,進行中,,
,モテコスメちゃん,11月ナンバーズイン,AnyMind,投稿制作費,450000.0,進行中,,
,ビビちゃん,11月ナンバーズイン,AnyMind,投稿制作費,400000.0,進行中,,
,美容探偵,11月ナンバーズイン,AnyMind,投稿制作費,400000.0,進行中,,
,ももそら,11月ナンバーズイン,AnyMind,投稿制作費,400000.0,進行中,,
,突撃ちゃん,11月ナンバーズイン,AnyMind,投稿制作費,400000.0,進行中,,
,肌コミちゃん,11月ナンバーズイン,AnyMind,投稿制作費,300000.0,進行中,,
,コスメ怪獣ちゃん,11月ナンバーズイン,AnyMind,投稿制作費,250000.0,進行中,,
,肌コミちゃん,MISSHA11月,AnyMind,投稿制作費,400000.0,進行中,IG転載,
,モテコスメちゃん,Bright,AIロボティクス,投稿制作費,800000.0,進行中,合計600万円,
,ビビちゃん,Bright,AIロボティクス,投稿制作費,800000.0,進行中,6000000,
,美容探偵,Bright,AIロボティクス,投稿制作費,700000.0,進行中,,
,突撃ちゃん,Bright,AIロボティクス,投稿制作費,700000.0,進行中,,
,韓国オンニ,Bright,AIロボティクス,投稿制作費,700000.0,進行中,,
,成分オタクちゃん,Bright,AIロボティクス,投稿制作費,700000.0,進行中,,
,ももそら,Bright,AIロボティクス,投稿制作費,700000.0,進行中,,
,語りたい倶楽部,Bright,AIロボティクス,投稿制作費,350000.0,進行中,,
,肌コミちゃん,Bright,AIロボティクス,投稿制作費,300000.0,進行中,,
,コスメ怪獣ちゃん,Bright,AIロボティクス,投稿制作費,250000.0,進行中,,
,モテコスメちゃん,アモパシ,AnyMind,投稿制作費,360000.0,進行中,2980000,
,突撃ちゃん,アモパシ,AnyMind,投稿制作費,320000.0,進行中,,
,ももそら,アモパシ,AnyMind,投稿制作費,720000.0,進行中,,
,美容探偵,アモパシ,AnyMind,投稿制作費,440000.0,進行中,,
,成分オタクちゃん,アモパシ,AnyMind,投稿制作費,1140000.0,進行中,,
,韓国オンニ,Biodance,AnyMind,投稿制作費,450000.0,進行中,3500000,
,成分オタクちゃん,Biodance,AnyMind,投稿制作費,450000.0,進行中,,
,モテコスメちゃん,Biodance,AnyMind,投稿制作費,450000.0,進行中,,
,ビビちゃん,Biodance,AnyMind,投稿制作費,400000.0,進行中,,
,美容探偵,Biodance,AnyMind,投稿制作費,400000.0,進行中,,
,ももそら,Biodance,AnyMind,投稿制作費,400000.0,進行中,,
,突撃ちゃん,Biodance,AnyMind,投稿制作費,400000.0,進行中,,
,肌コミちゃん,Biodance,AnyMind,投稿制作費,300000.0,進行中,,
,コスメ怪獣ちゃん,Biodance,AnyMind,投稿制作費,250000.0,進行中,,
,モテコスメちゃん,iHerb,AnyMind,投稿制作費,600000.0,進行中,3000000,
,突撃ちゃん,iHerb,AnyMind,投稿制作費,600000.0,進行中,,
,韓国オンニ,iHerb,AnyMind,投稿制作費,600000.0,進行中,,
,ももそら,iHerb,AnyMind,投稿制作費,600000.0,進行中,,
,成分オタクちゃん,iHerb,AnyMind,投稿制作費,600000.0,進行中,,
,美容探偵,TFIT,AnyMind,投稿制作費,570000.0,進行中,2870000,
,突撃ちゃん,TFIT,AnyMind,投稿制作費,320000.0,進行中,,
