,,,,,,,,,,,,,,,,,,,
,売上,,粗利,,,,,"入力
お願いします
⬇️","入力
お願いします
⬇️",,,,,,,,,,
,"¥42,191,500",,"¥34,470,500",,,,,,,,,,,,,,,,
,AJP売上,,粗利率,81.70%,,,,,,,,,,,,,,,
,NDSK売上,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,HS URL,CAM ID,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考,rev,cost
,NADESHIKO,PPP STUDIO,黒龍堂マスカラ_モテコスメちゃん_IGリール投稿,モテコスメちゃん,AJP,課税,IGリール,https://app.hubspot.com/contacts/6727898/record/0-3/48886907229?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DPPP%20STUDIO,CAM0077424,"¥100,000",¥0,¥0,¥0,TRUE,"¥100,000",請求書送付済,,"¥3,150,000","¥270,000"
,NADESHIKO,(株)TURUGI,UNOVE,突撃ちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/48955331097?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DUNOVE,CAM0077425,"¥300,000",¥0,¥0,¥0,TRUE,"¥300,000",請求書送付済,SparkAds1ヶ月込,,
,NADESHIKO,(株)TURUGI,UNOVE,突撃ちゃん,AJP,課税,SparAds二次利用費,https://app.hubspot.com/contacts/6727898/record/0-3/48955331097?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DUNOVE,CAM0077425,"¥150,000",¥0,¥0,¥0,TRUE,"¥150,000",請求書送付済,・Spark Ads延長(12月3日(水)まで)・動画納品＋UNOVE側で動画素材を編集し、Metaで配信(1ヶ月),,
,NADESHIKO,JDTC,CHARDEとBEAUTY OF JOSEON,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/48945988383?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DCHARDE,CAM0077426,"¥300,000",¥0,¥0,¥0,TRUE,"¥300,000",請求書送付済,,,
,NADESHIKO,Greed,Kopher,ももそら,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/48946029977?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DGreed,CAM0077427,"¥450,000",¥0,¥0,¥0,TRUE,"¥450,000",請求書送付済,,,
,NADESHIKO,Greed,メディヒール,突撃ちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/51926089227?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DGreed,CAM0078530,"¥300,000",¥0,¥0,¥0,TRUE,"¥300,000",請求書送付済,,,
,NADESHIKO,トレンダーズ(株),ナチュリエ,肌コミちゃん,RCP,課税,IGリール,https://app.hubspot.com/contacts/6727898/record/0-3/48945864971?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3D%E3%83%8A%E3%83%81%E3%83%A5%E3%83%AA%E3%82%A8,CAM0077428,"¥100,000","¥100,000","¥60,000",¥0,TRUE,"¥40,000",請求書送付済,,,
,NADESHIKO,OMOT,Ongredients,成分オタクちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/48955331192?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DOngredients,CAM0077429,"¥450,000",¥0,¥0,¥0,TRUE,"¥450,000",請求書送付済,,,
,NADESHIKO,OMOT,Ongredients,語りたい倶楽部,RCP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/48955331192?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DOngredients,CAM0077429,"¥350,000","¥350,000","¥210,000",¥0,TRUE,"¥140,000",請求書送付済,,,
,NADESHIKO,リアレーション,コーセー,成分オタクちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/48943120461?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3D%E3%83%AA%E3%82%A2%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3,CAM0077430,"¥500,000",¥0,¥0,¥0,TRUE,"¥500,000",請求書送付済,TikTok内広告配信（1ヶ月）,,
,NADESHIKO,Natee,LAGOM,韓国オンニ,AJP,課税,SparAds二次利用費,https://app.hubspot.com/contacts/6727898/record/0-3/53284632494,,"¥150,000",¥0,¥0,¥0,TRUE,"¥150,000",請求書送付済,,,
,Ikeda Nao,AnyMind,11月fwee,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,"¥3,500,000","¥14,341,500",
,Ikeda Nao,AnyMind,11月fwee,ビビちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月fwee,美容探偵,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月fwee,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月fwee,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月fwee,ももそら,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月fwee,成分オタクちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月fwee,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥300,000","¥300,000","¥180,000",¥0,FALSE,"¥120,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月fwee,コスメ怪獣ちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52526241801,CAM0078611,"¥250,000","¥250,000","¥150,000",¥0,FALSE,"¥100,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,"¥3,500,000",,
,Ikeda Nao,AnyMind,11月ナンバーズイン,ビビちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,美容探偵,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,ももそら,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,成分オタクちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥300,000","¥300,000","¥180,000",¥0,FALSE,"¥120,000",投稿完了,,,
,Ikeda Nao,AnyMind,11月ナンバーズイン,コスメ怪獣ちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276076632,CAM0078612,"¥250,000","¥250,000","¥150,000",¥0,FALSE,"¥100,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,"¥3,500,000",,
,Ikeda Nao,AnyMind,Biodance,ビビちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,美容探偵,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥450,000",¥0,¥0,¥0,FALSE,"¥450,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,ももそら,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,成分オタクちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥400,000",¥0,¥0,¥0,FALSE,"¥400,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥300,000","¥300,000","¥180,000",¥0,FALSE,"¥120,000",投稿完了,,,
,Ikeda Nao,AnyMind,Biodance,コスメ怪獣ちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435946904/,CAM0076850,"¥250,000","¥250,000","¥150,000",¥0,FALSE,"¥100,000",投稿完了,,,
,Ikeda Nao,AnyMind,KOPHER_飲むレチノール,,AJP,非課税,TT投稿費用,,,"¥1,956,000",¥0,¥0,"¥364,000",TRUE,"¥1,592,000",投稿完了,探偵/成分/オンニ,,
,Ikeda Nao,AnyMind,Kopher,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50524320644/,CAM0076848,"¥300,000","¥250,000","¥150,000","¥393,000",TRUE,"-¥243,000",投稿完了,10月末投稿,https://app.hubspot.com/contacts/6727898/record/0-3/44675360315,
,Ikeda Nao,AnyMind,Kopher,成分オタクちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50524320644/,CAM0076848,"¥700,000",¥0,¥0,¥0,TRUE,"¥700,000",投稿完了,,,
,Ikeda Nao,AnyMind,Kopher,美容探偵,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50524320644/,CAM0076848,"¥885,500",¥0,¥0,¥0,TRUE,"¥885,500",投稿完了,10月末投稿,,
,Kusuda Sumika,AnyMind,アンレーベル,,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46557953124?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3D%E3%82%A2%E3%83%B3%E3%83%AC%E3%83%BC%E3%83%99%E3%83%AB,,"¥5,370,000",¥0,¥0,"¥1,200,000",TRUE,"¥4,170,000",投稿完了,AJPアカウント18投稿/トータル300万再生の保証＋動画素材の提供,,
,NADESHIKO,株式会社 黒龍堂,キングダム_パウダーリキッドアイブロウ,モテコスメちゃん,AJP,課税,IGリール,,,"¥100,000",¥0,¥0,¥0,TRUE,"¥100,000",請求書送付済,記載事項・商品名：キングダム　パウダリーリキッドアイブロウ・投稿日：11月1日,,
,NADESHIKO,株式会社クレーリナ,クレーリナ,モテコスメちゃん,AJP,課税,IGリール,,,"¥100,000",¥0,¥0,¥0,TRUE,"¥100,000",請求書送付済,,,
,Song Rie,"HELLO SKIN Co., Ltd. ",JUMISO,美容探偵,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50331651649,CAM0076811,"¥440,000",¥0,¥0,¥0,TRUE,"¥440,000",投稿完了,,"¥6,790,000",
,Song Rie,"HELLO SKIN Co., Ltd. ",JUMISO,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50331651649,CAM0076811,"¥320,000",¥0,¥0,¥0,TRUE,"¥320,000",投稿完了,,,
,Song Rie,"HELLO SKIN Co., Ltd. ",JUMISO,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50331651649,CAM0076811,"¥360,000",¥0,¥0,¥0,TRUE,"¥360,000",投稿完了,,,
,Song Rie,"HELLO SKIN Co., Ltd. ",JUMISO,語りたい倶楽部,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50331651649,CAM0076811,"¥400,000","¥400,000","¥240,000",¥0,TRUE,"¥160,000",投稿完了,,,
,Song Rie,AnyMind,バブルサーモンブースター,肌コミちゃん,RCP,非課税,IGリール,https://app.hubspot.com/contacts/6727898/record/0-3/50331154004,CAM0076518,"¥150,000","¥150,000","¥90,000",¥0,TRUE,"¥60,000",投稿完了,,,
,Song Rie,AnyMind,lilyeve,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46407518100,CAM0075384,"¥360,000",¥0,¥0,"¥368,000",TRUE,"-¥8,000",投稿完了,再生保証,"¥1,472,000",
