,,,,,,,,,,,,,,,,
,売上,,粗利,,,,,,,,,,,,,
,750000,,630000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,粗利率,0.84,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考,
,NADESHIKO,AnyMind,パーフェクトワンフォーカス,コスメ怪獣ちゃん,RCP,課税,TT投稿費用,200000.0,200000.0,120000,0.0,False,80000,進行中,再生保証,
,NADESHIKO,AnyMind,パーフェクトワンフォーカス,ももそら,AJP,課税,TT投稿費用,550000.0,0.0,0,0.0,False,550000,進行中,再生保証,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,0.0,0.0,0,0.0,False,0,,,
,,,,,,,,,,,,,,,,
