date,ほんだし,クックドゥ,味の素,丸鶏がらスープ,香味ペースト,コンソメ,ピュアセレクト,アジシオ
2021-01-17,60,28,45,53,43,92,66,0
2021-01-24,59,22,41,40,37,90,59,29
2021-01-31,58,20,46,42,50,86,0,27
2021-02-07,55,27,45,23,53,94,0,18
2021-02-14,53,25,44,39,100,92,37,36
2021-02-21,54,21,43,22,71,81,0,28
2021-02-28,54,20,40,0,60,81,0,0
2021-03-07,46,20,43,0,50,82,51,22
2021-03-14,46,19,44,0,47,78,0,24
2021-03-21,46,20,42,35,46,72,37,20
2021-03-28,40,19,41,24,52,70,45,20
2021-04-04,51,21,42,28,53,78,47,15
2021-04-11,53,24,39,0,48,80,43,0
2021-04-18,47,22,41,0,41,79,67,18
2021-04-25,44,19,36,27,46,78,54,22
2021-05-02,47,20,38,28,44,81,100,34
2021-05-09,49,33,43,0,39,84,0,29
2021-05-16,43,23,40,36,45,81,0,25
2021-05-23,44,22,40,36,37,81,50,28
2021-05-30,39,21,40,39,42,78,44,18
2021-06-06,37,22,40,71,45,71,0,28
2021-06-13,35,23,41,58,41,71,0,34
2021-06-20,39,20,39,38,39,68,0,16
2021-06-27,35,19,36,30,39,65,57,18
2021-07-04,36,20,36,0,34,65,47,17
2021-07-11,38,22,34,26,32,61,50,63
2021-07-18,32,21,39,23,29,57,63,41
2021-07-25,37,21,35,0,39,55,0,30
2021-08-01,34,22,36,27,46,56,46,21
2021-08-08,36,22,43,44,49,66,46,20
2021-08-15,37,23,40,36,50,74,33,24
2021-08-22,38,17,39,27,38,65,72,14
2021-08-29,42,21,39,0,44,75,66,21
2021-09-05,43,19,46,29,36,79,69,24
2021-09-12,40,20,44,29,34,77,80,20
2021-09-19,42,19,45,22,35,75,61,25
2021-09-26,44,17,38,42,40,80,51,16
2021-10-03,46,19,43,47,44,74,80,26
2021-10-10,46,17,41,34,39,75,46,18
2021-10-17,51,18,41,46,33,83,39,24
2021-10-24,46,16,37,26,38,78,46,23
2021-10-31,53,14,38,0,35,73,67,29
2021-11-07,50,17,38,28,29,82,50,22
2021-11-14,47,19,40,0,28,77,52,23
2021-11-21,58,15,38,35,37,81,0,21
2021-11-28,52,14,37,43,29,80,59,24
2021-12-05,47,18,36,40,27,82,44,31
2021-12-12,49,15,35,0,28,85,56,22
2021-12-19,38,12,30,0,23,92,58,25
2021-12-26,70,9,28,52,24,56,0,18
2022-01-02,60,17,34,30,24,71,55,20
2022-01-09,61,20,34,28,36,89,66,21
2022-01-16,53,20,35,31,36,86,66,20
