brand,lag_weeks,correlation,p_value,significant
ほんだし,0,0.109,0.5313,False
ほんだし,1,-0.039,0.8256,False
ほんだし,2,-0.038,0.834,False
ほんだし,3,-0.194,0.2865,False
ほんだし,4,-0.057,0.759,False
クックドゥ,0,-0.018,0.9167,False
クックドゥ,1,0.067,0.7057,False
クックドゥ,2,-0.017,0.9252,False
クックドゥ,3,0.04,0.8271,False
クックドゥ,4,0.202,0.2757,False
味の素,0,0.263,0.1262,False
味の素,1,0.247,0.1595,False
味の素,2,0.135,0.455,False
味の素,3,0.281,0.1188,False
味の素,4,-0.012,0.9476,False
丸鶏がらスープ,0,-0.258,0.1345,False
丸鶏がらスープ,1,-0.035,0.8443,False
丸鶏がらスープ,2,-0.159,0.3759,False
丸鶏がらスープ,3,-0.168,0.357,False
丸鶏がらスープ,4,0.197,0.2889,False
香味ペースト,0,0.308,0.0719,False
香味ペースト,1,-0.01,0.9566,False
香味ペースト,2,-0.0,1.0,False
香味ペースト,3,0.151,0.409,False
香味ペースト,4,-0.011,0.952,False
コンソメ,0,0.46,0.0054,True
コンソメ,1,0.201,0.2541,False
コンソメ,2,0.272,0.1253,False
コンソメ,3,0.211,0.2469,False
コンソメ,4,0.188,0.3115,False
アジシオ,0,0.334,0.0502,False
アジシオ,1,-0.153,0.3864,False
アジシオ,2,0.315,0.0743,False
アジシオ,3,0.208,0.2533,False
アジシオ,4,0.066,0.7252,False
