week_start,brand,mention_count,positive_count,negative_count,search_score
2025-03-02,ほんだし,2,2,0,10
2025-03-09,ほんだし,4,4,0,10
2025-03-16,ほんだし,2,1,1,10
2025-03-23,ほんだし,5,5,0,9
2025-03-30,ほんだし,4,3,1,10
2025-04-06,ほんだし,7,7,0,10
2025-04-13,ほんだし,0,0,0,10
2025-04-20,ほんだし,3,3,0,10
2025-04-27,ほんだし,0,0,0,10
2025-05-04,ほんだし,7,7,0,10
2025-05-11,ほんだし,2,2,0,9
2025-05-18,ほんだし,2,2,0,9
2025-05-25,ほんだし,4,4,0,9
2025-06-01,ほんだし,4,4,0,9
2025-06-08,ほんだし,3,3,0,9
2025-06-15,ほんだし,4,4,0,9
2025-06-22,ほんだし,2,2,0,7
2025-06-29,ほんだし,2,2,0,8
2025-07-06,ほんだし,3,3,0,8
2025-07-13,ほんだし,5,5,0,9
2025-07-20,ほんだし,1,1,0,8
2025-07-27,ほんだし,1,1,0,10
2025-08-03,ほんだし,5,5,0,8
2025-08-10,ほんだし,2,2,0,9
2025-08-17,ほんだし,2,2,0,9
2025-08-24,ほんだし,3,3,0,8
2025-08-31,ほんだし,2,2,0,9
2025-09-07,ほんだし,1,1,0,8
2025-09-14,ほんだし,2,2,0,9
2025-09-21,ほんだし,1,1,0,9
2025-09-28,ほんだし,1,1,0,10
2025-10-05,ほんだし,2,2,0,9
2025-10-12,ほんだし,0,0,0,10
2025-10-19,ほんだし,5,5,0,11
2025-10-26,ほんだし,3,3,0,11
2025-03-02,クックドゥ,1,1,0,21
2025-03-09,クックドゥ,2,2,0,10
2025-03-16,クックドゥ,1,1,0,8
2025-03-23,クックドゥ,1,1,0,7
2025-03-30,クックドゥ,3,3,0,7
2025-04-06,クックドゥ,5,5,0,7
2025-04-13,クックドゥ,2,2,0,6
2025-04-20,クックドゥ,1,1,0,6
2025-04-27,クックドゥ,0,0,0,5
2025-05-04,クックドゥ,3,3,0,6
2025-05-11,クックドゥ,2,2,0,6
2025-05-18,クックドゥ,2,2,0,5
2025-05-25,クックドゥ,2,2,0,6
2025-06-01,クックドゥ,4,4,0,6
2025-06-08,クックドゥ,2,2,0,6
2025-06-15,クックドゥ,1,1,0,6
2025-06-22,クックドゥ,2,2,0,6
2025-06-29,クックドゥ,2,2,0,6
2025-07-06,クックドゥ,3,3,0,6
2025-07-13,クックドゥ,2,2,0,5
2025-07-20,クックドゥ,1,0,1,6
2025-07-27,クックドゥ,1,1,0,5
2025-08-03,クックドゥ,0,0,0,6
2025-08-10,クックドゥ,1,1,0,5
2025-08-17,クックドゥ,2,2,0,5
2025-08-24,クックドゥ,1,1,0,6
2025-08-31,クックドゥ,0,0,0,5
2025-09-07,クックドゥ,2,2,0,5
2025-09-14,クックドゥ,1,1,0,5
2025-09-21,クックドゥ,1,1,0,5
2025-09-28,クックドゥ,1,1,0,6
2025-10-05,クックドゥ,3,3,0,5
2025-10-12,クックドゥ,2,2,0,5
2025-10-19,クックドゥ,1,1,0,5
2025-10-26,クックドゥ,1,1,0,5
2025-03-02,味の素,28,28,0,67
2025-03-09,味の素,29,29,0,51
2025-03-16,味の素,38,37,1,58
2025-03-23,味の素,39,38,1,58
2025-03-30,味の素,51,48,3,53
2025-04-06,味の素,34,34,0,54
2025-04-13,味の素,12,12,0,49
2025-04-20,味の素,43,43,0,54
2025-04-27,味の素,22,22,0,56
2025-05-04,味の素,35,35,0,56
2025-05-11,味の素,24,24,0,77
2025-05-18,味の素,32,30,2,61
2025-05-25,味の素,20,20,0,50
2025-06-01,味の素,17,17,0,52
2025-06-08,味の素,18,17,1,53
2025-06-15,味の素,21,21,0,51
2025-06-22,味の素,21,21,0,58
2025-06-29,味の素,20,19,1,71
2025-07-06,味の素,24,23,1,55
2025-07-13,味の素,16,16,0,48
2025-07-20,味の素,13,12,1,52
2025-07-27,味の素,18,18,0,51
2025-08-03,味の素,22,21,1,48
2025-08-10,味の素,18,18,0,45
2025-08-17,味の素,15,15,0,53
2025-08-24,味の素,21,21,0,61
2025-08-31,味の素,20,18,2,51
2025-09-07,味の素,17,16,1,45
2025-09-14,味の素,21,21,0,55
2025-09-21,味の素,14,14,0,46
2025-09-28,味の素,17,17,0,46
2025-10-05,味の素,18,17,1,45
2025-10-12,味の素,8,8,0,57
2025-10-19,味の素,12,12,0,52
2025-10-26,味の素,23,23,0,48
2025-03-02,丸鶏がらスープ,3,3,0,1
2025-03-09,丸鶏がらスープ,2,2,0,1
2025-03-16,丸鶏がらスープ,1,1,0,1
2025-03-23,丸鶏がらスープ,5,5,0,1
2025-03-30,丸鶏がらスープ,1,1,0,1
2025-04-06,丸鶏がらスープ,1,1,0,1
2025-04-13,丸鶏がらスープ,3,3,0,1
2025-04-20,丸鶏がらスープ,5,5,0,1
2025-04-27,丸鶏がらスープ,1,1,0,1
2025-05-04,丸鶏がらスープ,1,1,0,1
2025-05-11,丸鶏がらスープ,2,2,0,1
2025-05-18,丸鶏がらスープ,3,3,0,1
2025-05-25,丸鶏がらスープ,5,5,0,0
2025-06-01,丸鶏がらスープ,3,3,0,0
2025-06-08,丸鶏がらスープ,2,2,0,0
2025-06-15,丸鶏がらスープ,0,0,0,1
2025-06-22,丸鶏がらスープ,5,5,0,1
2025-06-29,丸鶏がらスープ,1,1,0,1
2025-07-06,丸鶏がらスープ,5,5,0,0
2025-07-13,丸鶏がらスープ,5,5,0,0
2025-07-20,丸鶏がらスープ,1,1,0,1
2025-07-27,丸鶏がらスープ,2,2,0,0
2025-08-03,丸鶏がらスープ,4,4,0,0
2025-08-10,丸鶏がらスープ,3,3,0,1
2025-08-17,丸鶏がらスープ,0,0,0,1
2025-08-24,丸鶏がらスープ,0,0,0,0
2025-08-31,丸鶏がらスープ,2,2,0,1
2025-09-07,丸鶏がらスープ,1,1,0,0
2025-09-14,丸鶏がらスープ,3,3,0,1
2025-09-21,丸鶏がらスープ,3,3,0,1
2025-09-28,丸鶏がらスープ,1,1,0,1
2025-10-05,丸鶏がらスープ,1,1,0,1
2025-10-12,丸鶏がらスープ,3,3,0,1
2025-10-19,丸鶏がらスープ,2,2,0,1
2025-10-26,丸鶏がらスープ,1,1,0,1
2025-03-02,香味ペースト,1,1,0,2
2025-03-09,香味ペースト,0,0,0,2
2025-03-16,香味ペースト,0,0,0,1
2025-03-23,香味ペースト,1,1,0,2
2025-03-30,香味ペースト,0,0,0,2
2025-04-06,香味ペースト,1,1,0,2
2025-04-13,香味ペースト,0,0,0,2
2025-04-20,香味ペースト,0,0,0,2
2025-04-27,香味ペースト,0,0,0,2
2025-05-04,香味ペースト,0,0,0,2
2025-05-11,香味ペースト,1,1,0,2
2025-05-18,香味ペースト,0,0,0,2
2025-05-25,香味ペースト,0,0,0,2
2025-06-01,香味ペースト,0,0,0,2
2025-06-08,香味ペースト,0,0,0,1
2025-06-15,香味ペースト,0,0,0,1
2025-06-22,香味ペースト,0,0,0,2
2025-06-29,香味ペースト,0,0,0,2
2025-07-06,香味ペースト,0,0,0,1
2025-07-13,香味ペースト,0,0,0,1
2025-07-20,香味ペースト,0,0,0,1
2025-07-27,香味ペースト,0,0,0,2
2025-08-03,香味ペースト,0,0,0,2
2025-08-10,香味ペースト,0,0,0,2
2025-08-17,香味ペースト,0,0,0,1
2025-08-24,香味ペースト,0,0,0,2
2025-08-31,香味ペースト,0,0,0,2
2025-09-07,香味ペースト,1,1,0,2
2025-09-14,香味ペースト,0,0,0,1
2025-09-21,香味ペースト,1,1,0,2
2025-09-28,香味ペースト,0,0,0,1
2025-10-05,香味ペースト,0,0,0,1
2025-10-12,香味ペースト,0,0,0,2
2025-10-19,香味ペースト,0,0,0,2
2025-10-26,香味ペースト,0,0,0,1
2025-03-02,コンソメ,2,2,0,78
2025-03-09,コンソメ,2,2,0,73
2025-03-16,コンソメ,1,1,0,75
2025-03-23,コンソメ,0,0,0,70
2025-03-30,コンソメ,0,0,0,77
2025-04-06,コンソメ,0,0,0,75
