week_start,brand,mention_count,positive_count,negative_count
2024-01-21,ほんだし,1,1,0
2024-01-28,ほんだし,3,3,0
2024-02-04,ほんだし,2,2,0
2024-02-11,ほんだし,1,1,0
2024-02-18,ほんだし,1,1,0
2024-03-03,ほんだし,1,1,0
2024-03-24,ほんだし,2,2,0
2024-04-21,ほんだし,2,2,0
2024-04-28,ほんだし,2,2,0
2024-05-12,ほんだし,4,4,0
2024-05-19,ほんだし,1,1,0
2024-06-02,ほんだし,3,3,0
2024-06-09,ほんだし,2,2,0
2024-06-16,ほんだし,5,5,0
2024-06-23,ほんだし,1,1,0
2024-06-30,ほんだし,1,1,0
2024-07-14,ほんだし,1,1,0
2024-07-28,ほんだし,2,2,0
2024-08-11,ほんだし,1,1,0
2024-09-08,ほんだし,2,2,0
2024-09-15,ほんだし,1,1,0
2024-09-22,ほんだし,3,3,0
2024-09-29,ほんだし,1,1,0
2024-10-06,ほんだし,1,1,0
2024-10-13,ほんだし,1,1,0
2024-10-20,ほんだし,3,3,0
2024-10-27,ほんだし,1,1,0
2024-11-03,ほんだし,1,1,0
2024-11-10,ほんだし,1,1,0
2024-11-17,ほんだし,3,3,0
2024-11-24,ほんだし,2,2,0
2024-12-01,ほんだし,1,1,0
2024-12-22,ほんだし,1,1,0
2024-12-29,ほんだし,3,3,0
2025-01-05,ほんだし,2,2,0
2025-01-12,ほんだし,2,2,0
2025-01-19,ほんだし,3,3,0
2025-01-26,ほんだし,2,2,0
2025-02-02,ほんだし,4,4,0
2025-02-09,ほんだし,2,1,1
2025-02-16,ほんだし,1,1,0
2025-03-02,ほんだし,2,2,0
2025-03-09,ほんだし,4,4,0
2025-03-16,ほんだし,2,1,1
2025-03-23,ほんだし,5,5,0
2025-03-30,ほんだし,4,3,1
2025-04-06,ほんだし,7,7,0
2025-04-20,ほんだし,3,3,0
2025-05-04,ほんだし,7,7,0
2025-05-11,ほんだし,2,2,0
2025-05-18,ほんだし,2,2,0
2025-05-25,ほんだし,4,4,0
2025-06-01,ほんだし,4,4,0
2025-06-08,ほんだし,3,3,0
2025-06-15,ほんだし,4,4,0
2025-06-22,ほんだし,2,2,0
2025-06-29,ほんだし,2,2,0
2025-07-06,ほんだし,3,3,0
2025-07-13,ほんだし,5,5,0
2025-07-20,ほんだし,1,1,0
2025-07-27,ほんだし,1,1,0
2025-08-03,ほんだし,5,5,0
2025-08-10,ほんだし,2,2,0
2025-08-17,ほんだし,2,2,0
2025-08-24,ほんだし,3,3,0
2025-08-31,ほんだし,2,2,0
2025-09-07,ほんだし,1,1,0
2025-09-14,ほんだし,2,2,0
2025-09-21,ほんだし,1,1,0
