date,ほんだし,クックドゥ,味の素,丸鶏がらスープ,香味ペースト,コンソメ,ピュアセレクト,アジシオ
2025-03-02,10,21,67,1,2,78,1,1
2025-03-09,10,10,51,1,2,73,1,2
2025-03-16,10,8,58,1,1,75,1,2
2025-03-23,9,7,58,1,2,70,1,2
2025-03-30,10,7,53,1,2,77,1,1
2025-04-06,10,7,54,1,2,75,1,2
2025-04-13,10,6,49,1,2,77,1,2
2025-04-20,10,6,54,1,2,71,1,2
2025-04-27,10,5,56,1,2,81,1,3
2025-05-04,10,6,56,1,2,74,0,2
2025-05-11,9,6,77,1,2,72,0,1
2025-05-18,9,5,61,1,2,71,1,2
2025-05-25,9,6,50,0,2,78,1,2
2025-06-01,9,6,52,0,2,71,1,2
2025-06-08,9,6,53,0,1,72,1,2
2025-06-15,9,6,51,1,1,61,1,2
2025-06-22,7,6,58,1,2,61,1,2
2025-06-29,8,6,71,1,2,58,1,2
2025-07-06,8,6,55,0,1,62,1,2
2025-07-13,9,5,48,0,1,59,1,2
2025-07-20,8,6,52,1,1,56,1,2
2025-07-27,10,5,51,0,2,61,1,1
2025-08-03,8,6,48,0,2,58,1,1
2025-08-10,9,5,45,1,2,59,1,2
2025-08-17,9,5,53,1,1,64,1,1
2025-08-24,8,6,61,0,2,65,1,1
2025-08-31,9,5,51,1,2,68,1,1
2025-09-07,8,5,45,0,2,65,1,2
2025-09-14,9,5,55,1,1,69,1,1
2025-09-21,9,5,46,1,2,69,1,1
2025-09-28,10,6,46,1,1,70,1,2
2025-10-05,9,5,45,1,1,69,1,1
2025-10-12,10,5,57,1,2,75,1,2
2025-10-19,11,5,52,1,2,81,1,1
2025-10-26,11,5,48,1,1,81,1,1
