Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,1人当たり粗利益,,,,,,,,,,,,,,1人当たり営業利益,,,,,,,,,,,,,
,,24年,,,,,,25年,,,,,,,,24年,,,,,,25年,,,,,,
,(千円),7月,8月,9月,10月,11月,12月,1月,2月,3月,4月,5月,6月,,(千円),7月,8月,9月,10月,11月,12月,1月,2月,3月,4月,5月,6月,
,BM,1660,2153,2417,2339,2743,3296,2040.9500149479206,1814.540096164566,2171.4022028583604,2049.387821560324,2030.191478371028,2003.1239906795488,,BM,460,835,1223,1031,1372,1434,614.2319426793412,528.422676851556,886.738696047324,840.1715256468665,666.976370760378,531.3189034181802,677.9766859006075
,PM,426,327,944,842,1121,1430,969.2345132743361,1716.4291150442477,1345.692357723577,1219.9280487804876,0,0,,PM,-613,-993,-153,-325,88,-292,-38.87190193291347,653.5471291507521,408.48423420562835,179.98004223505941,0,0,200.5232506097544
,BC,3573,3063,5821,4118,6656,6845,2925.9548294115048,1934.0495197231464,4518.4238207910175,3030.541795597267,3072.8905922153454,3018.949934993518,,BC,-1123,-221,1379,642,2386,2223,284.1558705243169,-179.16400391597324,1551.6907399655151,629.4127503577859,279.33329903289535,287.1732969071148,475.43365881194245
,PG Web,2735,2698,3387,3271,3292,3349,2208.0769759563395,2240.087262315681,3170.49071742878,2954.7087376811514,2678.143611589498,2560.844676802999,,PG Web,1193,1079,1795,1528,1638,1244,679.2430529427667,734.722758781306,1546.284110860908,1166.6272880115444,722.5488506289296,807.6575171100558,942.8472630559185
,PG App,2621,2388,2667,4244,5617,5345,6107.504745696175,5226.761769128896,5686.011355216428,3309.9907444509035,3403.76553627629,3215.486540298114,,PG App,71,-443,-14,-81,-603,-51,294.448100662844,25.290582605148266,758.5613458364533,-101.29969422575977,-402.89497681386166,-338.5778079347973,39.25459168833779
,CG,4910,7757,7369,8336,12046,13164,8411.55728885454,7702.778649543732,7304.466509629414,4188.194911531148,3792.437089541908,13381.506949535595,,CG,2544,4961,4964,6056,8737,10481,6410.376634148061,5156.300870717659,5260.332720583451,2313.113935274681,685.0491378589146,11052.150269349455,5146.22059465537
,D2C Creator,2131,1577,2504,2157,2006,1135,1665.3953686550574,2362.021531965526,3684.3387826086955,1924.143874009102,1745.2166161149942,3025.767667444849,,D2C Creator,-1631,-1718,-1398,-1396,-916,-3878,-1172.4818289750513,-597.1026531760557,235.617525505313,-1057.2918395236818,-1087.1599877967303,-759.4418584651396,-739.6434404052242
,GEC,1702,1450,1178,1638,2453,2498,1952.8201047896268,1387.2974373012132,1704.4430782484385,1295.6760610189792,1355.3774896522493,1992.7064834984142,,GEC,-754,-747,-542,-386,-326,-2111,129.69011206175318,-335.9938446273311,-112.33855103312486,-416.40440702349093,-585.0590306052086,-91.64082159693531,-235.2910904707229
,DX / AI,2101,1953,2648,1704,1531,1911,1908.7718963573927,1709.055823969378,1085.9659376877241,2144.5422788135834,2449.3563715506057,1663.9747829790426,,DX / AI,-313,-1135,-136,-231,-695,-52,-680.9636944416238,-621.6929534879478,-734.0691360155907,153.79129926513798,656.8679336505838,-158.2222805908642,-230.71480527005076
,GROVE,1357,1568,2021,1638,1497,2698,1598.2935715936458,2157.058902328898,1973.7737524613965,1875.9276809159944,2019.602706000468,2293.928903634984,,GROVE,256,233,752,399,47,1061,111.70641722913084,75.0124761169631,215.2852647232654,78.86881852191246,28.330594717042356,690.6100520034888,199.96893721863384
,ENGAWA,573,774,953,910,745,1878,389.777179949929,390.777283470958,883.113399524649,793.238520305284,482.316156882605,1852.20837549208,,ENGAWA,-424,-198,-50,11,-188,815,-739.676824637964,-581.316797593414,-23.2616324951307,-190.895140397402,-667.56810605127,687.850250715474,-252.47804174328448
,LYFT,2436,1675,2234,1943,2223,2647,2024.32912452526,1394.32905067577,1645.88606692772,2177.87536258042,2450.17097503182,2255.98346198725,,LYFT,353,-242,297,-31,383,859,-258.774820799221,-484.105019726672,-293.888263712087,86.2760639539985,469.005688340393,68.264931801538,-68.87023669034174
,AnyReach,,,,,,,0,0,0,1780.45826066483,1590.71265562879,1162.76954486601,,AnyReach,,,,,,,0,0,0,-526.517850446273,-27.9404469892158,-360.636556840596,-152.51580904601414
,ALL,1649,1700,2044,1947,2163,2630,1766.2243922162836,1743.1175648236367,2061.4394583402855,1795.4920202794528,1784.6636801661984,2113.311125756944,,ALL,83,97,483,345,426,551,95.94023939549568,84.28290284076459,451.9814394189457,228.80489283712132,101.31997916892364,436.1666973704691,233.08269183862
