(千円）実績と予算➡ 韓国案件を含む,実績,実績.1,実績.2,実績.3,実績.4,見込み,見込み.1,見込み.2,見込み.3,見込み.4,見込み.5,見込み.6
ALL,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,2026975.46613745,2119324.05945098,2553971.14448683,2071224.86823816,1866087.13831006,2002792.41921818,1874759.87093727,2068710.6367409,2229887.51445181,2094278.91224999,2336574.62967256,2605927.43165465
原価,1201386.10255215,1331833.80816919,1633569.80986248,1125820.67970016,986714.214181755,1036582.79741448,968352.034010729,1092489.75091652,1131429.31365049,1067572.426533,1209769.43692754,1375443.99450346
粗利,825589.363585296,787490.251281781,920401.334624346,945404.188538,879372.924128304,966209.621803699,906407.836926543,976220.885824379,1098458.20080132,1026706.48571699,1126805.19274501,1230483.43715118
人件費,242324.4239,260268.8968,254314.50495,265706.257219625,249954.788197664,255384.446583095,228912.43611354,223916.43558513,234638.647512927,232691.931704939,235890.390834762,249923.764401
その他販管費,348774.313,336505.781,361063.282333333,340833.869363636,345821.497999999,361754.336999999,333473.191,356536.949,409875.650999999,367589.339999999,449923.280999999,416370.460939196
管理部門コスト,89849.1701126355,112505.799213133,114613.601538646,125801.765260279,180505.574390169,156583.488468345,172448.560004675,184889.066448948,165735.161875606,157922.73871904,206992.625870294,162897.114
エンジニアコスト,39554.8619059162,39685.4612495091,40410.3177773736,42535.0096509148,43581.693060058,52373.0545256461,35752.2486332696,35346.6636316196,33808.5668988211,33374.2375566797,33243.1791743314,33716.7705524547
営業利益,105086.594666744,38524.3130191389,149999.628024993,170527.287043544,59509.3704804123,140114.295226612,135821.401175057,175531.77115868,254400.173513973,235128.237736332,200755.715865628,367575.327258532
粗利率,0.407301113100552,0.371576138991119,0.360380475171454,0.456446908800484,0.471238939530267,0.482431235774735,0.483479431674303,0.471898229015895,0.492607000883345,0.490243434010394,0.482246609389455,0.472186378716571
営業利益率,0.0518440387771414,0.0181776415208153,0.0587319196416107,0.0823316143305092,0.0318899204965875,0.0699594695297017,0.0724473588754352,0.0848508090214189,0.114086550045782,0.112271692352438,0.0859188118009144,0.141053554597695
1人当たり粗利益,2013.41652014246,1847.53647324213,2048.03950256027,2039.8336020512,1876.18475760607,2073.84784104766,1962.25794213256,2117.81734158601,2379.46490394281,2160.63618415623,2453.61084671224,2637.69225541518
1人当たり営業利益,256.28126412469,90.3821644694724,333.773053132213,367.935000072268,126.966126391437,300.737771699254,294.03609755961,380.799298967302,551.078123857482,494.811891652981,437.144242109337,787.942823705321
"人数(正社員=1, Intern&Part Time=0.3)",410.044,426.238,449.406045866666,463.47123,468.702733333333,465.901886666666,461.92084,460.95613,461.64085,475.18712,459.243646666666,466.5
前月比_売上,0,1.04555979825917,1.20508760002868,0.810982094574266,0.900958252735445,1.0732577156241,0.936072981377227,1.10345365761785,1.07791175568412,0.939185900040722,1.11569410168116,1.11527678104586
前月比_粗利,0,0.953852224866292,1.16877806820621,1.0271651647744,0.930155519501337,1.09874843231211,0.938106821203541,1.07702167396804,1.12521481229498,0.934679612722639,1.09749495929026,1.09201079749516
前月比_人件費,0,1.07405144149813,0.977122153575747,1.04479395413118,0.940718486697355,1.02172256200644,0.896344468804833,0.978175058492966,1.04788488124946,0.991703345426587,1.01374546640438,1.05949107768475
前月比_販管費(人件費以外),0,0.964823865913543,1.07297794783898,0.94397266640084,1.01463360623659,1.04607243647993,0.921822233744222,1.06916225538502,1.14960217208792,0.896831366057409,1.22398348385184,0.925425463678544
,,,,,,826095326.577086,,,,,,
BCM,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,331817.786275281,415906.872228904,544751.29755186,422961.346353464,539881.105670833,564471.962,633977.077,661427.2,730573.921,693668.377,812959.879,836308.946
