(千円),Unnamed: 1,Unnamed: 2,Done,PMとGROVEには韓国案件が含まれていないため、ピュアなJP業績になります,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
AJP_ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,4月（見込み）,,"累計
（1月）"
売上高,1557826,1767416,1258295.1512132278,1320373.4194981481,1554275.6021430518,1205052.5932395195,1196668.9847785714,1574374.5965129642,1322290.7178672766,1295783.4659844758,0,0,0,0,,,
原価,883981,1062055,712702.1882627067,819072.171927718,892005.1125372837,644406.6970584074,649829.060573516,953167.2570743556,784529.8535990505,731004.1097475783,0,0,0,0,,,
粗利,673845,705361,545592.962950521,501301.24757043016,662270.4896057681,560645.8961811122,546839.9242050555,621207.3394386086,537760.8642682261,564779.3562368975,0,0,0,0,,,545592.962950521
人件費,117400,115163,126181.14155730342,134306.8049089509,133505.34699999978,143125.7984396254,132835.74245049112,145626.18158309505,133569.71911354063,127260.09349999981,62546.31819999985,0,0,0,133569.7191135407,,
その他販管費,241114,303502,217259.60800000004,193565.783,219221.32233333334,178602.54936363638,190901.08099999998,211315.79700000002,200657.07700000002,205038.13799999995,32846.029999999984,0,0,0,200657.0769999999,,
管理部門コスト,112147,175675,63567.092838230616,80376.04185362427,79276.29868744795,89022.93097566122,121842.81051317218,108569.20704432252,119707.60106996565,126805.30763281566,49119.386482186164,0,0,0,119707.60106996547,,
エンジニアコスト,33034,30336,37235.05781165247,34981.11706183961,35856.404728796246,37465.7148368199,37926.77359499682,39636.24906396148,35752.24863326962,35346.663631619565,11739.522078006265,0,0,0,35752.24863326965,,
営業利益,170150,80685,101350.0627433345,58071.5007460154,194411.11685619073,112428.90256536927,63333.51664639538,116059.90474722954,48074.21845145017,70329.15347246255,-156251.25676019225,0,0,0,,,101350.0627433345
粗利率,0.43255472690788316,0.39909166828862025,0.4335969684254677,0.37966626726018643,0.42609591805508784,0.4652459978314628,0.4569684107808989,0.3945740364551755,0.40668882946980134,0.43585936312885776,0,0,0,0,,,
営業利益率,0.1092227244891278,0.045651391636151305,0.08054554024595455,0.04398111919587673,0.12508149557783355,0.09329792176383674,0.05292484174987994,0.07371810051069624,0.0363567692050271,0.0542753903863326,0,0,0,0,,,
1人当たり粗利益,3119.652777777778,3391.158653846154,2163.5548384243566,1897.975762221136,2381.2834274324896,1935.7313927294736,1895.8752476368898,2138.616195701758,1871.4043245957023,1993.2629258728193,0,0,0,0,,,
1人当たり営業利益,787.7314814814815,387.90865384615387,401.9047779449445,219.86440573591184,699.0315557527991,388.1811275679154,219.57512837097613,399.5567602088156,167.2979688360674,248.2110804451547,-568.2278791854794,0,0,0,,,
"人数(正社員=1, Intern&Part Time=0.3)",216,208,252.174316666666,264.124156666666,278.114936666666,289.630006666666,288.436659999999,290.471633333333,287.356856666666,283.344133333333,274.979919999999,277.452606666666,283.94057,269.058443333333,,,
