(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,PMとGROVEには韓国案件が含まれている,Unnamed: 7,Unnamed: 8
ALL,11月,12月,1月,2月,3月,4月,差額,
売上高,1983611,2479974,1618817.4369436107,1750861.5157428435,2093259.3439087742,1676728.6114141766,-416530.73249459756,
原価,1090465,1396931,894322.6826293825,1009216.9542449949,1174055.6353505063,840498.6775630274,-333556.9577874789,
粗利,893146,1083043,724494.7543142282,741644.5614978486,919203.7085582679,836229.9338511493,-82973.77470711863,
人件費,199444,212412,222046.13055730343,235071.7759089509,223007.61999999976,238775.50543962538,15767.885439625621,
その他販管費,376977,443487,338422.9299999998,326050.7399999999,346703.4073333333,330636.52636363625,-16066.880969697027,
管理部門コスト,103530,166804,87436.51963026224,109681.06584164657,112096.03060994695,122788.91751064,10692.886900693062,
エンジニアコスト,37373,33390,37235.05781165247,34981.11706183961,35856.404728796246,37465.7148368199,1609.310108023652,
営業利益,175821,226950,39354.11631501024,35859.86268541159,201540.24588619173,106563.26970042777,-94976.97618576395,
粗利率,0.45,0.437,0.44754568228651037,0.4235883619745841,0.43912557286944925,0.49872706182657733,,
営業利益率,0.089,0.092,0.024310410437209225,0.020481267286406264,0.09628059058838483,0.06355427406379784,,
1人当たり粗利益,2163,2630,1766.2243922162836,1743.1175648236367,2061.4394583402855,2887.2351434689667,,
1人当たり営業利益,426,551,95.94023939549568,84.28290284076459,451.9814394189457,367.92896884842116,,
"人数(正社員=1, Intern&Part Time=0.3)",413,412,410.1940599999991,425.4701899999992,445.9038099999992,289.630006666666,,
前月比_売上,1.097,1.25,0.652755809917205,1.0815682335671755,1.1955596288382981,0.8010133174818159,,
前月比_粗利,1.13,1.213,0.6689436655001031,1.023671402838318,1.2394127271719155,0.9097329852625818,,
前月比_人件費,1.018,1.257,1.0453558676407333,1.0586618884956698,0.9486788413355762,1.0707055904171598,,
前月比_その他販管費,1.156,1.183,0.7630954909614032,0.9634416320430771,1.0633418814916151,0.95365813940718,,
,,,,,,,,
BCM,11月,12月,1月,2月,3月,4月,差額,
売上高,515283,529943,331817.7862752799,415906.87222890387,544751.2975518598,422961.346353464,-121789.95119839575,
原価,273556,245452,157299.6248128902,240423.1959168355,307682.89345719025,186910.48248947135,-120772.4109677189,
粗利,241727,284491,174518.1614623897,175483.67631206836,237068.4040946695,236050.86386399265,-1017.5402306768519,
人件費,45844,43962,48830.22699999982,56347.30940000001,53017.229049999936,62354.50111962554,9337.2720696256,
その他販管費,28982,49373,43832.418000000005,26295.688000000006,44540.40733333333,31405.850363636368,-13134.556969696961,
管理部門コスト,45030,69869,26163.475051656525,34284.16671374668,35289.56911884006,41802.31778515799,6512.74866631793,
エンジニアコスト,9667,8700,11423.761658301391,10843.843562020977,11261.787530002266,12882.885847804357,1621.0983178020906,
営業利益,112204,112587,44268.27975243196,47712.66863630069,92959.41106249389,87605.30874776837,-5354.102314725518,
粗利率,0.469115029993227,0.5368332065901427,0.5259457710853613,0.4219302157034013,0.43518648814618166,0.5580908655107402,,
営業利益率,0.21775218666247478,0.21245115040674187,0.1334114130811134,0.11471959667461548,0.17064559823952372,0.20712367572841422,,
1人当たり粗利益,2778.4712643678163,3427.602409638554,1979.6281143698716,1811.616474440726,2235.300196535659,2033.5954294854487,,
1人当たり営業利益,1289.7011494252874,1356.4698795180723,502.15250056705963,492.56465534343954,876.5073127790289,754.7261321219805,,
"人数(正社員=1, Intern&Part Time=0.3)",87,83,88.15704333333332,96.86579846666656,106.0566292,116.0756266666667,,
前月比_売上,,1.0284503855163085,0.6261386342970469,1.253419465235847,1.309791527686139,0.7764301769528112,,
前月比_粗利,,1.1769103161831322,0.6134400085148202,1.0055324605851224,1.3509427718683247,0.9957078201350252,,
前月比_人件費,,0.9589477357996684,1.1107371593649018,1.1539432204564648,0.9409008098974097,1.1761176930016415,,
前月比_販管費(人件費以外),,1.703574632530536,0.8877811354383977,0.5999141548613631,1.693829320355996,0.7051091861059998,,
,,,,,,,,
BM,11月,12月,1月,2月,3月,4月,差額,
売上高,441716,448927,264012.49095632386,358106.98290461145,456745.32182654046,357588.11472359404,-99157.20710294641,
原価,242013,219882,122612.49413371012,215377.49300207326,268827.96766512946,162392.8873760461,-106435.08028908336,
粗利,199703,229045,141399.99682261376,142729.4899025382,187917.354161411,195195.22734754795,7277.873186136945,
人件費,38220,36126,37362.792199999836,45254.07849000001,42895.98651999993,50895.90079962554,7999.914279625606,0.18649563580722653
その他販管費,15596,27575,31778.50600000001,19149.950000000004,30349.658333333326,19322.16336363637,-11027.494969696956,
管理部門コスト,37965,58573,20561.53066974463,27840.067244841408,28796.197985731385,34300.80946278344,5504.611477052058,
エンジニアコスト,8054,7120,9142.282185408225,8920.317000553165,9135.426332839606,10653.69025377736,1518.263920937754,
