科目,Account Number,Account (Line): Name,Type,Subsidiary,Date,Document Number,Transaction Number,Vendor Name,JE Name,Split,Memo,Description,Department,Class: Name,Cost Items,Nature,Amount,Type.1,Irregular?,Entity Level Dept,Month (YYMM),BU Level Dept,Unnamed: 23
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-01-01,AJP_BM_12月_法人_0006_,VENDBILL316849,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,2024年12月楽天広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,260734.0,Local,,D2C,2025-01-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-01-31,UPSIDER_202501,VENDBILL324428,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202501,,Brand Commerce & Marketing,BC,Advertising and marketing events,,5000.0,Local,,D2C,2025-01-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-01-31,AJP_BM_202501_法人_0006_,VENDBILL324867,VEN0030589 藤田金属株式会社,,80010 - Accounts Payable : Trade Creditors,,2025年1月楽天広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,299610.0,Local,,D2C,2025-01-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-01-31,AJP_BM_202501_法人_0005_,VENDBILL324866,VEN0022731 株式会社ダイニチ・コーポレーション,,80010 - Accounts Payable : Trade Creditors,,2025年1月EC広告費,Brand Commerce & Marketing,BC,Advertising and marketing events,,4459581.0,Local,,D2C,2025-01-01,BC,
広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-01-31,SGA_google_2501,VENDBILL324566,VEN0026369 Google Japan G.K.,,80011 - Accounts Payable : Non-trade Creditors,google,[JP] BM_藤田金属,Brand Commerce & Marketing,BC,Advertising and marketing events,,212090.0,Local,,D2C,2025-01-01,BC,
交通費および宿泊費,41310.0,Travel - Transportation - Domestic,Bill,AnyMind Japan Inc,2025-01-31,UPSIDER_202501,VENDBILL324428,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202501,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,41573.0,Local,,D2C,2025-01-01,BC,
一般管理費,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-01-31,UPSIDER_202501,VENDBILL324428,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_202501,,Brand Commerce & Marketing,BC,IT expenses,,183313.0,Local,,D2C,2025-01-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-01-01,AJP_BM_12月_法人_0007_,VENDBILL316850,VEN0040859 株式会社GROOVE,,80010 - Accounts Payable : Trade Creditors,,2024年12月ダイニチ Amazon運用代行費用,Brand Commerce & Marketing,BC,Other outsourced services,,730520.0,Local,,D2C,2025-01-01,BC,
業務委託費,42610.0,Other Outsourced Services - recurring service,Bill,AnyMind Japan Inc,2025-01-31,AJP_BM_202501_法人_0007_,VENDBILL324869,VEN0040859 株式会社GROOVE,,80010 - Accounts Payable : Trade Creditors,,2024年12月ダイニチ Amazon運用代行費用,Brand Commerce & Marketing,BC,Other outsourced services,,669719.0,Local,,D2C,2025-01-01,BC,
業務委託費,42620.0,Other Outsourced Services - non-recurring service,Bill,AnyMind Japan Inc,2025-01-31,AJP_BM_202501_法人_0003_,VENDBILL324344,VEN0047187 株式会社R6B,,80010 - Accounts Payable : Trade Creditors,,クロスカンパニーコーディング実装,Brand Commerce & Marketing,BC,Other outsourced services,,1080000.0,Local,,D2C,2025-01-01,BC,
