Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97
,12,Dec,粗利,,,,,,,,11,Nov,粗利,,,,,,,,10,,粗利,,,,,,,,9,Sep,粗利,,,,,,,,8,Aug,粗利,,,,,,,,7,July,粗利,,,,,,,,6,June,粗利,,,,,,,,5,May,粗利,,,,,,,,4,Apr,粗利,,,,,,,,3,Mar,粗利,,,,
,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,,,,,(千円）,,,,,,
,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,
,,BM,237182.623,239728.63675729098,2546.013757290988,,,,,,,BM,188498.28399999999,150255.87394247417,-38242.41005752582,,,,,,,BM,176943.379,167458.91941111503,-9484.459588884958,,,,,,,BM,254443.705,239728.63675729098,-14715.068242709007,,,,,,,BM,194763.02300000002,189832.14706078015,-4930.87593921987,,,,,,,BM,181610.602,154691.957670639,-26918.644329361006,,,,,,,BM,242681.058,209296.9219521117,-33384.136047888285,,,,,,,BM,200656.848,208450.5058577847,7793.65785778471,,,,,,,BM,185678.466,197266.89240742242,11588.426407422434,,,,,,,BM,230870.403,187769.13039141137,-43101.272608588624,,
,,BC,194821.459,196743.05442560243,1921.595425602427,,,,,,,BC,115463.987,112223.24880462827,-3240.7381953717268,,,,,,,BC,122716.735,196743.05442560243,74026.31942560243,,,,,,,BC,126230.123,196743.05442560243,70512.93142560242,,,,,,,BC,63959.791999999994,69388.7715467316,5428.979546731607,,,,,,,BC,78396.625,87444.13208193265,9047.50708193265,,,,,,,BC,20492.217,21132.649544954627,640.4325449546268,,,,,,,BC,27907.503,26826.33487003998,-1081.1681299600205,,,,,,,PM,15005.115,15005.114999999998,0,,,,,,,PM,15472.748,12611.016,-2861.732,,
,,PG Web,161267.286,180828.12543253216,19560.83943253217,,,,,,,PG Web,155603.33000000002,131382.1879240572,-24221.14207594283,,,,,,,PG Web,127169.30699999999,180828.12543253216,53658.81843253218,,,,,,,PG Web,135295.048,180828.12543253216,45533.077432532154,,,,,,,PG Web,126014.867,124536.8890169012,-1477.9779830987973,,124536889.0169012,,,,,PG Web,128869.82800000001,129145.65149984328,275.8234998432745,,,,,,,PG Web,120123.219,113413.26350938121,-6709.955490618784,,,,,,,PG Web,108087.13999999998,109790.83658863549,1703.6965886355028,,,,,,,BC,26069.251,25850.5215162306,-218.72948376939894,,,,,,,BC,33102.105,32599.033933258488,-503.0710667415151,,
,,PG App,71901,71900.67100000002,-0.3289999999833526,,,,,,,PG App,63900.702,63900.702000000005,7.275957614183426e-12,,,,,,,PG App,56122.58,71900.67100000002,15778.091000000015,,,,,,,PG App,62499.209,71900.67100000002,9401.462000000014,,,,,,,PG App,64678.552,64678.551999999996,-7.275957614183426e-12,,,,,,,PG App,63389.522,63394.75,5.228000000002794,,,,,,,PG App,66814.357,56901.356999999996,-9913.000000000007,,,,,,,PG App,59671.459,59671.459,0,,,,,,,PG Web,125567.277,118333.62268694094,-7233.654313059058,,,,,,,PG Web,138847.38,132443.66706607665,-6403.712933923351,,
,,CG,116325.654,121521.07274405617,5195.41874405618,,,,,,,CG,2949.545,-2790.4115607547674,-5739.956560754767,,,,,,,CG,2732.313,121521.07274405617,118788.75974405618,,,,,,,CG,113688.414,121521.07274405617,7832.658744056171,,,,,,,CG,11577.653,9963.64288184006,-1614.0101181599402,,,,,,,CG,14469.614,31350.143791895833,16880.52979189583,,,,,,,CG,40747.562,80380.66745740466,39633.105457404665,,,,,,,CG,21456.29,36051.01186254309,14594.72186254309,,,,,,,PG App,58583.127,58650.05700000001,66.93000000000757,,,,,,,PG App,78473.898,78452.609,-21.289000000004307,,
,,D2C Creator,83352.503,84400.407,1047.9040000000095,,,,,,,D2C Creator,72408.824,69843.859,-2564.9649999999965,,,,,,,D2C Creator,47935.191,84400.407,36465.21600000001,,,,,,,D2C Creator,96119.211,84400.407,-11718.80399999999,,,,,,,D2C Creator,54011.197,55610.512,1599.3150000000023,,,,,,,D2C Creator,40171.627,39234.418999999994,-937.208000000006,,,,,,,D2C Creator,87365.505,83597.422,-3768.0829999999987,,,,,,,D2C Creator,51467.167,49627.416000000005,-1839.7509999999966,,,,,,,CG,18958.97,33347.27933102521,14388.309331025208,,,,,,,CG,45949.914,47983.508770227636,2033.594770227639,,
,,DX / AI,37890.67,37752.568999999996,-138.1010000000024,,,,,,,DX / AI,43564.788,44306.426,741.637999999999,,,,,,,DX / AI,20063.322,19511.480000000003,-551.8419999999969,,,,,,,DX / AI,57867.338,37752.568999999996,-20114.769000000008,,,,,,,DX / AI,51270.767,50804.584,-466.18299999999726,,,,,,,DX / AI,53932.381,48985.053,-4947.328000000001,,,,,,,GEC,40771.645,40650.501000000004,-121.14399999999296,,,,,,,GEC,26500.64,25541.637,-959.0030000000006,,,,,,,D2C Creator,54926.569,54694.431,-232.1380000000063,,,,,,,D2C Creator,80585.317,105924.73999999999,25339.422999999995,,
