Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,YTD,YTD.1,YTD.2,YTD.3,YTD.4,YTD.5,YTD.6,YTD.7,YTD.8,YTD.9,YTD.10,YTD.11,YTD SUM
Group,Data Source,CoA,Department / Account,Items,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD
AJP,Budget FTE Revision,Local,DM,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,DM,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,DM,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,DM,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,IM,Full-time,59,62,65,74,74,76,82,83,87,89,90,90,931
AJP,Budget FTE Revision,Local,IM,Non Full-time,70,70,70,70,70,70,70,70,70,70,70,70,840
AJP,Budget FTE Revision,Regional,IM,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,IM,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,POKKT,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,POKKT,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,POKKT,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,POKKT,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,PG,Full-time,50,51,52,59,60,62,63,63,64,65,65,65,719
AJP,Budget FTE Revision,Local,PG,Non Full-time,19,19,19,22,22,22,25,25,25,28,28,28,282
AJP,Budget FTE Revision,Regional,PG,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,PG,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,CG,Full-time,7,7,7,7,7,7,7,7,7,7,7,7,84
AJP,Budget FTE Revision,Local,CG,Non Full-time,2,2,2,2,2,2,2,2,2,2,2,2,24
AJP,Budget FTE Revision,Regional,CG,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,CG,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,D2C,Full-time,66,67,68,76,77,81,83,83,84,84,85,85,939
AJP,Budget FTE Revision,Local,D2C,Non Full-time,21,22,23,10,10,10,10,10,10,10,10,10,156
AJP,Budget FTE Revision,Regional,D2C,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,D2C,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,Corporate,Full-time,40,42,43,39,40,40,41,41,41,41,41,42,491
AJP,Budget FTE Revision,Local,Corporate,Non Full-time,5,5,5,6,6,6,6,6,6,6,6,6,69
AJP,Budget FTE Revision,Regional,Corporate,Full-time,1,1,1,0,0,0,0,0,0,0,0,0,3
AJP,Budget FTE Revision,Regional,Corporate,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,海外 (JP only),Full-time,12,12,12,12,12,12,12,12,12,12,12,12,144
AJP,Budget FTE Revision,Local,海外 (JP only),Non Full-time,1,1,1,1,1,1,1,1,1,1,1,1,12
AJP,Budget FTE Revision,Regional,海外 (JP only),Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,海外 (JP only),Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,Tech (incl. corporate planning),Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Local,Tech (incl. corporate planning),Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Regional,Tech (incl. corporate planning),Full-time,41,41,43,42,43,46,48,48,51,51,51,51,556
AJP,Budget FTE Revision,Regional,Tech (incl. corporate planning),Non Full-time,1,1,1,1,1,1,1,1,1,1,1,1,12
AJP,Budget FTE Revision,Tech-Recharge (incl. CP),Tech (incl. corporate planning),Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Budget FTE Revision,Tech-Recharge (incl. CP),Tech (incl. corporate planning),Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,0
