Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,YTD,YTD.1,YTD.2,YTD.3,YTD.4,YTD.5,YTD.6,YTD.7,YTD.8,YTD.9,YTD.10,YTD.11,YTD SUM
Group (Budget),Data Source,CoA,Department / Account,Items,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD
AJP,Base Budget Revision,Revenue,DM,Digital Marketing : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Revenue,DM,Digital Marketing : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Revenue,IM,Influencer Marketing : Direct,1440236.9281,1923601.9737,2300827.8146,1903015.73426573,2059571.67832167,2263243.006993,2108653.84615384,2328190.55944055,2439641.6083916,2338505.24475524,2614772.72727272,2858828.67132867,26579089.793323018
AJP,Base Budget Revision,Revenue,IM,Influencer Marketing : Agency (Net),1196200.9804,1594490.1316,1907781.457,1585620.62937062,1717526.22377622,1887980.76923076,1767220.27972027,1950655.59440559,2043750,1964816.43356643,2198295.45454545,2394536.71328671,22208874.66690205
AJP,Base Budget Revision,Revenue,CG,Creator Growth : AdSense Non-BGM,22754.1639,23132.901,23518.96,8719.41398601398,14598.0617482517,20631.6612587412,34697.3133566433,45279.6389510489,55879.8889510489,63007.6605594405,73663.77006993,82124.2183216783,468007.65210279677
AJP,Base Budget Revision,Revenue,CG,Creator Growth : AdSense BGM,922626.9742,946587.1845,971273.6889,280407.027972027,288880.048951048,293659.832167832,298552.832167832,304635.818181818,311612.027972027,0,0,0,4618235.435012585
AJP,Base Budget Revision,Revenue,CG,Creator Growth : Sponsorship,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Revenue,CG,Creator Growth : Others,128181.4528,143636.7163,147690.7018,108803.248811188,112720.743216783,105521.764965034,115641.422097902,114018.586433566,124128.092867132,122656.233356643,132909.521818181,131574.592867132,1487483.0773335611
AJP,Base Budget Revision,Revenue,PG,Publisher Growth : Web,2843412.098,2817716.2171,3446162.1854,2986487.13986013,3020807.23076923,3383470.39160839,3177150.91608391,3222420.12587412,3619597.95804195,3393249.006993,3971891.95104895,4573605.72727272,40455970.9480524
AJP,Base Budget Revision,Revenue,PG,Publisher Growth : App,590202.6144,586993.4211,662973.5099,646209.79020979,672559.44055944,681139.86013986,716650.349650349,727244.755244755,695713.286713286,724881.118881118,765678.321678321,835727.272727272,8305973.741204191
