Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Check,0,0.1,0.030000003054738045,-0.010000001639127731,0.019999995827674866,-0.009999996051192284,-0.019999995827674866,0.2,0.009999997913837433,-0.010000002570450306,0.039999996311962605,0.010000002570450306
entity,source,account_type,department ,items_1,items_2,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
AJP,Cash Flow,Beginning Balance,X,X,X,7716914.100000001,9863678.219999999,8774867.33,13920241.56,9694023.27,9986269.71,10428663.91,10065099.66,9207744.74,12051614.48,6142407.41,4654060.78
AJP,Cash Flow,Ending Balance,X,X,X,10009384.47,10212506.11,12171604.56,9330998.62,9821133.84,9608226.52,10961852.27,9366502.26,13484972.43,6152086.33,5107116.75,6319168.81
AJP,Cash Flow,Operating,DM,Working Capital,Inflow,3524.56,3846.81,2207.85,1460.49,15.27,15.21,1515.6,0,4348.8,2000.09,14.09,14.06
AJP,Cash Flow,Operating,IM,Working Capital,Inflow,4971885.16,2224647.14,2852155.87,2742995.94,4029635.26,-660383.51,2693812.44,2099015.6799999997,2648485.17,3152111.41,1851877.47,5032743.74
AJP,Cash Flow,Operating,POKKT,Working Capital,Inflow,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cash Flow,Operating,PG,Working Capital,Inflow,2661854.5100000002,2577990.5399999996,2698650.2399999998,2997591.63,3188339.19,2496373.14,3173909.87,3033437.96,3022653.9299999997,4136147.65,2775918.82,3313910.96
AJP,Cash Flow,Operating,CG,Working Capital,Inflow,1475300.05,45957.53,68535.41,50093.98,54339.71,0,38827.19,53174.02,2673509.15,51370.48,2183032.5100000002,35439.74
AJP,Cash Flow,Operating,D2C,Working Capital,Inflow,1803452.07,1869170.3199999998,1792017.6600000001,1971374.2,1520882.5599999998,0,1534637.3399999999,2306776.62,2777170.53,1913511.4,2189534.3200000003,3711784.85
AJP,Cash Flow,Operating,Other,Working Capital,Inflow,2505453.99,-89403.28,2975.56,-157819.28,975949.57,13547.26,110687.64,3252916.54,5096843.84,126192.72,344904.97000000003,6836.48
AJP,Cash Flow,Operating,Intercompany,Working Capital,Inflow,5333850.960000001,3748159.02,2886145.35,934728.4500000001,3050916.9,2750361.93,4275140.18,370824.96,2294097.8600000003,1840145.6,7170336.959999999,662649.23
AJP,Cash Flow,Operating,DM,Working Capital,Outflow,-6251.13,-18224.4,-9659.44,-14784.65,-5362.87,-2641.39,-2031.29,-2346.75,-2378.04,-2201.6,-4003.08,-14481.15
AJP,Cash Flow,Operating,IM,Working Capital,Outflow,-1851650.44,-944383.3,-1423481.72,-1958891.64,-1817734.23,0,-1175185.28,-1155246.83,-1655895.64,-1702164.48,-1575735,-3195432.01
AJP,Cash Flow,Operating,POKKT,Working Capital,Outflow,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cash Flow,Operating,PG,Working Capital,Outflow,-2438264.1100000003,-2513939.77,-2349795.23,-2262262.49,-3004792.43,-2232756.6,-2282011.2399999998,-2459115.92,-2671945.21,-2611319.86,-2734736.53,-2708211.4699999997
AJP,Cash Flow,Operating,CG,Working Capital,Outflow,-2799682.2800000003,-2030904.2600000002,-1497697.88,-1570705.33,-1377116.81,-91.37,-665526.32,-1415967.74,-601937.46,-632393.38,-2426544.19,-457316.83999999997
AJP,Cash Flow,Operating,D2C,Working Capital,Outflow,-923895.54,-1264101.1400000001,-850366.8799999999,-2060355.8599999999,-728074.3200000001,0,-1063194.98,-1023950.61,-1398015.25,-3221444.9299999997,-2903203.23,-1370083.76
AJP,Cash Flow,Operating,Other,Working Capital,Outflow,0,0,0,-362107.09,-340125.58,0,-1389874.18,-1505750.11,-1149503.36,-3448914.0900000003,-433963.72,-902951.1
AJP,Cash Flow,Operating,Intercompany,Working Capital,Outflow,-1645788.37,-1816496.0299999998,-1426840.23,-476478.13999999996,-2138311.54,-2134680.29,-2472371,-474350.13,-2089727.4799999997,-1540613.3099999998,-6061944.350000001,-704513.61
AJP,Cash Flow,Operating,Operating expenses,Working Capital,Outflow,-4204548.46,-3870859.06,-3846575.2800000003,-4425407.9,-3307630.61,-607886.3900000001,-3515545.3400000003,-3342519.32,-4091853.090000001,-3536554.0200000005,-3424357.48,-4102504.7900000005
AJP,Cash Flow,Operating,X,Tax declaration,Outflow,23906.399999999998,-219381.55000000002,27180.78,41656.02,26180.52,98.81,28304.23,-326721.45,-85210.9,-76255.87,-77096.04000000001,-71927.19
AJP,Cash Flow,Investing,X,Capex & Financial Investments,Inflow,0,0,0,0,0,0,0,0,0,0,1581098.26,2778258.52
AJP,Cash Flow,Investing,X,Capex & Financial Investments,Outflow,-23609,-25314.68,-3203308.8,-40331.28,0,0,-28091.49,-2896077.69,-425491.63,-1127405.93,-66225.37,-26283298.05
AJP,Cash Flow,Investing,Intercompany,Intercompany Loan Issuance/collection,Inflow,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cash Flow,Investing,Intercompany,Intercompany Loan Issuance/collection,Outflow,0,0,0,0,0,0,0,0,0,0,0,-127821.2
AJP,Cash Flow,Financing,X,Others,Inflow,0,2672064,2335746,0,0,0,0,0,0,0,0,26126653.28
AJP,Cash Flow,Financing,X,Others,Outflow,0,0,0,0,0,0,-67505.03,-68789.03,-67923.52,-65181.34,-128581.83,-64641.65
AJP,Cash Flow,Financing,Intercompany,Intercompany Loan Borrowing/Repayment,Inflow,0,0,5338848,0,0,0,1337690,2856092.4,0,843441.3,704382.8,0
AJP,Cash Flow,Financing,Intercompany,Intercompany Loan Borrowing/Repayment,Outflow,-2593068,0,0,0,0,0,0,0,0,0,0,0
