Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Finalized?,True,True.1,True.2,True.3,True.4,True.5,True.6,True.7,True.8,True.9,True.10,True.11,Unnamed: 17
0,0,0,0,0,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD SUM
Group (Budget),Data Source,CoA,Department / Account,Items,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD
AJP,MGM,Revenue,DM,Digital Marketing : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,DM,Digital Marketing : Agency (Net),8660.99614906,11990.97301258,17018.60083945,17199.27263322,5238.9323249342,5250.9754098,9422.90518255999,-5150.33280517039,12469.3668712299,1349.83101139,11487.9715209161,8861.35844291687,103800.85059288667
AJP,MGM,Revenue,IM,Influencer Marketing : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,IM,Influencer Marketing : Agency (Net),1871511.26659353,2563337.47062985,3244278.03870128,2572742.44011023,2881834.04810366,3323129.15443521,2673579.20718774,2544629.04719549,2947883.03747172,2390741.67769625,1960578.08682518,2926815.47474604,31901058.949696183
AJP,MGM,Revenue,CG,Creator Growth : AdSense Non-BGM,107831.298947373,148318.758176346,124643.849545063,149108.430000028,157706.035722504,137311.909999554,61891.1610902348,20574.6459720058,22302.072902163,25546.4709870871,1680.64356344596,22763.69499128,979678.9718970847
AJP,MGM,Revenue,CG,Creator Growth : AdSense BGM,1420765.67953786,1295926.19471482,356268.558490111,429422.558761348,367972.271471745,306299.445981032,238356.726786958,193424.690422363,162989.318085904,0,0,0,4771425.444252141
AJP,MGM,Revenue,CG,Creator Growth : Sponsorship,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,CG,Creator Growth : Others,174070.06788761,227783.25701288,764276.71601615,127992.28014774,115924.141953689,1529794.75456242,116016.9223347,124277.50490831,2934330.43076496,40085.05486702,47836.17665865,2780153.4292225,8982540.73633663
AJP,MGM,Revenue,PG,Publisher Growth : Web,2459424.90116922,2466076.76339048,3299402.65039839,2645141.83995827,2568560.166618,2801620.25849389,3120400.40478932,3112253.04509868,3097648.68160472,2864996.83845346,3257332.35463264,4440526.35472178,36133384.25932885
AJP,MGM,Revenue,PG,Publisher Growth : App,700631.221981863,659844.801517047,791939.359113703,656481.946865982,659168.777241999,703881.011448724,668523.017197768,665031.35723052,661964.985022812,764350.926365121,631042.624827497,0,7562860.028813036
AJP,MGM,Revenue,PG,Publisher Growth : Others,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,POKKT,Mobile Marketing : App Performance : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
