Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Local Currency/USD,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
,CNY,0.13843145,0.13679791,0.13749431,0.13528367,0.13820063,0.13966662,0.14091592,0.13939448,0.14079701,0.14232503,0.14121595,0.14242665
,HKD,0.12862909,0.12827119,0.12857549,0.12713317,0.12781222,0.12786818,0.12821316,0.12769264,0.12867842,0.12990967,0.1288712,0.12846003
,IDR,6.158e-05,6.04e-05,6.078e-05,5.922e-05,6.094e-05,6.186e-05,6.117e-05,6.043e-05,6.132e-05,6.058e-05,6.002e-05,5.963e-05
,INR,0.01151446,0.011364,0.01162932,0.01143919,0.01175643,0.0117216,0.01166057,0.01126522,0.0113323,0.01151933,0.01128098,0.01113038
,JPY,0.00643258,0.00658381,0.00666392,0.00682044,0.00696645,0.00693777,0.00682856,0.00672382,0.00676525,0.00666806,0.00644919,0.00639148
,KRW,0.00068653,0.00068781,0.00068487,0.00068396,0.00071663,0.00073313,0.00073036,0.00071845,0.00071742,0.00071144,0.00069041,0.00068823
,MYR,0.22627144,0.22351928,0.22678647,0.2267132,0.2343257,0.23703403,0.23629312,0.23538939,0.23792335,0.23974213,0.24121801,0.24510489
,PHP,0.01719212,0.01718675,0.01739395,0.0175041,0.01791718,0.01777992,0.01754999,0.01741016,0.01734509,0.01721268,0.01709258,0.0169763
,SAR,0.26534083,0.26418809,0.26620993,0.25988065,0.26761338,0.26740783,0.2710208,0.26406118,0.26773492,0.27230821,0.26893436,0.26667485
,SGD,0.73832093,0.73932608,0.74550101,0.74939734,0.77193232,0.78405741,0.78146799,0.77465141,0.77779558,0.77853151,0.77214052,0.77601147
,THB,0.02951046,0.02948909,0.02946992,0.02943233,0.03029863,0.03086525,0.03077241,0.03077255,0.03112172,0.03109925,0.0311307,0.03162449
,TWD,0.03043138,0.03030765,0.03022588,0.03028644,0.03252226,0.03412952,0.03398242,0.03305908,0.03283266,0.03297599,0.03233458,0.03192893
,USD,1,1,1,1,1,1,1,1,1,1,1,1
,VND,3.977e-05,3.943e-05,3.916e-05,3.854e-05,3.847e-05,3.859e-05,3.835e-05,3.798e-05,3.793e-05,3.826e-05,3.808e-05,3.805e-05
,AED,0.27100769,0.26976878,0.27186275,0.26540464,0.27333972,0.27315838,0.27676411,0.26980026,0.27344729,0.27807011,0.27396655,0.27221304
