account_code,account_name,type,subsidiary,trandate,tranid,vendor,body_memo,line_memo,department,class,consolidation_classification,amount_functional,type_managerial report,irregular,dept_mgr_report,posting_period,bu_jp_mgr_report,d2c_platform_related,pokkt_sga_allocation_key
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0015709_2025/11,VEN0015709 植村総合事務所/ポラリス知財コンサルティング,,商標登録費用,D2C Solutions,130 Type Shade,Advertising and marketing events,80000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0015709_2025/11,VEN0015709 植村総合事務所/ポラリス知財コンサルティング,,商標登録費用,D2C Solutions,130 Type Shade,Advertising and marketing events,55000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0041833_2025/11,VEN0041833 株式会社ANWI,,POPUP会場費用,D2C Solutions,130 Type Shade,Advertising and marketing events,360000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0068275_2025/11,VEN0068275 株式会社ワコールアートセンター,,POPUP会場費11月分,D2C Solutions,123 weakend.,Advertising and marketing events,1500000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0041833_2025/11_2,VEN0041833 株式会社ANWI,,11月_POPUP会場費,D2C Solutions,130 Type Shade,Advertising and marketing events,30000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0070174_2025/11,VEN0070174 株式会社オクルコム,,ノベルティ_サンプル費用,D2C Solutions,130 Type Shade,Advertising and marketing events,45600,Local,,,2025-11-01,,,
41030,Promotional Giveaway,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0070366_2025/11,VEN0070366 株式会社サンギフト,,11月ノベルティ,D2C Solutions,117 A’pearl,Advertising and marketing events,414000,Local,,,2025-11-01,,,
41030,Promotional Giveaway,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0070369_2025/11,VEN0070369 株式会社サカエマーク,,11月ノベルティ,D2C Solutions,117 A’pearl,Advertising and marketing events,59000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0018802_2025/11,VEN0018802 株式会社COUNTERWORKS,,POPUP会場,D2C Solutions,109 YOOU,Advertising and marketing events,195200,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0070480_2025/11,VEN0070480 株式会社ぷれす,,11月販売開始用校閲,D2C Solutions,117 A’pearl,Advertising and marketing events,48000,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0038291_2025/11,VEN0038291 洋于,,新作撮影スタイリスト代,D2C Solutions,022 &Rson,Advertising and marketing events,201091,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0070231_2025/11,VEN0070231 株式会社TETSUDAU,,POPUP会場費_大阪会場_9月-11月,D2C Solutions,123 weakend.,Advertising and marketing events,2753773,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0070231_2025/11_2,VEN0070231 株式会社TETSUDAU,,POPUP会場費_東京会場_9月-11月,D2C Solutions,123 weakend.,Advertising and marketing events,2253773,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0044346_2025/11,VEN0044346 株式会社Yamashiro,,撮影スタジオ費用(11月新作撮影),D2C Solutions,046 Lantinam,Advertising and marketing events,39500,Local,,,2025-11-01,,,
41020,Advertising and Marketing Events for AnyMind Branding,VendBill,AnyMind Japan Inc,2025-11-01,D2C_VEN0019484_2025/11,VEN0019484 株式会社京屋,,POP UP会場費,D2C Solutions,046 Lantinam,Advertising and marketing events,415900,Local,,,2025-11-01,,,
