Unnamed: 0,(JPY),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,＊GROVE、ENGAWA、AnyReachへの追加本社販管費の配分調整について,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PIC,AnyReach,GROVE,ENGAWA,SGA's Breakdown (各バックオフィスを含めた全体の合計),,2501.0,2502.0,2503.0,2504.0,2505,2506.0,2507.0,2508.0,2509.0,2510.0,2511.0,2512.0,,,
Izawa,✕,✕,✕,Accounting and professional fee,会計士、税理士、監査法人、社労士など,577745.0,3167745.0,-1894254.0,2210327.0,1576782,2904958.0,592909.0,727745.0,3369857.0,1383127.0,37407527.0,3999914.0,,,
Ushiyama,✕,✕,✕,Advertising and marketing events,広告宣伝費,959761.0,867792.0,426928.0,126991.0,136336,-3687486.0,61193.0,109162.0,151392.0,4450260.0,2727765.0,159992.0,,,
Ushiyama,〇,〇,〇,Client Gifts and Entertainment,交際費,38727.0,118247.0,237004.54546,63818.0,24564.909090999998,53418.181815,32300.0,471820.8181895,4727.0,142025.0,106620.0,33200.0,,,
Izawa/Mizutani,〇,〇,〇,Depreciation and Amortization,減価償却,3648446.0,3512013.0,3595788.0,3602706.0,3562617,3460953.0,3604363.0,3901331.0,6386063.0,6109141.0,6547846.0,6622274.0,,,
Izawa,△,〇,〇,Depreciation - Lease,リース資産の減価償却,45021533.0,45021533.0,45021533.0,45021533.0,88988085,88988085.0,90855573.0,90855573.0,90855573.0,72179192.0,72179192.0,71904245.0,,,
Izawa,△,〇,〇,Interest Expense - Lease,リースの支払利息,1933402.0,1871848.0,1810213.0,1748494.0,5821383,5759043.0,5857572.0,5786220.0,5714770.0,5643224.0,5010863.0,4724667.0,,,
Izawa,✕,〇,〇,Finance costs,財務費用,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,357993.0,6108866.0,,,
