Unnamed: 0,HR Data Sheet,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Country,AJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Employee Expense,,,,,,,,,,,,,,,,,,,,FTE by Contract type,,,,,,,,,,,
,Location,Department,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,Department,Contract type,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
,AJP,DM,0,0,0,0,0,0,0,0,0,0,0,0,,,,Full-time,DM,Full-time,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,IM,281038.273914243,341310.871529398,328793.696496615,408998.557203908,369127.640981945,450913.40889561,348812.77527335996,342819.819147219,422565.788900749,380680.99236902,376217.961489479,337813.09052951995,,,,Non Full-time,DM,Part-time,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,PG,203759.7870847,210274.0529705,198448.33225448,239568.0573066,243042.017408549,249728.76367026,245083.81964576,212700.05780184,214620.195657999,212273.409205479,211889.48533071,190675.51445072,,,,Non Full-time,DM,Intern,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,CG,27955.92192162,28349.04313232,29878.72489152,30448.99500456,28836.505143,24303.86859348,24028.0637856,21334.7884411199,18495.56433175,18251.10034958,17656.5020933399,15020.5660161599,,,,Full-time,DM,Fixed-Term,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,D2C,298916.262720235,304316.471094631,322557.969341784,297405.738395171,284633.044747469,288158.66738736,296941.908468119,278819.29648699,272760.40913025,253661.64420576,243445.146279059,216223.24749438,,,,Non Full-time,DM,Consultant,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,POKKT,0,0,0,0,0,0,0,0,0,0,0,0,,,,Full-time,IM,Full-time,58.7,66.7,73.7,93.7,90,89,89,88,86,92,94,90
,AJP,Corporate,-5753.03176013998,129406.54021496,111912.401962039,173449.2193482,178044.29903312898,107626.16530280901,178569.0092041,171927.13035289999,96670.96045282991,162291.90894090998,152174.77632734898,44922.04948701,,,,Non Full-time,IM,Part-time,2.86002666666666,2.95967666666666,3.64745333333333,3.51951,4.41589666666666,3.45927333333333,3.86789333333333,3.72278333333333,3.29754333333333,4.09943666666666,4.26946333333333,3.24089666666666
