Group - Current Month,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Total,20675212,22079463,28275531,24893852,24970947,26655860,27294946,28652562,32450033,30052146,32341520,36259430,#REF!,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,7596163,8301350,10253862,9214611,9123612,10247497,9998367,10234361,11985784,10538059,12067875,14141417,,,,,,,,,,,,,,,,,,,,,,,,
Operating profit / loss,11360,575157,1508256,891869,813413,1926052,1210763,1167408,2194920,1022622,1960675,2217625,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group - YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Total,20675212,42754675,71030206,95924058,120895005,147550865,174845811,203498373,235948406,266000552,298342072,334601502,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Gross Profit,7596163,15897513,26151375,35365986,44489598,54737095,64735462,74969823,86955607,97493666,109561541,123702958,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Operating profit / loss,11360,586517,2094773,2986642,3800055,5726107,6936870,8104278,10299198,11321820,13282495,15500120,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local - Current Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Total,7243765.80999993,8004993.30313702,10103750.9399547,7968750.04127199,7677084.35293866,7737725.16000994,7419863.3242265,8651551.25780494,9767560.54093272,9221255.96367208,10272216.484441,11408085.8691691,8547494.373639867,8900950.611963702,9717149.420677695,8236188.181667769,8341773.581335612,10927899.81985955,9038764.409582332,8707464.451450568,13306605.705251858,8534679.270024288,8526805.597804649,13885160.491015546,,,,,,,,,,,,
Gross Profit,3041129.08281779,3462078.62875454,4023339.00450975,3207496.85483051,3222280.77447171,3431591.7880306,3020118.57112922,3209990.43960308,3863438.83946135,3795035.98363531,4443078.2496105,4546431.10248096,3517770.4035665933,3303065.541403123,4416050.87522245,3822201.956552976,3811743.8317384673,4319744.84034767,3680662.7286642324,3786651.451675985,5756759.320608196,3626722.402611139,3512601.1822445597,5942099.091354866,,,,,,,,,,,,
Operating profit / loss,626713.844975484,1053156.48467709,1183562.1054453,480471.389494965,378652.128867184,743250.502555563,180041.97299444,287127.85833091,956604.403350911,771149.035544307,1122453.19081379,515014.552458751,660142.4085518494,384925.10196307255,1298273.4439690867,765164.8446164187,443420.61880143965,815148.122368861,336808.0865056291,462057.2893244219,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local- YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Total,7243765.80999993,15248759.11313695,25352510.053091653,33321260.094363645,40998344.447302304,48736069.60731225,56155932.931538746,64807484.18934368,74575044.7302764,83796300.69394848,94068517.17838947,105476603.04755858,8547494.373639867,17448444.98560357,27165594.406281266,35401782.58794904,43743556.16928465,54671455.9891442,63710220.39872653,72417684.8501771,85724290.55542895,94258969.82545324,102785775.42325789,116670935.91427344,,,,,,,,,,,,
Gross Profit,3041129.08281779,6503207.71157233,10526546.716082081,13734043.570912592,16956324.345384303,20387916.1334149,23408034.704544123,26618025.144147202,30481463.98360855,34276499.967243865,38719578.21685436,43266009.31933533,3517770.4035665933,6820835.9449697165,11236886.820192166,15059088.77674514,18870832.60848361,23190577.44883128,26871240.17749551,30657891.629171494,36414650.94977969,40041373.352390826,43553974.53463539,49496073.62599026,,,,,,,,,,,,
Operating profit / loss,626713.844975484,1679870.329652574,2863432.435097874,3343903.824592839,3722555.953460023,4465806.456015586,4645848.429010026,4932976.287340936,5889580.690691847,6660729.726236154,7783182.917049944,8298197.469508695,660142.4085518494,1045067.510514922,2343340.9544840087,3108505.7991004274,3551926.417901867,4367074.540270728,4703882.626776357,5165939.91610078,7289797.815353682,7723362.829019636,7362100.4630596135,9740388.071512012,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
