(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,GROVEには韓国案件が含まれている,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額分,,"累計
（1月 - 7月）",,,,,,,,7,July,,,,,,,,
売上高,1983611,2479974,1618817.4369436107,1750861.5157428435,2093259.3439087742,1676728.6114141766,1730577.361537463,2317607.5776420883,1903754.1810393352,1295783.4659844758,0,0,0,0,,,13091606.028228292,,,,,,,,(千円）,,売上高,粗利,粗利構成比,1人当たり粗利益,粗利率,営業利益,1人当たり営業利益,営利率
原価,1090465,1396931,894322.6826293825,1009216.9542449949,1174055.6353505063,840498.6775630274,883504.7886963853,1298113.8864730112,1089630.854600216,731004.1097475783,0,0,0,0,,,7189343.4795575235,,,,,,,,ALL,,1903754.1810393352,814123.3264391192,,,,18978.2170455195,,0.00996883801203711
粗利,893146,1083043,724494.7543142282,741644.5614978486,919203.7085582679,836229.9338511493,847072.5728410777,1019493.6911690771,814123.3264391192,564779.3562368975,0,0,0,0,,,5902262.548670768,,,,,,,,,BM,395807.2910592775,155720.50207063855,0.19127384883042467,1498.7669002520383,0.39342504695629094,5918.702386191697,56.96587867950031,0.014953495096949316
人件費,199444,212412,222046.13055730343,235071.7759089509,223007.61999999976,238775.50543962538,233283.3247876641,236703.06758309502,238423.04611354065,127260.09349999981,62546.31819999985,0,0,0,11496.308450445598,,1627310.4703901792,,,,,,,,,PM,0,0,0,0,0,0,0,0
その他販管費,376977,443487,338422.9299999998,326050.7399999999,346703.4073333333,330636.52636363625,351055.105,375026.589,346740.849,205038.13799999995,32846.029999999984,0,0,0,-8418.907000000001,,2414636.1466969694,,,,,,,,,BC,135975.53667664193,84533.31008193248,0.10383354380923017,3451.708599572258,0.6216802827037764,7944.498471078259,324.3939420487744,0.058425939439171015
管理部門コスト,103530,166804,87436.51963026224,109681.06584164657,112096.03060994695,122788.91751064,176716.86569087676,157714.2828211469,174228.96564678953,126805.30763281566,49119.386482186164,0,0,0,25576.005964021067,,940662.6477513089,,,,,,,,,PG Web,456178.2132770903,129145.65149984311,0.15863155778217433,2987.943052951028,0.28310350591293554,48551.211720651234,1123.2918343615358,0.10643036056428327
エンジニアコスト,37373,33390,37235.05781165247,34981.11706183961,35856.404728796246,37465.7148368199,37926.77359499682,39636.24906396148,35752.24863326962,35346.663631619565,11739.522078006265,0,0,0,-68.54543815673219,,258853.56573133616,,,,,,,,,PG App,98685.978,63394.75,0.07786873062252284,3761.2609850969025,0.6423886278960522,-3184.0648281443573,-188.91310103941802,-0.0322646123864158
営業利益,175821,226950,39354.11631501024,35859.86268541159,201540.24588619173,106563.26970042777,48090.503767540096,210413.50270087377,18978.2170455195,70329.15347246255,-156251.25676019225,0,0,0,,,660799.7181009743,,,,,,,,,CG,60959.383854266904,19144.93361581184,0.02351601163370365,3681.5079682912697,0.3140604842985429,6607.616710740016,1270.6230306232576,0.10839375815438972
粗利率,0.45,0.437,0.44754568228651037,0.4235883619745841,0.43912557286944925,0.49872706182657733,0.48947397074958243,0.43989055826539025,0.4276409919660199,0.43585936312885776,0,0,0,0,,,0.45084327590856554,,,,,,,,,D2C Creator,79589.036,39234.418999999994,0.048192230496092996,682.2539149377228,0.49296261108125494,-31540.523621912143,-1108.1820572321255,-0.3962923187298329
営業利益率,0.089,0.092,0.024310410437209225,0.020481267286406264,0.09628059058838483,0.06355427406379784,0.027788704993122058,0.09078909852156526,0.00996883801203711,0.0542753903863326,0,0,0,0,,,0.05047506903859995,,,,,,,,,GEC,0,0,0,0,0,0,0,0
1人当たり粗利益,2163,2630,1766.2243922162836,1743.1175648236367,2061.4394583402855,1795.4920202794528,1784.6636801661984,2113.311125756944,1690.2945485997573,1993.2629258728193,0,0,0,0,,,,,,,,,,,,DX / AI,99373.579,48985.053,0.06016908177076184,2609.6115393521686,0.4929383996524871,16174.53261284533,861.6760494289791,0.16276491976650384
1人当たり営業利益,426,551,95.94023939549568,84.28290284076459,451.9814394189457,228.80489283712132,101.31997916892364,436.1666973704691,39.40284693044412,248.2110804451547,-568.2278791854794,0,0,0,,,,,,,,,,,,GROVE,307867.56552809,116064.152647606,0.1425633548116808,1486.232704959507,0.3769937649928123,-21195.674903668798,-271.41632043071473,-0.06884672916847064
