True,Unnamed: 1,Unnamed: 2,Unnamed: 3,Finalized?,True.1,True.2,True.3,True.4,True.5,True.6,True.7,True.8,True.9,True.10,True.11,True.12,Unnamed: 17
,,,,,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD SUM
Group (Budget),Data Source,CoA,Department / Account,Items,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD
AJP,MGM,Revenue,DM,Digital Marketing : Direct,1346426.4959098836,1821281.7521435157,2553842.3089487865,2521724.7909548357,752023.2435364067,756867.8998871394,1379925.6625935761,-765983.1472541487,1843149.4580732272,202432.3433487401,1781304.554667501,1386432.9455645438,15579428.308374004
AJP,MGM,Revenue,DM,Digital Marketing : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,IM,Influencer Marketing : Direct,290942555.95632386,389339526.90461147,486842284.82654047,377210625.72359407,413673255.1161151,478990966.03594667,391528991.0592775,378449906.0348864,435738965.6659724,358536317.5640666,304003772.0745055,457924529.9595775,4763181696.921417
AJP,MGM,Revenue,IM,Influencer Marketing : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,CG,Creator Growth : AdSense Non-BGM,16763304.762221843,22527800.494902797,18704283.596601248,21861995.707025938,22637934.0585957,19791937.466873933,9063574.324635765,3059963.8259212472,3296563.0098167844,3831169.933546954,260597.6197702285,3561568.680693674,145360693.48060614
AJP,MGM,Revenue,CG,Creator Growth : AdSense BGM,220870269.71104282,196835296.69216153,53462310.245337725,62961122.56120544,52820629.08249467,44149553.23987851,34905855.22964695,28767083.35772864,24092135.262688592,0,0,0,718864255.3821849
AJP,MGM,Revenue,CG,Creator Growth : Sponsorship,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,CG,Creator Growth : Others,27060692.270847775,34597483.37404633,114688759.17120102,18765985.79384028,16640346.51130619,220502373.89858988,16989954.299984183,18483169.52391795,433735697.9808522,6011501.82617133,7417392.984025902,434978037.82887536,1349871395.4636583
AJP,MGM,Revenue,PG,Publisher Growth : Web,382338797.3673425,374566818.20867854,495114384.68624914,387825688.659129,368704313.76353806,403821438.0836911,456963167.1669166,462869774.1906655,457876454.17460114,429659726.8851,505076196.3335923,694757138.3657275,5419573897.885231
AJP,MGM,Revenue,PG,Publisher Growth : App,108919161.8264931,100222333.49945502,118839865.89180286,96252140.16485476,94620470.57568763,101456377.4020649,97901024.11017373,98906775.79568163,97847823.06977747,114628681.56032205,97848353.79753071,0,1127443007.6938438
AJP,MGM,Revenue,PG,Publisher Growth : Others,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,POKKT,Mobile Marketing : App Performance : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,POKKT,Mobile Marketing : App Performance : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,POKKT,Mobile Marketing : Web Performance : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
