Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,*** For Strategy Meeting Slides***,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
ALL ,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST),,ALL,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,Jan (FCST),Feb (FCST)
Revenue,7243765.80999993,8004993.30313702,10103750.9399547,7968750.04127199,7677084.35293866,7737725.16000994,7419863.3242265,8651551.25780494,9767560.54093272,9221255.96367208,10272216.484441,11408085.8691691,8102745.219940245,8705078.696038682,10374586.871472577,8236188.181667769,8341773.581335612,10927899.819859551,9038764.40958233,8707464.45145057,13306605.705251858,8534679.270024288,8526805.597804649,13885160.491015546,,,,,Revenue,9038764.40958233,8707464.45145057,13306605.705251858,8534679.270024288,8526805.597804649,13885160.491015546,,
Cost,4202636.72718214,4542914.67438248,6080411.93544496,4761253.18644147,4454803.57846695,4306133.37197933,4399744.75309727,5441560.81820186,5904121.70147136,5426219.98003676,5829138.23483052,6861654.76668814,4713626.416373653,5270336.954635559,5958535.996250126,4413986.225114794,4530029.749597145,6608154.979511878,5358101.680918099,4920812.999774583,7549846.384643662,4920041.039143969,5014204.415560089,7943061.39966068,,,,,Cost,5358101.680918099,4920812.999774583,7549846.384643662,4920041.039143969,5014204.415560089,7943061.39966068,,
Gross Profit,3041129.08281779,3462078.62875454,4023339.00450975,3207496.85483051,3222280.77447171,3431591.7880306,3020118.57112922,3209990.43960308,3863438.83946135,3795035.98363531,4443078.2496105,4546431.10248096,3389118.803566592,3434741.7414031234,4416050.875222451,3822201.956552975,3811743.8317384664,4319744.840347673,3680662.7286642306,3786651.451675987,5756759.320608196,3626722.402611139,3512601.1822445597,5942099.091354866,,,,,Gross Profit,3680662.7286642306,3786651.451675987,5756759.320608196,3626722.402611139,3512601.1822445597,5942099.091354866,,
Staff Costs,774835.319737824,741068.317799194,759466.73346777,821343.640622938,790717.21989643,784839.014578983,802449.207841403,820872.503984189,804194.395368518,756781.803236062,773966.203138137,743222.5259256,811670.287558679,884250.4852276,889668.9519802388,976180.9207095585,925393.5579942239,1010320.9538017494,912088.841149959,855673.9618771686,928441.9580207479,864867.146129839,849209.0951925887,760450.9306107786,,0,0,,Staff Costs,912088.841149959,855673.9618771686,928441.9580207479,864867.146129839,849209.0951925887,760450.9306107786,,
Direct SG&A,1134683.88224078,1016327.68736571,1346630.65087384,1232377.15122953,1405804.39221866,1352408.9013722,1403363.16043922,1341273.31335228,1436009.75883306,1483911.54801113,1741758.11207749,2097994.72949388,1637057.2974067195,1504709.3660961404,1699817.5669238665,1473680.63188336,1594117.8076433155,1741047.5766211702,1614335.2646463197,1616304.136906716,2169573.300138428,1842287.104582829,2370512.294409043,2323658.2488291813,,0,0,,Direct SG&A,1614335.2646463197,1616304.136906716,2169573.300138428,1842287.104582829,2370512.294409043,2323658.2488291813,,
Indirect SG&A,504896.035863699,651526.138912538,733679.514722829,673304.673483073,647107.03348943,551093.369523853,634264.229854157,760716.763935698,666630.281908862,783193.596843806,804900.743581074,1190199.29460272,408900.41004934546,529180.58811631,528290.9123492582,607175.5593436388,848811.8472994883,753228.1875558895,817430.5363623247,852616.0635676786,534886.1631961175,486003.13823251764,654142.1586029496,479702.30346250697,,0,0,,Indirect SG&A,817430.5363623247,852616.0635676786,534886.1631961175,486003.13823251764,654142.1586029496,479702.30346250697,,
Operating Profit b/f adj,626713.844975484,1053156.48467709,1183562.1054453,480471.389494965,378652.128867184,743250.502555563,180041.97299444,287127.85833091,956604.403350911,771149.035544307,1122453.19081379,515014.552458751,531490.8085518479,516601.30196307274,1298273.4439690877,765164.8446164178,443420.6188014387,815148.1223688638,336808.08650562726,462057.28932442376,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,0,0,,Operating Profit b/f adj,336808.08650562726,462057.28932442376,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,
One-time adjustment ( ie.yearly bonus reversal),,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,One-time adjustment ( ie.yearly bonus reversal),0,0,0,0,0,0,,
Operating Profit,626713.844975484,1053156.48467709,1183562.1054453,480471.389494965,378652.128867184,743250.502555563,180041.97299444,287127.85833091,956604.403350911,771149.035544307,1122453.19081379,515014.552458751,531490.8085518479,516601.30196307274,1298273.4439690877,765164.8446164178,443420.6188014387,815148.1223688638,336808.08650562726,462057.28932442376,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,0,0,,Operating Profit,336808.08650562726,462057.28932442376,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,
