Entity in USD,*** PLEASE DO NOT CHANGE ANY FORMULAS FOR BELOW TABLE !!!!!! ***,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,BU in USD,*** For Strategy Meeting Slides (in USD)***,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,,nan.1,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,in JPY,*** For Strategy Meeting Slides (in JPY)***,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
ALL,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Check,,ALL ,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST),,,,,,,,ALL,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST)
Revenue,8547494.373639867,8900950.611963702,9717149.420677695,8236188.181667769,8341773.581335612,10927899.81985955,9038764.409582332,8707464.451450568,13306605.705251858,8534679.270024288,8526805.597804649,13885160.491015546,,,,Revenue,8102745.219940245,8705078.696038682,10374586.871472577,8236188.181667769,8341773.581335612,10927899.819859551,9038764.40958233,8707464.45145057,13306605.705251858,8534679.270024288,8526805.597804649,13885160.491015546,,,,,,,,,,,Revenue,1328781666.709138,1351945243.2502916,1458173180.4520006,1207574318.0304742,1197421008.0221076,1575131464.4128516,1323670643.5298703,1295017482.8372216,1966905244.4849577,1279934384.2173417,1322151401.6185987,2172448398.651885,4138900090.4114304,,0
Cost,5029723.970073273,5597885.070560579,5301098.545455245,4413986.2251147935,4530029.749597144,6608154.979511879,5358101.680918099,4920812.999774583,7549846.384643662,4907956.867413149,5014204.415560089,7943061.39966068,,,,Cost,4713626.416373653,5270336.954635559,5958535.996250126,4413986.225114794,4530029.749597145,6608154.979511878,5358101.680918099,4920812.999774583,7549846.384643662,4920041.039143969,5014204.415560089,7943061.39966068,,,,,,,,,,,Cost,781913939.6747918,850250093.8758225,795492524.7384791,647170303.5456355,650263728.2399421,952489774.0213178,784660555.2148767,731847818.6171824,1115974484.9996176,736039697.815129,777493672.1603936,1242757764.9715998,2427656558.2890935,,0
Gross Profit,3517770.4035665933,3303065.541403123,4416050.87522245,3822201.956552976,3811743.8317384673,4319744.84034767,3680662.7286642324,3786651.451675985,5756759.320608196,3626722.402611139,3512601.1822445597,5942099.091354866,,,,Gross Profit,3389118.803566592,3434741.7414031234,4416050.875222451,3822201.956552975,3811743.8317384664,4319744.840347673,3680662.7286642306,3786651.451675987,5756759.320608196,3626722.402611139,3512601.1822445597,5942099.091354866,,,,,,,,,,,Gross Profit,546867727.0343461,501695149.37446904,662680655.7135215,560404014.4848387,547157279.7821655,622641690.3915337,539010088.3149936,563169664.2200392,850930759.4853401,543894686.4022126,544657729.4582051,929690633.6802852,1711243532.1223366,,0
Staff Costs,811670.287558679,884250.4852276,889668.9519802388,976180.9207095585,925393.5579942239,1010320.9538017494,912088.841149959,855673.9618771686,928441.9580207479,864867.146129839,849209.0951925887,760450.9306107786,,"Except DM and POKKT, SGA take allocated figures, check for JP group is done in the check file",,Staff Costs,811670.287558679,884250.4852276,889668.9519802388,976180.9207095585,925393.5579942239,1010320.9538017494,912088.841149959,855673.9618771686,928441.9580207479,864867.146129839,849209.0951925887,760450.9306107786,,,,,,,,,,,Staff Costs,125286776.67136015,153962064.35814658,148799974.3313902,168591845.57864875,158428397.14834556,161540505.64511636,160126816.83648366,152829952.65043813,151526243.44607782,154041663.5529298,155272812.79043368,125894858.15144378,428048815.36089694,,
Direct SG&A,1637057.2974067195,1504709.3660961404,1699817.5669238665,1473680.63188336,1594117.8076433155,1741047.5766211702,1614335.2646463197,1616304.136906716,2169573.300138428,1842287.104582829,2370512.294409043,2323658.2488291813,,,,Direct SG&A,1637057.2974067195,1504709.3660961404,1699817.5669238665,1473680.63188336,1594117.8076433155,1741047.5766211702,1614335.2646463197,1616304.136906716,2169573.300138428,1842287.104582829,2370512.294409043,2323658.2488291813,,,,,,,,,,,Direct SG&A,327122458.90905094,305453356.4726994,338347032.788379,298345145.18174046,364449488.3948964,378131173.76472116,371847576.18196553,390652988.7271399,428933630.49506664,371586429.69266224,492629782.220773,483024131.909105,970922848.1701293,,
Indirect SG&A,408900.41004934546,529180.58811631,528290.9123492582,607175.5593436388,848811.8472994883,753228.1875558895,817430.5363623247,852616.0635676786,534886.1631961175,486003.13823251764,654142.1586029496,479702.30346250697,,,,Indirect SG&A,408900.41004934546,529180.58811631,528290.9123492582,607175.5593436388,848811.8472994883,753228.1875558895,817430.5363623247,852616.0635676786,534886.1631961175,486003.13823251764,654142.1586029496,479702.30346250697,,,,,,,,,,,Indirect SG&A,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Operating Profit b/f adj,660142.4085518494,384925.10196307255,1298273.4439690867,765164.8446164187,443420.61880143965,815148.122368861,336808.0865056291,462057.2893244219,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,,,Operating Profit b/f adj,531490.8085518479,516601.30196307274,1298273.4439690877,765164.8446164178,443420.6188014387,815148.1223688638,336808.08650562726,462057.28932442376,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,,,,,,,,,,Operating Profit b/f adj,94458491.45393503,42279728.54362309,175533648.59375226,93467023.72444952,24279394.23892355,82970010.98169625,7035695.296544433,19686722.84246123,270470885.54419565,18266593.15662062,-103244865.55300152,320771643.61973643,312271868.5913104,,
One-time adjustment ( ie.yearly bonus reversal),,,,,,,,,,,,,,,,One-time adjustment ( ie.yearly bonus reversal),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,One-time adjustment ( ie.yearly bonus reversal),,,,,,,,,,,,,0,,
Operating Profit,660142.4085518494,384925.10196307255,1298273.4439690867,765164.8446164187,443420.61880143965,815148.122368861,336808.0865056291,462057.2893244219,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,,,Operating Profit,531490.8085518479,516601.30196307274,1298273.4439690877,765164.8446164178,443420.6188014387,815148.1223688638,336808.08650562726,462057.28932442376,2123857.8992529027,433565.01366595365,-361262.36596002197,2378287.6084523983,,,,,,,,,,,Operating Profit,94458491.45393503,42279728.54362309,175533648.59375226,93467023.72444952,24279394.23892355,82970010.98169625,7035695.296544433,19686722.84246123,270470885.54419565,18266593.15662062,-103244865.55300152,320771643.61973643,312271868.5913104,,
