Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,BU Level,,,Corporate Level,
,Accounting and professional fee,エージェント手数料,,Accounting and professional fee,会計士、税理士、監査法人、社労士
,Advertising and marketing events,広告宣伝費,,Advertising and marketing events,広告宣伝費
,Client Gifts and Entertainment,交際費,,Client Gifts and Entertainment,交際費
,Depreciation and Amortization,減価償却,,Depreciation and Amortization,オフィス費用
,Depreciation - Lease,リース資産の減価償却,,Depreciation - Lease,家賃系
,Interest Expense - Lease,リースの支払利息,,Interest Expense - Lease,家賃系
,Finance costs,財務費用,,Finance costs,財務費用
,General expenses,一般管理費,,General expenses,一般管理費
,Insurance expenses,保険料,,Insurance expenses,その他
,IT expenses,IT費用,,IT expenses,IT費用
,Other outsourced services,業務委託費,,Other outsourced services,業務委託費
,Recruitment,人材採用 (中途採用),,Recruitment,人材採用
,Rental expenses,賃借料,,Rental expenses,その他
,Research and development,研究開発費,,Research and development,その他
,Telephone & Internet,電話代,,Telephone & Internet,オフィス費用
,Transportation & Accommodation,交通費および宿泊費,,Transportation & Accommodation,交通費および宿泊費
,Royalty expenses,ロイヤリティ,,Royalty expenses,ロイヤリティ
,Staff costs,人件費,,Staff costs,人件費
,Cost centre recharge - markup,X,,Cost centre recharge - markup,X
,Income tax,X,,Income tax,X
,Cost centre recharge,研究開発費,,Cost centre recharge,その他
