(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
ALL,11月,12月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額,,,,,,,,3,Mar,,,,,,,,
売上高,1983611,2479974,1702348.2617428435,2080476.8359087745,1205052.5932395195,1196668.9847785714,1574374.5965129642,1322290.7178672766,1295783.4659844758,0,0,0,0,378128.574165931,,,,,,,,(千円）,,売上高,粗利,粗利構成比,1人当たり粗利益,粗利率,営業利益,1人当たり営業利益,営利率
原価,1090465,1396931,979560.3132449939,1168212.4833505054,644406.6970584074,649829.060573516,953167.2570743556,784529.8535990505,731004.1097475783,0,0,0,0,188652.17010551144,,,,,,,,ALL,,2080476.8359087745,912264.3525582692,,,,194600.88988619298,,0.09353667703836233
粗利,893146,1083043,722787.9484978496,912264.3525582692,560645.8961811122,546839.9242050555,621207.3394386086,537760.8642682261,564779.3562368975,0,0,0,0,189476.40406041953,,,,,,,,,BM,456745.32182654046,187917.354161411,0.20599002211851541,2171.4022028583604,0.41142699263984345,76740.08498950675,886.738696047324,0.1680150432250088
人件費,199444,212412,235071.7759089509,223007.61999999976,143125.7984396254,132835.74245049112,145626.18158309505,133569.71911354063,127260.09349999981,62546.31819999985,0,0,0,39777.351091048906,,,,,,,,,PM,30096.963,12611.016,0.013823861432966048,1025.2858536585366,0.41901290837882876,1083.3560807292288,88.0777301405877,0.035995528210910475
その他販管費,376977,443487,326050.7399999999,346703.4073333333,178602.54936363638,190901.08099999998,211315.79700000002,200657.07700000002,205038.13799999995,32846.029999999984,0,0,0,87502.94533333334,,,,,,,,,BC,52209.0127253193,32599.033933258477,0.0357341968277515,4518.4238207910175,0.6243947592873986,11194.969992257913,1551.6907399655151,0.21442600439806433
管理部門コスト,103530,166804,109681.06584164657,112096.03060994695,89022.93097566122,121842.81051317218,108569.20704432252,119707.60106996565,126805.30763281566,49119.386482186164,0,0,0,14808.744117349692,,,,,,,,,PG Web,495844.83457805205,132443.6670660766,0.14518123688014764,3170.49071742878,0.26710708235729,64594.27143016916,1546.284110860908,0.13027113912588562
エンジニアコスト,37373,33390,34981.11706183961,35856.404728796246,37465.7148368199,37926.77359499682,39636.24906396148,35752.24863326962,35346.663631619565,11739.522078006265,0,0,0,875.2876669566338,,,,,,,,,PG App,118109.416,78452.609,0.08599767028054402,5686.011355216428,0.664236702347254,10466.232469413677,758.5613458364533,0.08861471696222491
営業利益,175821,226950,17003.249685412622,194600.88988619298,112428.90256536927,63333.51664639538,116059.90474722954,48074.21845145017,70329.15347246255,-156251.25676019225,0,0,0,46512.07585173097,,,,,,,,,CG,186855.35301314,55480.101445022214,0.06081581647845713,7304.466509629414,0.2969147019358913,39954.15580149549,5260.332720583451,0.21382398286810572
粗利率,0.45,0.437,0.42458289219731576,0.43848810850123326,0.4652459978314628,0.4569684107808989,0.3945740364551755,0.40668882946980134,0.43585936312885776,0,0,0,0,,,,,,,,,,D2C Creator,144182.289,105924.73999999999,0.11611189202225705,660.3772869565217,0.7346584711247024,6774.003858277749,235.617525505313,0.046982218865159985
営業利益率,0.089,0.092,0.009988114692821374,0.09353667703836233,0.09329792176383674,0.05292484174987994,0.07371810051069624,0.0363567692050271,0.0542753903863326,0,0,0,0,,,,,,,,,,GEC,47317.71,36106.719,0.039579228212464596,1704.4430782484385,0.763069873837935,-2379.766474330434,-112.33855103312486,-0.05029335684948477
1人当たり粗利益,2163,2630,1698.798095579507,2045.8770077749969,1935.7313927294736,1895.8752476368898,2138.616195701758,1871.4043245957023,1993.2629258728193,0,0,0,0,,,,,,,,,,DX / AI,22914.702,20735.249,0.022729430281751117,1085.9659376877241,0.9048884423633351,-14016.191291328567,-734.0691360155907,-0.6116680588439931
1人当たり営業利益,426,551,39.96343359663494,436.4189888536573,388.1811275679154,219.57512837097613,399.5567602088156,167.2979688360674,248.2110804451547,-568.2278791854794,0,0,0,,,,,,,,,,GROVE,311608.800058536,139721.832021511,0.1531593683669521,1973.7737524613965,0.4483885949153687,15239.868073460428,215.2852647232654,0.04890705291569944
"人数(正社員=1, Intern&Part Time=0.3)",413,412,425.4701899999992,445.9038099999992,289.630006666666,288.436659999999,290.471633333333,287.356856666666,283.344133333333,274.979919999999,277.452606666666,283.94057,269.058443333333,,,,,,,,,,ENGAWA,99818.2896208807,53697.3158007778,0.05886157411521567,883.113399524649,0.5379506702100915,-1414.41317367057,-23.2616324951307,-0.01416987987915486
前月比_売上,1.097,1.25,1.0544333213468848,1.2221217495054786,0.579219423374709,0.9930429522263334,1.3156308189973542,0.8398831642710568,0.9799535370515536,0,0,0,0,,,,,,,,,,LYFT,121856.652086306,59573.0711302116,0.0653024213465652,1645.88606692772,0.48887828534808647,-10637.3258697883,-293.888263712087,-0.08729376433429603
前月比_粗利,1.13,1.213,1.0020875242314853,1.262146601163181,0.6145651691956274,0.975374880882751,1.1359948532317963,0.8656704937746004,1.0502425776286968,0,0,0,0,,,,,,,,,,,,,,,,,,
前月比_人件費,1.018,1.257,1.0586618884956698,0.9486788413355762,0.6417977934548853,0.9281048133787361,1.0962876323544548,0.9172095131624739,0.9527615566206489,0.49148414463486106,0,0,0,,,,,,,,,,Check,-7082.5079999996815,-2998.355999999447,,,,-2998.355999999476,,
前月比_その他販管費,1.156,1.183,0.9634416320430771,1.0633418814916151,0.5151450651649391,1.0688597765271741,1.1069387134586213,0.9495602309372072,1.0218335733057644,0.16019473411331892,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCM,11月,12月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額,,,,,,,,,,,,,,,,,
売上高,515283,529943,410525.87222890387,539051.2975518598,419661.346353464,464429.3607869489,513255.213421866,527504.5277359195,522420.2762905611,435738.9656659724,0,0,0,128525.42532295585,,,,,,,,,,,,,,,,,
原価,273556,245452,239265.1959168355,305923.89345719025,185604.48248947135,233901.07773690906,286258.0673408788,289648.47058334836,264016.4591049234,182303.66799608144,0,0,0,66658.69754035474,,,,,,,,,,,,,,,,,
粗利,241727,284491,171260.67631206836,233127.4040946695,234056.86386399265,230528.2830500398,226997.14608098718,237856.0571525711,258403.81718563766,253435.29766989095,0,0,0,61866.72778260111,,,,,,,,,,,,,,,,,
人件費,45844,43962,56347.30940000001,53017.229049999936,62354.50111962554,55890.95756049128,68402.95206309506,63889.45131354078,65229.37169999984,62546.31819999985,0,0,0,-3330.080350000074,,,,,,,,,,,,,,,,,
その他販管費,28982,49373,26295.688000000006,44540.40733333333,31405.850363636368,39391.166999999994,40579.71400000001,80244.62599999999,68281.89899999999,32846.029999999984,0,0,0,18244.719333333323,,,,,,,,,,,,,,,,,
管理部門コスト,45030,69869,34284.16671374668,35289.56911884006,41802.31778515799,56080.96632903702,49244.45058035275,63799.25600315295,69263.4087547531,49119.386482186164,0,0,0,1005.4024050933767,,,,,,,,,,,,,,,,,
エンジニアコスト,9667,8700,10843.843562020977,11261.787530002266,12882.885847804357,12980.470165506154,13762.020339968672,18457.277978607337,17674.132588194334,11739.522078006265,0,0,0,417.94396798128855,,,,,,,,,,,,,,,,,
