Strategy Meeting,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
PG,1月,2月,3月,4月,5月,6月,7月,8月,9月,,Q1,Q2,上半期,Q3,Q4,下半期,累計
売上高,491257.95919383556,474789.1517081336,613954.250578052,484077.8288239838,463324.78433922573,505277.81548575603,554864.1912770902,561776.5499863471,555724.2772443786,,1580001.3614800212,1452680.4286489654,3032681.7901289864,1672365.018507816,,,4705046.808636802
原価,317068.2069227689,308305.47792420327,403057.9745119754,307094.14913713525,293862.48875059036,334963.194976375,362323.7897772472,373498.47061849514,368305.50022796844,,1028431.6593589475,935919.8328641006,1964351.4922230481,1104127.7606237107,,,3068479.252846759
粗利,174189.75227106665,166483.6737839303,210896.2760660766,176983.67968684854,169462.29558863537,170314.62050938106,192540.40149984305,188278.07936785195,187418.77701641014,,551569.7021210736,516760.59578486497,1068330.2979059387,568237.2578841052,,,1636567.555790044
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RMS,,,,,,,,,,,,,,,,,
PG,1月,2月,3月,4月,5月,6月,7月,8月,9月,,,,,,,,
売上高,457921757,437933900,569886907,461022605,453549591,489596169,499842218,515564740,526233190,,,,,,,,
原価,275144365,264049373,353460190,286057143,286389254,312651209,315633577,321053762,328543124,,,,,,,,
粗利,182777392,173884527,216426717,174965462,167160337,176944960,184208641,194510978,197690066,,,,,,,,
,,,,,,,,,,,,,,,,,
RMS,,,,,,,,,,,,,,,,,
PG,1月,2月,3月,4月,5月,6月,7月,8月,9月,,Q1,Q2,上半期,Q3,Q4,下半期,累計
売上高,457921.757,437933.9,569886.907,461022.605,453549.591,489596.169,499842.218,515564.74,526233.19,,1465742.564,1404168.365,2869910.929,1541640.148,,,4411551.077
原価,275144.365,264049.373,353460.19,286057.143,286389.254,312651.209,315633.577,321053.762,328543.124,,892653.9280000001,885097.6059999999,1777751.534,965230.463,,,2742981.997
粗利,182777.392,173884.527,216426.717,174965.462,167160.337,176944.96,184208.641,194510.978,197690.066,,573088.6359999999,519070.75899999996,1092159.395,576409.685,,,1668569.08
,,,,,,,,,,,,,,,,,
差額,,,,,,,,,,,,,,,,,
PG,1月,2月,3月,4月,5月,6月,7月,8月,9月,,Q1,Q2,上半期,Q3,Q4,下半期,累計
売上高,33336.202193835576,36855.25170813355,44067.34357805201,23055.223823983804,9775.19333922572,15681.646485756035,55021.973277090234,46211.8099863471,29491.087244378636,,114258.79748002114,48512.06364896556,162770.8611289867,130724.87050781597,,,293495.73163680267
原価,41923.841922768916,44256.104924203246,49597.78451197542,21037.006137135264,7473.234750590345,22311.985976375,46690.21277724719,52444.70861849515,39762.37622796843,,135777.73135894758,50822.22686410061,186599.9582230482,138897.29762371077,,,325497.25584675896
粗利,-8587.63972893334,-7400.853216069692,-5530.440933923412,2018.2176868485403,2301.9585886353743,-6630.339490618935,8331.760499843047,-6232.898632148048,-10271.288983589853,,-21518.933878926444,-2310.1632151350204,-23829.097094061464,-8172.427115894854,,,-32001.52420995632
