Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,BU Level Dept,(複数のアイテム),,,,,,,,Top 10,会社名,Jan - Mar (YTD),依頼目的
,Irregular?,(空白),,,,,,,,1,VEN0022821 マンパワーグループ株式会社,4370757,派遣会社
,type2,Local,,,,,,,,2,VEN0025799 レバテック株式会社,3274610,自社ゲームのエンジニア
,,,,,,,,,,3,VEN0059021 テクノポート株式会社,3080000,顧客の海外展開支援コンサル（売上400万/月）における外注費
,SUM of Amount,,Month (YYMM),,,,,,,4,VEN0025205 樹菊池,2998562,自社ゲームのエンジニア
,科目,Vendor Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,総計,,,,5,VEN0036415 将太山下,2623113,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）
,業務委託費,VEN0012158 AppBank株式会社,159,-918,67,-692,,,,6,VEN0058721 志郎宮原,2446874,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）
,,VEN0016361 株式会社マリエッタ,9271,7970,8422,25663,,,,7,VEN0025954 和恵空閑,2360010,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）
,,VEN0022821 マンパワーグループ株式会社,1716015,1553021,1101721,4370757,,,,8,VEN0026002 悠貴窪田,2263163,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）
,,VEN0024752 株式会社サクセス,66993,124512,1066,192571,,,,9,VEN0050038 合同会社彼方此方,1224000,自社ゲームのアドバイザー費用
,,VEN0025089 株式会社ポラリスエックス,300000,287794,0,587794,,,,10,VEN0056074 株式会社BUUM,1165548,"広告運用の外注費
今後減少見込み"
,,VEN0025205 樹菊池,1050184,1312545,635833,2998562,,,,,,,
,,VEN0025799 レバテック株式会社,1790110,1484500,,3274610,,,,,,,
,,VEN0025954 和恵空閑,865333,848988,645689,2360010,,,,,,,
,,VEN0026002 悠貴窪田,791787,709570,761806,2263163,,,,,,,
,,VEN0027146 株式会社Synk,65400,55512,64693,185605,,,,,,,
,,VEN0027147 株式会社エーステクノロジー,1213,-16124,-5279,-20190,,,,,,,
,,VEN0027306 株式会社ベルシステム２４,1085,938,987,3010,,,,,,,
,,VEN0027703 龍真原,92374,89728,295,182397,,,,,,,
,,VEN0028338 株式会社センターモバイル,2598401,2499790,-5092580,5611,,,,,,,
,,VEN0029438 株式会社UPSIDER,93000,281768,-49473,325295,,,,,,,
,,VEN0029441 剣星川,-41379,114575,305482,378678,,,,,,,
,,VEN0030763 株式会社TOKYO STUDIO,183054,158343,180310,521707,,,,,,,
,,VEN0035895 株式会社AppRuns,5565,3953,4281,13799,,,,,,,
,,VEN0036415 将太山下,968439,834591,820083,2623113,,,,,,,
,,VEN0037178 ハレコレ合同会社,195281,-490793,,-295512,,,,,,,
,,VEN0038371 慎太郎森川,381944,286102,324234,992280,,,,,,,
,,VEN0038372 敬司村松,360979,383016,374164,1118159,,,,,,,
,,VEN0038451 展貴湯浅,-907004,348486,268446,-290072,,,,,,,
,,VEN0038858 株式会社エルフィールド,256843,375514,384160,1016517,,,,,,,
,,VEN0043489 奥山弘喜,7650,,,7650,,,,,,,
,,VEN0044851 由樹岡安,157000,100000,206000,463000,,,,,,,
,,VEN0045213 佐藤健吉,730909,,,730909,,,,,,,
,,VEN0048814 涼香大石,65576,119493,15300,200369,,,,,,,
,,VEN0048879 アウトオーバー株式会社,5500,457000,393000,855500,,,,,,,
,,VEN0049230 株式会社LOOP,-15029,57409,,42380,,,,,,,
,,VEN0050038 合同会社彼方此方,,816000,408000,1224000,,,,,,,
,,VEN0050756 N.Y.CRAFT株式会社,200000,,200000,400000,,,,,,,
,,VEN0051894 ウィラメット合同会社,300000,300000,300000,900000,,,,,,,
,,VEN0053409 悠斗鈴木,102000,,,102000,,,,,,,
,,VEN0053992 真博阿武,33864,160000,80000,273864,,,,,,,
,,VEN0056074 株式会社BUUM,1165548,,,1165548,,,,,,,
,,VEN0056685 ひとみ 石原,5564,,,5564,,,,,,,
,,VEN0056687 里栄子中根,15300,,,15300,,,,,,,
,,VEN0058721 志郎宮原,309711,1291379,845784,2446874,,,,,,,
,,VEN0059021 テクノポート株式会社,140000,1800000,1140000,3080000,,,,,,,
,,VEN0060334 佑川西,,,5131,5131,,,,,,,
,,VEN0060335 菜々美佐藤,,4409,154,4563,,,,,,,
,,VEN0060336 恒介盛,,,7528,7528,,,,,,,
,,VEN0061091 麻利夫田中,,,70000,70000,,,,,,,
,,VEN0061100 陽高橋,,,166560,166560,,,,,,,
,業務委託費 集計,,14068640,16359071,4571864,34999575,,,,,,,
,総計,,14068640,16359071,4571864,34999575,,,,,,,
