type2,Local,Unnamed: 2,Unnamed: 3,Unnamed: 4
BU Level Dept,DX / AI,,,
,,,,
SUM of Amount,,Month (YYMM),,
Cost Items,Class: Name,2025-10-01 00:00:00,2025-11-01 00:00:00,総計
Advertising and marketing events,DX/AI,759455,426036,1185491
Advertising and marketing events 集計,,759455,426036,1185491
Client Gifts and Entertainment,DX/AI,195049,50227,245276
Client Gifts and Entertainment 集計,,195049,50227,245276
General expenses,DX/AI,318086,75546,393632
,Not Applicable,3709,4236,7945
General expenses 集計,,321795,79782,401577
IT expenses,DX/AI,1251512,1126176,2377688
IT expenses 集計,,1251512,1126176,2377688
Other outsourced services,AnyX,131203,,131203
,DX/AI,8469330,10759099,19228429
Other outsourced services 集計,,8600533,10759099,19359632
Recruitment,DX/AI,200000,,200000
Recruitment 集計,,200000,,200000
Transportation & Accommodation,DX/AI,343853,69391,413244
Transportation & Accommodation 集計,,343853,69391,413244
総計,,11672197,12510711,24182908
