Internal ID,Name,Display,Unnamed: 3,Year,Month (01-12)
9,AnyMind Japan Inc,AnyMind Japan Inc [9],,,
33,Anyee LLC,Anyee LLC [33],,,
85,"AnyReach Co., Ltd.","AnyReach Co., Ltd. [85]",,,
36,AnyUp Inc.,AnyUp Inc. [36],,,
15,Elimination AJP Sub Consolidation,Elimination AJP Sub Consolidation [15],,,
10,FourM Inc,FourM Inc [10],,,
38,Lyft,Lyft [38],,,
87,NADESIKO,NADESIKO [87],,,
48,Elimination JHD Sub Consolidation (JPY),Elimination JHD Sub Consolidation (JPY) [48],,,
50,"Engawa Co., Ltd.","Engawa Co., Ltd. [50]",,,
37,Grove,Grove [37],,,
84,Elimination Grove Sub Consolidation,Elimination Grove Sub Consolidation [84],,,
78,OMORO1,OMORO1 [78],,,
