Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,BU Level Dept,D2C Creator,,,,,,,,,,,
,Irregular?,(空白),,,,,,,,,,,
,type2,Local,,,,,,,,,,,
,,,,,,,,,,,,,
,SUM of Amount,,Month (YYMM),,,,,,,,,,
,Account Number,Account (Line): Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,総計
,41010,Client Gifts and Entertainment<USD50/person,58745,,58280,,1345,2057,26480,,6359,86205,239471
,41010 集計,,58745,,58280,,1345,2057,26480,,6359,86205,239471
,41011,Client Gifts and Entertainment >USD50/person,,27880,37260,,,,,,,,65140
,41011 集計,,,27880,37260,,,,,,,,65140
,41020,Advertising and Marketing Events,12144062,11426106,10874174,6128507,4828321,13865508,3008829,5491223,15045671,,82812401
,,Advertising and Marketing Events for AnyMind Branding,,,,,,,,,,8616982,8616982
,41020 集計,,12144062,11426106,10874174,6128507,4828321,13865508,3008829,5491223,15045671,8616982,91429383
,41030,Promotional Giveaway,1277860,734856,1017869,122109,515857,885780,154076,1006843,2376476,570174,8661900
,41030 集計,,1277860,734856,1017869,122109,515857,885780,154076,1006843,2376476,570174,8661900
,41310,Travel - Transportation - Domestic,61395,13291,399320,17935,133554,615329,223509,311766,377977,371976,2526052
,41310 集計,,61395,13291,399320,17935,133554,615329,223509,311766,377977,371976,2526052
,41311,Travel - Transportation - International,905634,82163,,,63540,,,,,,1051337
,41311 集計,,905634,82163,,,63540,,,,,,1051337
,41320,Travel - Hotel and Accommodation - Domestic,,81163,152000,,127703,255023,35174,302006,392082,431152,1776303
,41320 集計,,,81163,152000,,127703,255023,35174,302006,392082,431152,1776303
,41321,Travel - Hotel and Accommodation - International,114070,269976,,,,,,,,26913,410959
,41321 集計,,114070,269976,,,,,,,,26913,410959
,41430,Online Utilities and Software License Fees,203229,193636,232230,138932,203626,137692,467907,147237,157421,154297,2036207
,41430 集計,,203229,193636,232230,138932,203626,137692,467907,147237,157421,154297,2036207
,41500,E-Commerce Usage Fees,3231245,8590879,13985141,12476268,9565727,12972920,7790054,8167724,12522282,9111179,98413419
,41500 集計,,3231245,8590879,13985141,12476268,9565727,12972920,7790054,8167724,12522282,9111179,98413419
,42010,Accounting and Professional Fees,,,0,,,,,,,,0
,42010 集計,,,,0,,,,,,,,0
,42011,Legal Fees,,,60000,78001,,,,,,,138001
,42011 集計,,,,60000,78001,,,,,,,138001
,42012,Agent Fees,,,,,,,,,,-22,-22
,42012 集計,,,,,,,,,,,-22,-22
,42610,Other Outsourced Services - recurring service,4403703,4909566,5233259,5208503,3724850,3496978,2220528,2334000,3656077,2624796,37812260
,42610 集計,,4403703,4909566,5233259,5208503,3724850,3496978,2220528,2334000,3656077,2624796,37812260
,42620,Other Outsourced Services - non-recurring service,,,715640,153000,,,118036,161835,67455,,1215966
,42620 集計,,,,715640,153000,,,118036,161835,67455,,1215966
,43010,Depreciation,69833,69833,69833,69833,69833,69833,69833,69833,69833,69833,698330
,43010 集計,,69833,69833,69833,69833,69833,69833,69833,69833,69833,69833,698330
,48010,General Expenses,-21868,-25807,-156237,-46587,16240,33564,39806,-39882,-270270,54799,-416242
,48010 集計,,-21868,-25807,-156237,-46587,16240,33564,39806,-39882,-270270,54799,-416242
,48050,Recruitment,16709,,,,,,,,,,16709
,48050 集計,,16709,,,,,,,,,,16709
,48060,Employee Welfare,53691,29236,177906,328858,107591,138768,246599,183083,181954,149093,1596779
,48060 集計,,53691,29236,177906,328858,107591,138768,246599,183083,181954,149093,1596779
,48100,Office Expenses,,,682,,,,,,,,682
,48100 集計,,,,682,,,,,,,,682
,48130,Subscriptions,80000,80000,80000,,,,62400,183872,360000,150000,996272
,48130 集計,,80000,80000,80000,,,,62400,183872,360000,150000,996272
,48151,Warehouse expenses,,,,,,,,,,8305910,8305910
,48151 集計,,,,,,,,,,,8305910,8305910
,48160,"Postage, Freight and Courier",2659667,2647014,2734186,2348729,3227175,3132989,5227130,7416107,2876249,66753,32335999
,48160 集計,,2659667,2647014,2734186,2348729,3227175,3132989,5227130,7416107,2876249,66753,32335999
,48180,Bank Fees,29220,25226,23422,20077,13434,29582,19449,13136,31810,24227,229583
,48180 集計,,29220,25226,23422,20077,13434,29582,19449,13136,31810,24227,229583
,48200,Government Fee,,200,62200,55000,,,10000,-6800,,,120600
,48200 集計,,,200,62200,55000,,,10000,-6800,,,120600
,48220,Advertising and Marketing Sample,-1443177,280394,29159,320321,589406,332750,1074188,2561671,-105795,,3638917
,,Advertising and Marketing Sample for E-commerce,,,,,,,,,,696614,696614
,48220 集計,,-1443177,280394,29159,320321,589406,332750,1074188,2561671,-105795,696614,4335531
,48230,Royalty : D2C CR,20087814,20304984,28191939,21670686,17978954,32166998,12492600,18496273,34799039,15251447,221440734
,48230 集計,,20087814,20304984,28191939,21670686,17978954,32166998,12492600,18496273,34799039,15251447,221440734
,48231,Intercompany Royalty : D2C CR_E,1208071,1217386,547577,206238,173960,107483,122687,83333,117239,67481,3851455
,48231 集計,,1208071,1217386,547577,206238,173960,107483,122687,83333,117239,67481,3851455
,総計,,45139903,50957982,64525840,49296410,41341116,68243254,33409285,46883260,72661859,46829809,519288718
