Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,0.43077421245375674,All,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Finance,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,HR,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Legal,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,PR,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,共通系,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,エンジニアコスト,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,管理部門コスト+エンジニアコスト,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月（見込み）,,"累計
（1月 - 12月）",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,,2025 Q1 実績,2025 Q1 予算,増減額,"前年同期比
増減率"
売上高,,2479974,1618817.4369436107,1750861.5157428435,2093259.3439087742,1676728.6114141766,1730577.361537463,2317607.5776420883,1903754.1810393352,1946604.830731842,2657176.5074711363,1814278.8012996248,2215160.112442679,3003528.043021948,,,24728354.32319552,788367.9305792693,人件費,130174.76984734839,132529,-2354.2301526516094,-0.017763886791959616,,人件費,19842.150517759423,17762,2080.1505177594227,0.11711240388241317,,人件費,25762.966,18182,7580.966,0.4169489605103949,,人件費,5063.24,4139,924.2399999999998,0.22330031408552786,,人件費,5400.527,5949,-548.473,-0.09219583123213981,,人件費,-22013.359,-18740,-3273.3590000000004,-0.17467230522945565,,人件費,96119.24532958897,105237,-9117.754670411028,-0.08664019945847024,,会計士、税理士、監査法人、社労士,1851236,8350699,-6499463,-0.7783136477557149
原価,,1396931,894322.6826293825,1009216.9542449949,1174055.6353505063,840498.6775630274,883504.7886963853,1298113.8864730112,1089630.854600216,1055260.8154177386,1345498.7211600204,1007901.8007679962,1265380.8178275023,1644608.3207640343,,,13507993.955494815,379227.502936532,IT費用,,36501,,0,,IT費用,537.704,233,304.70399999999995,1.3077424892703862,,IT費用,325.87972723,0,325.87972723,0,,IT費用,678,815,-137,-0.16809815950920248,,IT費用,0,0,0,0,,IT費用,41620.380000000005,29613,12007.380000000005,0.40547664876912193,,IT費用,11449.028272699361,5839,5610.028272699361,0.9607857976878509,,広告宣伝費,2254481,9590000,-7335519,-0.7649133472367049
粗利,893146,1083043,724494.7543142282,741644.5614978486,919203.7085582679,836229.9338511493,847072.5728410777,1019493.6911690771,814123.3264391192,891344.0153141033,1311677.7863111158,806377.0005316286,949779.2946151765,1358919.7222579138,,,11220360.367700705,409140.4276427373,オフィス費用,,51458,,0,,オフィス費用,0,0,0,0,,オフィス費用,,0,,0,,オフィス費用,,0,,0,,オフィス費用,0,0,0,0,,オフィス費用,26846.009000000002,51458,-24611.990999999998,-0.47829280189669243,,オフィス費用,0,0,0,0,,交際費,393978.54546,150000,243978.54546,1.6265236364
人件費,199444,212412,222046.13055730343,235071.7759089509,223007.61999999976,238775.50543962538,233283.3247876641,236703.06758309502,238423.04611354065,236203.73058512984,248850.35951292657,248996.84070493933,249103.7845475166,258038.36149999953,321814.898,,2868503.5472406913,8934.576952482923,交通費および宿泊費,,4562,,0,,交通費および宿泊費,112.883,62,50.882999999999996,0.8206935483870967,,交通費および宿泊費,1749.4431909418004,3016,-1266.5568090581996,-0.41994589159754625,,交通費および宿泊費,,0,,0,,交通費および宿泊費,,2,,0,,交通費および宿泊費,,1128,,0,,交通費および宿泊費,,355,,0,,減価償却,10756247,11178087,-421840,-0.03773812102196017
その他販管費,376977,443487,338422.9299999998,326050.7399999999,346703.4073333333,330636.52636363625,351055.105,375026.589,346740.849,369971.8559999999,422826.72399999993,379466.51799999987,466166.0509999997,461705.05399999977,526007,,4514772.349696969,-4460.996999999916,人材採用 ,,32946,,0,,人材採用 ,,4200,,0,,人材採用 ,32566.21810046481,27927,4639.218100464808,0.16611945788895355,,人材採用 ,,0,,1,,人材採用 ,0,819,-819,-1,,人材採用 ,0,0,0,0,,人材採用 ,0,0,0,0,,リース資産の減価償却,135064599,135064581,18,1.3326958003823108e-07
管理部門コスト,103530,166804,87436.51963026224,109681.06584164657,112096.03060994695,122788.91751064,176716.86569087676,157714.2828211469,174228.96564678953,188429.16353612373,168107.32899999988,160880.74599999972,210585.89856104966,171024.25693026846,165004,,1839690.0417787505,-39561.6416307812,会計士、税理士、監査法人、社労士,,4620,,0,,会計士、税理士、監査法人、社労士,-1716.9989999999998,2807,-4523.999,-1.6116847167794797,,会計士、税理士、監査法人、社労士,,1813,,0,,会計士、税理士、監査法人、社労士,,0,,1,,会計士、税理士、監査法人、社労士,0,0,0,1,,会計士、税理士、監査法人、社労士,0,0,0,1,,会計士、税理士、監査法人、社労士,0,0,0,0,,リースの支払利息,5615463,5562997,52466,0.009431247221596495
エンジニアコスト,37373,33390,37235.05781165247,34981.11706183961,35856.404728796246,37465.7148368199,37926.77359499682,39636.24906396148,35752.24863326962,35346.663631619565,33808.56689882113,33374.237556679655,33243.17917433138,23845.042475050803,36700,,418471.25546783867,-9398.136699280578,家賃系,,117511,,0,,家賃系,0,0,0,0,,家賃系,0,0,0,0,,家賃系,0,0,0,0,,家賃系,0,0,0,0,,家賃系,140680.06199999998,117511,23169.061999999976,0.1971650483784495,,家賃系,0,0,0,0,,財務費用,0,0,0,0
販管費合計,717324,856093,685140.637999218,705784.698812437,717663.4626720762,729666.6641507215,798982.0690735376,809080.1884682033,795145.1093935997,829951.413752873,873592.9794117475,822718.3422616186,959098.9132828974,914612.7149053186,1049525.898,,9641437.194184247,-44486.19837757887,広告宣伝費,,4450,,0,,広告宣伝費,0,0,0,0,,広告宣伝費,,30,,0,,広告宣伝費,0,0,0,0,,広告宣伝費,1267.221,503,764.221,1.5193260437375744,,広告宣伝費,937.26,3917,-2979.74,-0.7607199387286189,,広告宣伝費,,0,,1,,一般管理費,17950225,20776156,-2825931,-0.13601799100853884
営業利益,175821,226950,39354.11631501024,35859.86268541159,201540.24588619173,106563.26970042777,48090.503767540096,210413.50270087377,18978.2170455195,61392.601561230375,438084.8068993683,-16341.341729989974,-9319.618667720933,444307.0073525952,,,1578923.173516456,453626.62602031615,業務委託費,,9141,,0,,業務委託費,7610.6720000000005,6705,905.6720000000005,0.13507412378821781,,業務委託費,,0,,0,,業務委託費,2461.507,2010,451.50700000000006,0.22463034825870642,,業務委託費,0,570,-570,-1,,業務委託費,0,0,0,0,,業務委託費,0,-143,143,-1,,保険料,2379119,180000,2199119,12.217327777777777
粗利率,0.45,0.437,0.44754568228651037,0.4235883619745841,0.43912557286944925,0.49872706182657733,0.48947397074958243,0.43989055826539025,0.4276409919660199,0.4578967447537851,0.4936359261882282,0.4444614576072848,0.4287632705555742,0.45244116345611346,,,0.45374472644044334,0.023677892900539232,社内会食,,192,,0,,社内会食,480.99300000000005,102,378.99300000000005,3.7156176470588242,,社内会食,210.30454545999999,62,148.30454545999999,2.3920087977419353,,社内会食,,0,,1,,社内会食,0,0,0,1,,社内会食,200.019,0,200.019,1,,社内会食,0,27,-27,-1,,IT費用,56517201.269999996,43929367,12587834.269999996,0.28654713531383225
営業利益率,0.089,0.092,0.024310410437209225,0.020481267286406264,0.09628059058838483,0.06355427406379784,0.027788704993122058,0.09078909852156526,0.00996883801203711,0.031538297137662666,0.16486853834045762,-0.009007073068529577,-0.0042071986649507235,0.14792836989980734,,,0.06385071779869336,0.15213556856475807,銀行関係（振込手数料）,,907,,0,,銀行関係（振込手数料）,0,0,0,0,,銀行関係（振込手数料）,0,0,0,0,,銀行関係（振込手数料）,0,0,0,0,,銀行関係（振込手数料）,0,0,0,0,,銀行関係（振込手数料）,2374.273,907,1467.2730000000001,1.617721058434399,,銀行関係（振込手数料）,0,0,0,0,,業務委託費,8904044,7999008,905036,0.11314352979769482
1人当たり粗利益,2163,2630,1766.2243922162836,1743.1175648236367,2061.4394583402855,1795.4920202794528,1784.6636801661984,2113.311125756944,1690.2945485997573,1840.524412079993,2725.31213402449,1623.8821732980807,1872.0186366596206,2740.628906668056,,,,,その他,,2930,,0,,その他,268.79999999999995,204,64.79999999999995,0.31764705882352917,,その他,1020.354,277,743.354,2.6835884476534297,,その他,0,0,0,0,,その他,,0,,0,,その他,7743.924999999999,2449,5294.924999999999,2.162076357697019,,その他,0,0,0,0,,人材採用(新卒),36355968.10046481,22040000,14315968.100464813,0.6495448321445014
1人当たり営業利益,426,551,95.94023939549568,84.28290284076459,451.9814394189457,228.80489283712132,101.31997916892364,436.1666973704691,39.40284693044412,126.7687671125792,910.221894762987,-32.90819741337835,-18.36900417965346,896.0651669419155,,,,,Grand Total,,397747,,0,,Grand Total,,32075,,0,,Grand Total,,51307,,0,,Grand Total,,6964,,0,,Grand Total,,7843,,0,,Grand Total,,188243,,0,,Grand Total,,111315,,0,,賃借料,432000,432000,0,0
"人数(正社員=1, Intern&Part Time=0.3)",413,412,410.1940599999991,425.4701899999992,445.9038099999992,465.73859666666596,474.6398899999989,482.41533333333285,481.6458333333325,484.2880699999994,481.2945166666655,496.5735899999991,507.35568333333316,495.8422933333329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,研究開発費,2975580,120000,2855580,23.7965
前月比_売上,1.097,1.25,0.652755809917205,1.0815682335671755,1.1955596288382981,0.8010133174818159,1.0321153642615244,1.339210617884832,0.8214307717168393,1.0225084993216471,1.365031292186894,0.6827844504113479,1.2209590449140948,1.355896590115975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人件費,130175968.03775942,194082215,-63906246.96224058,-0.3292741015050791
前月比_粗利,1.13,1.213,0.6689436655001031,1.023671402838318,1.2394127271719155,0.9097329852625818,1.012966097661673,1.203549405158639,0.7985565124052363,1.0948513405367446,1.47157299962225,0.6147675968497073,1.1778352978681257,1.4307742124537568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,電話代,4305728,3562500,743228,0.208625403508772
