Unnamed: 0,Profitability by Entity Department,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156235448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00
,Department,,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total,DM,IM,PG,CG,D2C,POKKT,[Dept 1],[Dept 2],[Dept 3],[Dept 4],[Dept 5],[Dept 6],[Dept 7],[Dept 8],[Dept 9],[Dept 10],[Dept 11],[Dept 12],Corporate,Total
,Revenue,,1346426.4959098836,290942555.95632386,491257959.19383556,264694266.74411243,280540458.318956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328781666.709138,1821281.7521435157,389339526.90461147,474789151.7081336,253960580.56111068,232034702.32429245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351945243.2502916,2553842.3089487865,486842284.82654047,613954250.578052,186855353.01314,167967449.7253193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458173180.4520006,2521724.7909548357,377210625.72359407,484077828.8239838,103589104.06207167,240175034.62986994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207574318.0304742,752023.2435364067,413673255.1161151,463324784.33922577,92098909.65239657,227572035.6708338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197421008.0221076,756867.8998871394,478990966.03594667,505277815.48575604,284443864.6053423,305661950.38591933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575131464.4128516,1379925.6625935761,391528991.0592775,554864191.2770903,60959383.854266904,314938151.67664194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323670643.5298703,-765983.1472541487,378449906.0348864,561776549.9863471,50310216.70756784,305246793.2556746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295017482.8372216,1843149.4580732272,435738965.6659724,555724277.2443786,461124396.2533575,512474455.86317575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966905244.4849577,202432.3433487401,358536317.5640666,544288408.445422,9842671.759718284,367064554.1047861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279934384.2173417,1781304.554667501,304003772.0745055,602924550.1311231,7677990.603796131,405763784.2545064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322151401.6185987,1386432.9455645438,457924529.9595775,694757138.3657275,438539606.509569,579840690.8714461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172448398.651885
,Cost of Goods,,71662.41208504213,139670209.13371012,297068206.9227689,202530054.52704778,142573806.67918006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781913939.6747918,1427379.9481045185,231437388.00207326,328305477.9242032,196753584.08667928,92326263.91476227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850250093.8758225,2143676.2011953937,286313914.6651295,403057974.51197547,131375251.5681178,-27398292.20793917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795492524.7384791,2763606.4872280965,169004283.3760461,307094149.13713527,71639724.43180072,96668540.11342525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647170303.5456355,434667.666426286,209971306.93611524,293862488.7505903,61345974.08601644,84649290.80079383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650263728.2399421,-677483.0530377484,273126469.49991417,334963194.976375,215388285.75710177,129689306.84096472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952489774.0213178,130701.61582605855,238206243.9886389,362323789.7772472,41814450.238455065,142185369.59470946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784660555.2148767,843708.869604155,189434860.39598027,373498470.61849517,38627853.02415965,129442925.70894314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731847818.6171824,881352.1461202321,182303667.99608144,368305500.2279684,346979561.7614159,217504402.86803147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115974484.9996176,594023.5224153051,202580230.75410837,351750928.3830906,6313373.121143189,174801142.03437147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736039697.815129,3300390.44310749,176692968.89579096,407641660.207066,10468402.164550897,179390250.4498782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777493672.1603936,-321603.8353464348,223087832.66239432,442028341.9331954,317018533.7655128,260944660.4458437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242757764.9715998
,Gross Profit,,1274764.0838248415,151272346.82261378,194189752.27106664,62164212.21706467,137966651.63977593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546867727.0343459,393901.80403899716,157902138.9025382,146483673.78393042,57206996.47443137,139708438.4095302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501695149.37446916,410166.10775339283,200528370.161411,210896276.06607658,55480101.44502221,195365741.93325847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662680655.7135217,-241881.69627326095,208206342.34754795,176983679.68684852,31949379.63027094,143506494.51644468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560404014.4848388,317355.5771101206,203701948.17999986,169462295.5886354,30752935.566380125,142922744.87003997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547157279.7821655,1434350.9529248879,205864496.53603244,170314620.5093811,69055578.84824055,175972643.54495463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622641690.3915336,1249224.0467675175,153322747.0706386,192540401.49984315,19144933.61581184,172752782.0819325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539010088.3149936,-1609692.0168583037,189015045.63890615,188278079.3678519,11682363.683408197,175803867.54673147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563169664.2200394,961797.3119529951,253435297.669891,187418777.01641017,114144834.49194162,294970052.9951443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850930759.4853401,-391591.17906656506,155956086.80995822,192537480.06233132,3529298.638575095,192263412.0704146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543894686.4022126,-1519085.8884399887,127310803.17871454,195282889.924057,-2790411.5607547667,226373533.8046282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544657729.458205,1708036.7809109786,234836697.29718316,252728796.43253207,121521072.74405615,318896030.42560244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929690633.6802847
,Gross Profit %,,0.9467758453188978,0.5199388804617593,0.3952908011703994,0.23485288511050603,0.49178878678139515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4115557436826466,0.21627724737010265,0.40556411047682905,0.30852363255759074,0.22525935461336538,0.60210148314054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3710913233203988,0.16060745266696813,0.4118959597621194,0.34350487168630706,0.2969147019358913,1.163116676789129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4544595008311055,-0.09591914912399062,0.5519630894494308,0.36560996837391163,0.3084241332092856,0.5975079580506789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46407414112519785,0.4220023514402942,0.4924223300895345,0.3657527102296403,0.3339120482799318,0.628032985022673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4569464508443496,1.8951139996012138,0.4297878480668109,0.33707124138360733,0.24277401428240747,0.5757100068319823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39529506232270617,0.9052835820297708,0.3915999851143221,0.3470045544959155,0.3140604842985429,0.5485292307783143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4072086141289649,2.1014718439023534,0.4994453496349456,0.33514763008962845,0.23220658641390615,0.5759400964434644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4348741786761094,0.5218227462456729,0.5816218370155327,0.3372513757105363,0.24753588276692812,0.575580011101856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43262417540005077,-1.9344299067464321,0.43497988675049787,0.3537416507036229,0.35857120147183597,0.5237863746863693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4249395071410595,-0.8527940292184016,0.41878034048706836,0.32389274890463027,-0.363429926493416,0.5578948703382567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411948078556984,1.2319649402268642,0.5128283853191113,0.3637656707306733,0.2771039854558828,0.5499718033695283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4279460143942683
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A - Direct,,0,76807136.79999983,121747072,11518826,146811321.2408077,0,0,0,0,0,0,0,0,0,0,0,0,0,95524879.5396035,452409235.5804111,0,72730478.80000001,114343099,15310334,140894839.04605708,0,0,0,0,0,0,0,0,0,0,0,0,0,116136669.98478885,459415420.83084595,0,81654499.63333318,114113376,12021182,158912315.7,0,0,0,0,0,0,0,0,0,0,0,0,0,120445633.7864361,487147007.1197692,0,81572220.48423679,110015750,10630098,135450598.29999986,0,0,0,0,0,0,0,0,0,0,0,0,0,129268323.97615255,466936990.7603892,0,80079288.75386244,116011269.99999985,20126400,124164804.27850182,0,0,0,0,0,0,0,0,0,0,0,0,0,182496122.51087782,522877885.5432419,0,96479873.91224125,110910118,9425642,159373204.4010107,0,0,0,0,0,0,0,0,0,0,0,0,0,163482841.0965856,539671679.4098375,0,87104546.25585482,116726270,9606596,138741557.49999985,0,0,0,0,0,0,0,0,0,0,0,0,0,179795423.26259446,531974393.0184492,0,82624065.99999985,112469201,8636285.999999985,144825110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,194928277.8775782,543482941.377578,0,97143490.99999985,99788495.99999985,19616819,189168232.4950667,0,0,0,0,0,0,0,0,0,0,0,0,0,174742835.44607812,580459873.9411445,0,93350926,100766786.99999985,6191242,157887646.96537223,0,0,0,0,0,0,0,0,0,0,0,0,0,167431491.28021994,525628093.245592,0,97968811.99999985,112877584,30426881.999999985,189515983.40263182,0,0,0,0,0,0,0,0,0,0,0,0,0,217113333.608575,647902595.0112066,0,94299037.82588696,109387454,5996207.999999985,221267932.5,0,0,0,0,0,0,0,0,0,0,0,0,0,177968357.73466185,608918990.0605488
,Accounting and professional fee,Local,0,0,545455,0,67682,0,0,0,0,0,0,0,0,0,0,0,0,0,577745,1190882,0,0,1359999.9999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3167745,4527745,0,0,-1001614,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,-1894254,-2835868,0,0,0,0,78001,0,0,0,0,0,0,0,0,0,0,0,0,0,2210327,2288328,0,20500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576782,1597282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2904958,2904958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592909,592909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727745,727745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369857,3369857,0,0,3454545,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1383127,4837650,0,0,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,37407527,37407505,0,0,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,3999914,3999892
