Month,2025-12-01 00:00:00,,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Key Financials,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
i. P&L -Current Month/YTD,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,,OP,,YTD GP,,YTD OP,,,,,,,,,,,,,,,,,,,,
5942099.0913548665,,2372349.9107494396,,49496073.625990264,,9697619.25011953,,,,,,,,,,,,,,,,,,,,
-17011.60284091998,-0.0028547217385119887,1230546.878182799,1.077722552038308,-7611553.856607579,-0.1332843648412292,-3014966.279308893,-0.2371638933975731,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ii. Profits by Dept.,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Month (USD'000),,,,,,,,,,,,,,,,,,,,,,,,,,
Dept.,,Budget,Actual,GP Ach.%,"Var. vs, Bud.",Bud. GP %,Act. GP %,Outperfomed,Underperformed,Overall GP%,,,,,,,,,,,,,,,,
DM,,0,10916.8829244569,1,10916.8829244569,0,1.2319649402268642,10916.8829244569,,0.4279460143942684,,,,,,,,,,,,,,,,
IM,,2059440.5594405523,1500954.054041,0.7288163997550552,-558486.5053995522,0.39202309541835384,0.5128283853191113,,-558486.5053995522,0.4279460143942684,,,,,,,,,,,,,,,,
CG,,125598.5193706293,776699.50602218,6.183986164121994,651100.9866515506,0.5877361632099051,0.2771039854558828,651100.9866515506,,0.4279460143942684,,,,,,,,,,,,,,,,
PG,,2033625.26573426,1615311.0478226,0.7943012289628376,-418314.21791166,0.37741122310300707,0.3637656707306733,,-418314.21791166,0.4279460143942684,,,,,,,,,,,,,,,,
POKKT,,0,0,,0,0,0,,,0.4279460143942684,,,,,,,,,,,,,,,,
D2C,,1740446.3496503448,2038217.6005446292,1.1710890145818666,297771.25089428434,0.5141402507418965,0.5499718033695283,297771.25089428434,,0.4279460143942684,,,,,,,,,,,,,,,,
New Business,,0,0,,0,0,0,,,0.4279460143942684,,,,,,,,,,,,,,,,
Others,,0,0,,0,0,0,,,0.4279460143942684,,,,,,,,,,,,,,,,
