Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,BU Level Dept,共通系,,,,,,,,,,,,
,Irregular?,(空白),,,,,,,,,,,,
,type2,Local,,,,,,,,,,,,
,,,,,,,,,,,,,,
,SUM of Amount,,,,,Month (YYMM),,,,,,,,
,Cost Items,Account Number,Account (Line): Name,科目,Vendor Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,総計
,Accounting and professional fee,42010,Accounting and Professional Fees,会計士、税理士、監査法人、社労士,VEN0000327 TH中央社会保険労務士法人,,1560000,,850000,0,-803333,,,1606667
,,,,,VEN0034861 TH中央社会保険労務士法人,20000,40000,20000,,,,,,80000
,,,,,VEN0057176 蓜島亮行政書士事務所,,,,,36046,,,,36046
,,,,,VEN0064153 辻・本郷税理士法人,,,,,20000,30000,30000,,80000
,,,,,VEN0064157 辻・本郷税理士法人,,,,,904000,2036000,,,2940000
,,,,,VEN0064504 美紀子成田 (行政書士＆国際貿易 Nmk事務所),,,,,40909,,,,40909
,,,Accounting and Professional Fees 集計,,,20000,1600000,20000,850000,1000955,1262667,30000,,4783622
,,42011,Legal Fees,会計士、税理士、監査法人、社労士,VEN0008418 司法書士法人中央ライズアクロス・行政書士法人中央ライズアクロス,,,,,,34546,,,34546
,,,Legal Fees 集計,,,,,,,,34546,,,34546
,Advertising and marketing events,41020,Advertising and Marketing Events,広告宣伝費,VEN0017256 株式会社ユーザベース,450000,450000,,,,,,,900000
,,,,,VEN0029438 株式会社UPSIDER,30975,,6285,,,11782,10800,5718,65560
,,,,,VEN0031008 株式会社レントラックス,,,,,2500,,,,2500
,,,,,(空白),,,,,,-2500,,,-2500
,,,Advertising and Marketing Events 集計,,,480975,450000,6285,,2500,9282,10800,5718,965560
,Client Gifts and Entertainment,41010,Client Gifts and Entertainment<USD50/person,社内会食,VEN0029438 株式会社UPSIDER,,18065,12718,20909,,,9000,,60692
,,,Client Gifts and Entertainment<USD50/person 集計,,,,18065,12718,20909,,,9000,,60692
,,41011,Client Gifts and Entertainment >USD50/person,社内会食,VEN0029438 株式会社UPSIDER,38727,51900,40909,,4104,,,87273,222913
,,,Client Gifts and Entertainment >USD50/person 集計,,,38727,51900,40909,,4104,,,87273,222913
,Cost centre recharge,48900,Intercompany Cost Centre Recharge_E,その他,INTVEN0090 AnyMind Group Pte. Ltd.,563707,432250,688255,582195,651478,701892,700633,659974,4980384
,,,,,INTVEN0101 AnyMind Group Pte. Ltd.,325656,287412,371935,291364,328697,351747,333726,323670,2614207
,,,,,INTVEN0441 AnyMind Group Pte Ltd,10163,22883,4519,2763,5029,5772,5649,4512,61290
,,,Intercompany Cost Centre Recharge_E 集計,,,899526,742545,1064709,876322,985204,1059411,1040008,988156,7655881
,Depreciation - Lease,43011,Depreciation - Lease,家賃系,(空白),45021533,45021533,45021533,45021533,88988085,88988085,90855573,90855573,539773448
,,,Depreciation - Lease 集計,,,45021533,45021533,45021533,45021533,88988085,88988085,90855573,90855573,539773448
,Depreciation and amortization,43010,Depreciation,オフィス費用,(空白),3648446,3512013,3595788,3602706,3562617,3460953,3604363,3901331,28888217
,,,Depreciation 集計,,,3648446,3512013,3595788,3602706,3562617,3460953,3604363,3901331,28888217
,General expenses,48001,Intercompany Admin Expenses_E,その他,(空白),,,,,,-2904000,,,-2904000
,,,Intercompany Admin Expenses_E 集計,,,,,,,,-2904000,,,-2904000
,,48010,General Expenses,オフィス費用,VEN0000331 森ビル株式会社,,,,,,,0,,0
,,,,その他,CUS0008874 株式会社エヌライン,,,,,-34540,34540,,,0
