Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regional Finance (IRを含む),,,,,,,,,,,,,Regional Legal ,,,,,,,,,,,,,Regional HR,,,,,,,,,,,,,Regional 共通系,,,,,,,,,
,*人件費を除く,,,,,,,,,,,,,*人件費を除く,,,,,,,,,,,,,*人件費を除く,,,,,,,,,,,,,*人件費を除く,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUM of Amount,,Month (YYMM),,,,,,何目的の契約なのか,,,,,SUM of Amount,,Month (YYMM),,,,,,何目的の契約なのか,,,,,SUM of Amount,,Month (YYMM),,,,,,何目的の契約なのか,,,,,SUM of Amount,,Month (YYMM),,,,,,何目的の契約なのか,
,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,Grand Total,Comment,Next steps,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,Grand Total,Comment,Next steps,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,Grand Total,Comment,Next steps,,,,科目,Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,Grand Total,Comment,Next steps
,オフィス費用,VEN0050167 立替金,,2400,,,,2400,,,,,,一般管理費,VEN0046746 EIWA司法書士法人,,,10500,,,10500,JHD　SO登記,継続 & 金額ステイ,,,,会計士、税理士、監査法人、社労士,VEN0064193 辻・本郷税理士法人,,,,,50000,50000,労務アウトソーシング,継続 & 金額ステイ,,,,IT費用,INTVEN0383 AnyMind Group Pte. Ltd.,132709,124235,122473,122001,124352,625770,Regional チームのG-suiteかNetsuite利用料,継続 & 金額ステイ
,オフィス費用 Total,,,2400,,,,2400,,,,,,一般管理費 Total,,,,10500,,,10500,,,,,,会計士、税理士、監査法人、社労士 Total,,,,,,50000,50000,,,,,,,東京商工リサーチ,,,,3000,3000,6000,,
,その他,VEN0025017 三井住友海上火災保険株式会社,93333,93333,93333,93333,93337,466669,会社役員賠償責任保険の費用。保険金支払限度額を下げることで、次回更新時に費用削減も可。,継続 & 金額ダウン,,,,会計士、税理士、監査法人、社労士,VEN0046746 EIWA司法書士法人,,,17500,,,17500,JHD総会登記,継続 & 金額ステイ,,,,業務委託費,VEN0000327 TH中央社会保険労務士法人,30000,30000,30000,30000,,120000,労務アウトソーシング,継続 & 金額ステイ,,,,,東京商工リサーチ　手数料,3000,273000,3000,,,279000,企業信用調査,継続 & 金額ステイ
