Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regional Finance (IRを含む),,,,,,,,,,,Regional Legal ,,,,,,,,,,,Regional HR,,,,,,,,,,,Regional 共通系,,,,,,,
,*人件費を除く,,,,,,,,,,,*人件費を除く,,,,,,,,,,,*人件費を除く,,,,,,,,,,,*人件費を除く,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,type2,Regional,,,,,何目的の契約なのか,,,,,type2,Regional,,,,,何目的の契約なのか,,,,,type2,Regional,,,,,何目的の契約なのか,,,,,type2,Regional,,,,,何目的の契約なのか,
,Consolidation Classification,(複数のアイテム),,,,,Comment,Next steps,PIC,,,Consolidation Classification,(複数のアイテム),,,,,Comment,Next steps,,,,Consolidation Classification,(複数のアイテム),,,,,Comment,Next steps,,,,Consolidation Classification,(複数のアイテム),,,,,Comment,Next steps
,BU Level Dept,Finance,,,,,,ショット,,,,BU Level Dept,Legal,,,,,JHD　SO登記,継続 & 金額ステイ,,,,BU Level Dept,HR,,,,,労務アウトソーシング,継続 & 金額ステイ,,,,BU Level Dept,共通系,,,,,Regional チームのG-suiteかNetsuite利用料,継続 & 金額ステイ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,企業信用調査,継続 & 金額ステイ
,SUM of Amount,,Month (YYMM),,,,会社役員賠償責任保険の費用。保険金支払限度額を下げることで、次回更新時に費用削減も可。,継続 & 金額ダウン,Minako,,,SUM of Amount,,Month (YYMM),,,,JHD総会登記,継続 & 金額ステイ,,,,SUM of Amount,,Month (YYMM),,,,,,,,,SUM of Amount,,Month (YYMM),,,,,
