Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regional Finance (IRを含む),,,,,,,,,,,,,,,,,Regional Legal ,,,,,,,,,,,,,,,,,Regional HR,,,,,,,,,,,,,,,,,Regional 共通系,,,,,,,,,,,,,
,*人件費を除く,,,,,,,,,,,,,,,,,*人件費を除く,,,,,,,,,,,,,,,,,*人件費を除く,,,,,,,,,,,,,,,,,*人件費を除く,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,type2,Regional,,,,,,,,,,,何目的の契約なのか,,,,,type2,Regional,,,,,,,,,,,何目的の契約なのか,,,,,type2,Regional,,,,,,,,,,何目的の契約なのか,,,,,,type2,Regional,,,,,,,,,,,何目的の契約なのか,
,Consolidation Classification,(複数のアイテム),,,,,,,,,,,Comment,Next steps,,,,Consolidation Classification,(複数のアイテム),,,,,,,,,,,Comment,Next steps,,,,Consolidation Classification,(複数のアイテム),,,,,,,,,,Comment,Next steps,,,,,Consolidation Classification,(複数のアイテム),,,,,,,,,,,Comment,Next steps
,BU Level Dept,Finance,,,,,,,,,,,Intercompany IT Expenses,ショット,,,,BU Level Dept,Legal,,,,,,,,,,,JHD　SO登記,継続 & 金額ステイ,,,,BU Level Dept,HR,,,,,,,,,,労務アウトソーシング,継続 & 金額ステイ,,,,,BU Level Dept,共通系,,,,,,,,,,,企業信用調査,継続 & 金額ステイ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regional チームのG-suiteかNetsuite利用料,継続 & 金額ステイ
,SUM of Amount,,Month (YYMM),,,,,,,,,,,,,,,SUM of Amount,,Month (YYMM),,,,,,,,,,JHD総会登記,継続 & 金額ステイ,,,,SUM of Amount,,Month (YYMM),,,,,,,,,労務アウトソーシング,継続 & 金額ステイ,,,,,SUM of Amount,,Month (YYMM),,,,,,,,,,企業信用調査,継続 & 金額ステイ
