Unnamed: 0,科目,Account Number,Account (Line): Name,Type,Subsidiary,Date,Document Number,Transaction Number,Vendor Name,JE Name,Split,Memo,Description,Department,Class: Name,Cost Items,Nature,Amount,Unnamed: 19
,広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,Advanced Clinicals,Advertising and marketing events,,304965.0,FACEBKとﾗｲﾝｺｳｼｷｱｶｳﾝﾄ
,広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,waterpik,Advertising and marketing events,,340060.0,FACEBK
,広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,Brand Commerce & Marketing,BC,Advertising and marketing events,,363973.0,"ｽﾄｱﾏｯﾁ（STOREMATCH）
AMAZON.CO.JP
Shopee - Singapore
"
,広告宣伝費,41020.0,Advertising and Marketing Events,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,forencos,Advertising and marketing events,,163502.0,"ﾗｸｽﾙ（DP4*RAKSUL）
AMAZON.CO.JP"
,交通費および宿泊費,41310.0,Travel - Transportation - Domestic,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,Brand Commerce & Marketing,BC,Transportation & Accommodation,,36909.0,taxi
,IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,AnyLogi,IT expenses,,349330.0,"ｴｽﾀﾞﾌﾞﾘﾕ-ｴﾌｸﾞﾙ-ﾌﾟｼﾞﾔﾊﾟﾝ（SWF GROUP JAPAN K.K.）
ｼﾂﾌﾟｱﾝﾄﾞｺ-（SHIP&CO）"
,IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,forencos,IT expenses,,3264.0,GOOGLE*GSUITE FORENCOS
,IT費用,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,waterpik,IT expenses,,8683.0,"GOOGLE*GSUITE WATERPIK
SHOPIFY* 395647652"
,一般管理費,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,Brand Commerce & Marketing,BC,IT expenses,,4434.0,OPENAI *CHATGPT SUBSCR
,一般管理費,41430.0,Online Utilities and Software License Fees,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,Advanced Clinicals,IT expenses,,3264.0,GOOGLE*GSUITE ADVANCED
,一般管理費,48010.0,General Expenses,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,Advanced Clinicals,General expenses,,2209.0,AMAZON.CO.JP
,一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,Brand Commerce & Marketing,BC,General expenses,,313422.0,社内会食
,一般管理費,48060.0,Employee Welfare,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,AnyLogi,General expenses,,38827.0,社内会食
,一般管理費,48220.0,Advertising and Marketing Sample,Bill,AnyMind Japan Inc,2025-07-30,UPSIDER_D2C_202507,VENDBILL388454,VEN0029438 株式会社UPSIDER,,80011 - Accounts Payable : Non-trade Creditors,UPSIDER_D2C_202507,,D2C Solutions,Advanced Clinicals,General expenses,,6273.0,競合調査・偽造品確認などのため、相乗りの商品を購入しました。
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,361277.0,
