Unnamed: 0,Account (Line): Number,Account (Line): Name,Type,Subsidiary: Name,Date,Document Number,Transaction Number,Name,JE Name,Split,Memo,Description,Department: Name,Class: Name,Consolidation Classification,Nature,Amount
2,40001,Intercompany Employee Compensation_E,Bill,AnyMind Japan Inc,2025-02-28,INVAJG0004567,VENDBILL330773,INTVEN0265 GROVE Inc.,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,intercompany Employee Compensation,intercompany Employee Compensation 12月出向者本給等,Human Resource,Not Applicable,Staff costs,,748406
2,40001,Intercompany Employee Compensation_E,Invoice,AnyMind Japan Inc,2025-02-28,INVAJP0014234,CUSTINVC110082,INTCUS0052 AnyMind (Thailand) Limited_AJP,INTCUS0052 AnyMind (Thailand) Limited_AJP,61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation_Elimination,Finance,Intercompany,Staff costs,,-877421
3,40001,Intercompany Employee Compensation_E,Bill,AnyMind Japan Inc,2025-03-31,INVATI0008003,VENDBILL344017,INTVEN0091 PT. AdAsia Technology Indonesia,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,03.2025 AnyTag Recharge Cos incentive,CAM0053957 CAM0055680 CAM0055178 CAM0058397 CAM0058857,Human Resource,Not Applicable,Staff costs,,65180
3,40001,Intercompany Employee Compensation_E,Bill,AnyMind Japan Inc,2025-03-31,INVAJG0005010,VENDBILL341775,INTVEN0265 GROVE Inc.,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,intercompany Employee Compensation,intercompany Employee Compensation 3月出向者本給等,Human Resource,Not Applicable,Staff costs,,748406
3,40001,Intercompany Employee Compensation_E,Invoice,AnyMind Japan Inc,2025-03-31,INVAJP0014627,CUSTINVC113180,INTCUS0052 AnyMind (Thailand) Limited_AJP,INTCUS0052 AnyMind (Thailand) Limited_AJP,61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation_Elimination,Finance,Intercompany,Staff costs,,-877154
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-01,社会保険料_202502,VENDBILL329590,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,社会保険料_202502,,Not Applicable,Not Applicable,Staff costs,,3157626
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-01,雇用保険料_202502,VENDBILL329591,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,雇用保険料_202502,,Not Applicable,Not Applicable,Staff costs,,196957
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-01,住民税_202502,VENDBILL329589,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,住民税_202502,,Not Applicable,Not Applicable,Staff costs,,448900
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-01,所得税_202502,VENDBILL329588,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,所得税_202502,,Not Applicable,Not Applicable,Staff costs,,903957
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-01,給与_202502,VENDBILL329587,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,給与_202502,,Not Applicable,Not Applicable,Staff costs,,9717838
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-28,INVATW0004998,VENDBILL334185,INTVEN0093 AnyMind Group Pte. Ltd. Taiwan Branch,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,Intercompany COS Recharge and compensation recharge,Employee Compensation_Ruby,Finance,Not Applicable,Staff costs,,113642
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-28,INVATW0004998,VENDBILL334185,INTVEN0093 AnyMind Group Pte. Ltd. Taiwan Branch,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,Intercompany COS Recharge and compensation recharge,Employee Compensation (D2C EP)_Freda,D2C Anylogi,AnyLogi,Staff costs,,240922
2,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-02-28,INVATW0004998,VENDBILL334185,INTVEN0093 AnyMind Group Pte. Ltd. Taiwan Branch,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,Intercompany COS Recharge and compensation recharge,[Accrual] Bonus_Ruby,Finance,Not Applicable,Staff costs,,9468
2,40003,Intercompany Employee Compensation,Invoice,AnyMind Japan Inc,2025-02-28,INVAJP0014233,CUSTINVC110081,INTCUS0244 AnyMind Group Inc. (JPY),INTCUS0244 AnyMind Group Inc. (JPY),61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation,Not Applicable,Not Applicable,Staff costs,,-8004197
2,40003,Intercompany Employee Compensation,Invoice,AnyMind Japan Inc,2025-02-28,INVAJP0014236,CUSTINVC110084,INTCUS0368 GROVE Inc._For AJP,INTCUS0368 GROVE Inc._For AJP,61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation,Administration,Intercompany,Staff costs,,-3259539
2,40003,Intercompany Employee Compensation,Invoice,AnyMind Japan Inc,2025-02-28,INVAJP0014235,CUSTINVC110083,"INTCUS0369 Engawa Co., Ltd.","INTCUS0369 Engawa Co., Ltd.",61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation,Brand Commerce & Marketing,Intercompany,Staff costs,,-2284122
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,給与_202503,VENDBILL340470,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,給与_202503,,Not Applicable,Not Applicable,Staff costs,,10611278
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,雇用保険料_202503,VENDBILL340475,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,雇用保険料_202503,,Not Applicable,Not Applicable,Staff costs,,219822
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,社会保険料_202503,VENDBILL340474,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,社会保険料_202503,,Not Applicable,Not Applicable,Staff costs,,3492657
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,所得税_202503,VENDBILL340472,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,所得税_202503,,Not Applicable,Not Applicable,Staff costs,,1319581
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,住民税_202503,VENDBILL340473,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,住民税_202503,,Not Applicable,Not Applicable,Staff costs,,440700
