Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,SUM of Amount,,Month (YYMM),,,,,,,,,,何目的の契約なのか,
,科目,Vendor Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,Grand Total,Comment,Next steps
,IT費用,【ＢｔｏＢ】まい泉デリバリー,,,,,,,14285,,,14285,オフラインイベントでの軽食代金,ショット
,,ADOBE ADOBE SYSTEMS,,19600,,19600,10780,,19600,,19600,89180,APMのクリエイティブ制作に利用,継続 & 金額ステイ
,,AHREFS* AHREFS,,95280,,104520,42240,,104520,,86040,432600,自社メディアの分析ツール,継続 & 金額ステイ
,,ALGOLIA,,26559,,22330,1347,,18584,,10376,79196,エンジニア使用ツール、過去使用していた奥山氏退職につき解約予定,カット
,,ALGOLIA ,,,,,7779,,1482,,10309,19570,ICCにて利用中,継続 & 金額ステイ
,,ANLATAN INC.,,,,,,,3718,,7543,11261,AI関連のツール,継続 & 金額ステイ
,,"BT*ONESIGNAL, INC.",,,,,,,43427,,45924,89351,マーケティング関連のツール費用,継続 & 金額ステイ
,,ＣｏｎｏＨａ,,,,988,1089,,1980,,1980,6037,自社運営メディアのサーバー費用、GCPに統合予定,カット
,,GODADDY,,,,8958,,,,,,8958,自社運営メディアのサーバー費用、GCPに統合予定,カット
,,INTVEN0101 AnyMind Group Pte. Ltd.,1462196,1254096,1386387,,1309991,,1235499,1255817,,7903986,FastlyのコストでAnyManagerのインフラ,継続 & 金額ステイ
,,PADDLE.NET* EXOLYT,,,,,,,44000,,88000,132000,SNS分析ツール,継続 & 金額ステイ
,,PROGATE,,1355,,2710,1990,,3618,,3618,13291,中途、新卒社員向けの研修ツールで入社時にワンタイムで利用,継続 & 金額ステイ
,,STORYHUB,,,,50000,55000,,100000,,100000,305000,自社運営メディアのコンテンツ制作に利用,カット
,,Ｔａｙｏｒｉ,,7600,,7600,4180,,7600,,7980,34960,CSツール,継続 & 金額ステイ
,,URLBOX LTD,,,,,2576,,5686,,5715,13977,AI化プロジェクトでのツール利用料,継続 & 金額ステイ
,,VEN0000298 株式会社プレジデント社,,,,,450000,,450000,,,900000,,カット
,,VEN0001083 Google Asia Pacific Pte. Ltd.,4766559.3,4515817.5,5494454,4823298,5768661,4481273.7,5144292,4576437.9,4558569.3,44129362.699999996,Google Ad Managerのコスト,継続 & 金額ステイ
,,VEN0004483 INTEGRAL AD SCIENCE JAPAN K.K.,3550000,3550000,3550000,3550000,3550000,3550000,3550000,3550000,3550000,31950000,売上連動で顧客へ再販しているツール,継続 & 金額ステイ
,,VEN0008626 株式会社マクロミル,460000,500000,340000,2960000,60000,,,,,4320000,APM配信時の計測ベンダー,継続 & 金額ステイ
,,VEN0014372 株式会社アイズ,,,3000,,,,4000,,,7000,リード獲得ツール,継続 & 金額ステイ
,,VEN0024819 Polar Mobile Group Inc.,43198,,,85008,,64413,,88890,,281509,APM配信時のクリエイティブツール,継続 & 金額ステイ
,,VEN0029438 株式会社UPSIDER,34457,26467,33217,48707,19687,22206,12615,42615,46579,286550,Figmaなど,継続 & 金額ステイ
,,VEN0030587 リプルゼ株式会社,-192,59,92,0,0,-173,,,,-214,媒体費用なので原価,カット
,,VEN0036732 株式会社DataSign,48000,0,96000,48000,48000,48000,48000,73920,76800,486720,売上連動で顧客へ再販しているツール,継続 & 金額ステイ
,,"VEN0037465 Five Media Marketing, LTD.",344427,344427,371866,356808,369249,402194,392395,557819,368491,3507676,売上連動で顧客へ再販しているツール,継続 & 金額ステイ
,,VEN0038792 Lumen Research Ltd,76818,0,161490,-155637,136185,152763,64769,75630,-213,511805,APM配信時の計測ツール,継続 & 金額ステイ
,,VEN0043570 株式会社Hookmeup,1022000,7000,3149000,451000,626000,212000,-100000,,,5367000,"APM配信時のクリエイティブ外注費
6月以降カット",カット
,,VEN0046408 Optable Technologies Inc.,1022788,973031,973993,925275,,1876505,2572378,1949934,955851,11249755,APM配信時のデータ利用費,継続 & 金額ステイ
,,VEN0049661 ID5 Technology Ltd,,,1500000,500000,500000,500000,500000,500000,500000,4500000,APM配信時のデータ利用費,継続 & 金額ステイ
,,VEN0051262 株式会社サイバーエージェント,,-3254,34586,1153234,606208,-760813,,,,1029961,広告配信ツールで売上連動,カット
,,VEN0056072 Intent IQ LLC,84405,75113,88714,,117013,262710,110440,88528,,826923,広告配信ツールで売上連動,継続 & 金額ステイ
,,VEN0058377 Browsi Mobile K.K.,,354021,81002,,721466,465473,523179,336215,204717,2686073,広告配信ツールで売上連動,継続 & 金額ステイ
,,VEN0058919 株式会社テミクス・データ,,102270,2186,,,,50000,5000,105659,265115,APM配信時のデータ利用費,継続 & 金額ステイ
,,VEN0061916 株式会社J-WAVE,,,,,80,,,,20000,20080,,
,,VEN0062225 クラスメソッド株式会社,,,,206179,579336,463217,494414,1044497,,2787643,自社運営メディアのサーバー費用、GCPに統合予定,カット
,,"VEN0065392 Ad-Shield, Inc.",,,,,,147966,806921,,1105856,2060743,アドブロック対策ツールへの支払い分で売上連動,継続 & 金額ステイ
,,VEN0068996 SeenThis Japan株式会社,,,,,,,,,175671,175671,広告配信ツール。売上連動なので、月ごとに変動あり。,継続 & 金額ステイ
,,WONDERSHARE,,,,,,,3600,,1800,5400,クリエイティブ生成ツール,継続 & 金額ステイ
,,ｗｐＸ 大阪府 大阪市北区,,,,,5940,,,,,5940,自社運営メディアのサーバー費用、GCPに統合予定,カット
,,X CORP. PAID FEATURES,,5346,,5435,2940,,4542,,5425,23688,自社運営メディア（ラーメンデータベース）のX有料アカウント費用,継続 & 金額ステイ
,,カクヤスインターネットショップ,,,,,,,34811,,,34811,オフラインイベントでの軽食代金,ショット
,,さくらインターネット,,1200,,1260,660,,10860,,19573,33553,自社メディアのサーバ,継続 & 金額ステイ
,,バリュードメイン,,,,,,,3843,,,3843,自社メディアのドメイン購入代金,ショット
,,ロリポップ ｂｙ ＧＭＯペパボ 東京都,,,,,14520,,,,,14520,自社運営メディアのサーバー費用、GCPに統合予定,カット
,IT費用 Total,,12914656.3,11855987.5,17265987,15175273,15012917,11887734.7,16285058,14145302.9,12081863.3,126624779.7,,
,エージェント手数料,VEN0058974 サイトキャッチャー株式会社,545455,,,,,,,,,545455,買収先メディアの紹介料,継続 & 金額ダウン
,エージェント手数料 Total,,545455,,,,,,,,,545455,,
,一般管理費,CUS0011013 株式会社博報堂DYメディアパートナーズ,,,,-190,,,,,,-190,,
,,VEN0000649 Expense Claims for AJP,105545,416965,164593,503346,251040,444864,236682,539593,294568,2957196,社内会食費用,継続 & 金額ダウン
,,VEN0029438 株式会社UPSIDER,101346,108300,21615,779509,213299,275000,117991,,18191,1635251,社内会食費用,継続 & 金額ステイ
,,VEN0043849 株式会社PABLO,178334,225525,230580,142226,150000,225000,225000,427174,519554,2323393,社員育成の外注費,継続 & 金額ステイ
,,リバーサル Employee Welfare,-750000,-750000,,,,,,,,-1500000,社内会食費用,継続 & 金額ダウン
,一般管理費 Total,,-364775,790,416788,1424891,614339,944864,579673,966767,832313,5415650,,
,交通費および宿泊費,VEN0000649 Expense Claims for AJP,4542,1935,10777,4628,193122,326179,45202,54033,42226,682644,交通費および宿泊費,継続 & 金額ダウン
