Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,粗利予算進捗率,YTD,差額,通期予想,,,,,営業利益予算進捗率,YTD,差額,通期予想,
,JP,0.9549946563653301,0.045005343634669855,1,,,,,JP,0.7636524486252666,0.23634755137473346,1,
,BM,0.8371704038174187,0.16282959618258136,1,,,,,BM,0.5211936540332317,0.4788063459667683,1,
,BC,2.9942843926520224,-1.9942843926520226,1,,,,,BC,7.5122391243182305,-6.5122391243182305,1,
,PG Web,0.8495637256147506,0.15043627438524945,1,,,,,PG Web,0.7847163012025621,0.2152836987974379,1,
,PG App,0.8450328565889941,0.1549671434110059,1,,,,,PG App,0.11699853487609735,0.8830014651239028,1,
,CG,1.3272596177642528,-0.3272596177642528,1,,,,,CG,1.770364275091836,-0.770364275091836,1,
,D2C CR,0.7582816446647852,0.24171835533521482,1,,,,,D2C CR,2.004561781533174,-1.004561781533174,1,
,GEC,0.3277911688692928,0.6722088311307072,1,,,,,GEC,1.7149328720293353,-0.7149328720293353,1,
,DX / AI,0.8123812792371355,0.18761872076286445,1,,,,,DX / AI,0.18351307817547025,0.8164869218245298,1,
,GROVE,1.3230071037302984,-0.3230071037302984,1,,,,,GROVE,1.8721849834941546,-0.8721849834941546,1,
,ENGAWA,0.8334108153570041,0.16658918464299585,1,,,,,ENGAWA,1.4942137053701954,-0.4942137053701953,1,
,LYFT,1.0583409161093937,-0.05834091610939373,1,,,,,LYFT,1.0048012019935884,-0.004801201993588272,1,
,AnyReach,0.7995263288394131,0.2004736711605869,1,,,,,AnyReach,0.38943640195924084,0.6105635980407592,1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,通期予想 - 5月以前は下方修正前の数字を使用し、5月以降は下方修正後の数字を使用しています,,,,,,,,通期予想 - 5月以前は下方修正前の数字を使用し、5月以降は下方修正後の数字を使用しています,,,,
,粗利予算進捗,YTD,差額,通期予想,,,,,営業利益予算進捗,YTD,差額,通期予想,
,JP,11220360367.700705,528773821.59929466,11749134189.3,,,,,JP,1578923173.5164576,488670764.48354244,2067593938,2067.593938
,BM,2301244353.440459,447591896.5595412,2748836250,,,,,BM,577662251.223436,530682500.776564,1108344752,1108.344752
,BC,871221202.8384573,-580259794.8384573,290961408,,,,,BC,192320867.32625753,-166719862.86625752,25601004.46,25.601004460000002
,PG Web,1485928514.2089646,263120402.7910354,1749048917,,,,,PG Web,591404215.158152,162249320.84184802,753653536,753.653536
,PG App,791188208,145092792,936281000,,,,,PG App,7975178.337164689,60189592.662835315,68164771,68.164771
,CG,573841295.7944479,-141490843.69444788,432350452.1,,,,,CG,376199127.9720134,-163700980.9720134,212498147,212.498147
,D2C CR,798252945,254460055,1052713000,,,,,D2C CR,-238774599.39001074,119658989.39001074,-119115610,-119.11561
,GEC,193694484,397213699,590908183,,,,,GEC,-28101576.0142215,11715176.0142215,-16386400,-16.3864
,DX / AI,451521514.99999994,104278485.00000006,555800000,,,,,DX / AI,18405604.01549988,81890266.98450013,100295871,100.295871
,GROVE,1932694436.7503839,-471859924.75038385,1460834512,,,,,GROVE,259537304.82426727,-120909280.82426727,138628024,138.628024
,ENGAWA,595790390.5040458,119091609.49595416,714882000,,,,,ENGAWA,-190558751.84785214,63027628.84785214,-127531123,-127.531123
,LYFT,1031883437.7891431,-56882450.789143085,975000987,,,,,LYFT,69671333.78914347,-332907.7891434729,69338426,69.338426
,AnyReach,193099584.3748043,48417895.925195724,241517480.3,,,,,AnyReach,-56817781.87739226,-89079678.12260774,-145897460,-145.89746
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Check,0,-0.09999978542327881,-0.10000038146972656,,,,,Check,0,-0.4600001573562622,-0.46000003814697266,
,,,,,,,,,,,,,
,,,,,,,,,営業損失,実績YTD,予算YTD,差額,備考
,,,,,,,,,D2C CR,-238.77459939001074,-68.239787,-170.53481239001073,粗利の未達➡ △54m、予算内に収まっている➡ +19m
,,,,,,,,,GEC,-28.1015760142215,-28.837042,0.7354659857785002,
,,,,,,,,,DX / AI,18.40560401549988,31.587166,-13.18156198450012,粗利の未達➡ △44m、販管費オーバー➡ △11m
,,,,,,,,,ENGAWA,-190.55875184785214,-93.596913,-96.96183884785214,粗利の未達➡ △52m、予算内に収まっている➡ +16m
,,,,,,,,,LYFT,69.67133378914347,6.106047,63.56528678914347,
,,,,,,,,,AnyReach,-56.817781877392264,-9.410229727,-47.40755215039226,
