Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
bm,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,178877000,120629819,0.67,△50%,△13%,
,26年2月（来月）,203924000,152932998,0.74,0.26,△13%,
,26年3月（再来月）,230882000,82282459,0.35,△46%,△65%,
,26年Q1（1月-3月）,613683000,355845276,0.57,△40% (QoQ),△35% (YoY),
,,,,,,,
,,,,,,,
,月,粗利目標,粗利見込み,達成率,前月比,"前年同月比
※FY24はGE分も含む",
bc,26年1月（当月）,73855839,75275698,1.02,△62%,1.08,
,26年2月（来月）,75114821,54082671,0.72,△28%,0.59,
,26年3月（再来月）,109869403,94487686,0.86,0.75,1,
,26年Q1（1月-3月）,258840063,223846055,0.87,△48% (QoQ),#ERROR!,
,,,,,,,
,,,,,,,
lyft,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,83630755,91785379,1.1,△38%,0.37,
,26年2月（来月）,60186940,58705634,0.97,△36%,0.22,
,26年3月（再来月）,74466339,79678982,1.07,0.36,0.33,
,26年Q1（1月-3月）,218284033,230169995,1.05,△21% (QoQ),#ERROR!,
,,,,,,,
,,,,,,,
grove,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,"¥151,040,574",200000000,1.32,△5%,0.8,
,26年2月（来月）,"¥168,464,982",168000000,1,0.11,0.16,
,26年3月（再来月）,"¥174,318,758",174000000,1,0.04,0.25,
,26年Q1（1月-3月）,"¥493,824,314",542000000,1,△4% (QoQ),#ERROR!,
,,,,,,,
,,,,,,,
cg,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,3892500,3523954,0.9,△97%,△94%,
,26年2月（来月）,4197500,4100000,0.98,0.16,△93%,
,26年3月（再来月）,118857749,118000000,0.99,27.78,1.12,
,26年Q1（1月-3月）,126947749,125623954,0.99,#ERROR!,△28% (YoY),
,,,,,,,
,,,,,,,
d2c cr,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,47196450,38180269,0.81,△55%,△15%,
,26年2月（来月）,74425544,66625544,0.9,0.75,△1%,
,26年3月（再来月）,91407886,84387693,0.92,0.27,0.05,
,26年Q1（1月-3月）,213029880,189193506,0.89,△4% (QoQ),△2% (YoY),
,,,,,,,
,,,,,,,
web,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,152762994,121121007,1.24,-0.25,0.09,
,26年2月（来月）,158770346,184166175,1.16,-0.03,0.11,
,26年3月（再来月）,203806529,214339878,1.05,0.13,0.02,
,26年Q1（1月-3月）,515339869,588201344,1.14,-8% (QoQ),#ERROR!,
,,,,,,,
,,,,,,,
,,,,,,,
app,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,,,68574284,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
engawa,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,27199857,28000000,1.03,-0.69,0.25,
,26年2月（来月）,32419737,30000000,0.93,0.07,0.3,
,26年3月（再来月）,60684682,53000000,0.87,0.77,0,
,26年Q1（1月-3月）,120304275,112000000,0.93,-40% (QoQ),#ERROR!,
,,,,,,,
,,,,,,,
,,,,,,,
anyreach,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,36354176,28625439,0.79,△20%,1.7,
,26年2月（来月）,38316373,36567526,0.95,0.28,2.28,
,26年3月（再来月）,40420446,54343491,1.34,0.49,3.57,
,26年Q1（1月-3月）,115090995,119536456,1.04,#ERROR!,#ERROR!,
,,,,,,,
,,,,,,,
,,,,,,,
dxai,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,39299829,22972375,0.58,0.61,0.66,
,26年2月（来月）,31884397,16646353,0.52,0.72,0.6,
,26年3月（再来月）,29241517,14419449,0.49,0.87,0.65,
,26年Q1（1月-3月）,100425743,54038177,0.54,0.53,0.64,
,,,,,,,
,,,,,,,
,,,,,,,
SunSmile,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,,230600000,,,,
,26年2月（来月）,,248100000,,,,
,26年3月（再来月）,,272400000,,,,
,26年Q1（1月-3月）,,751100000,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
all,月,粗利目標,粗利見込み,達成率,前月比,前年同月比,
,26年1月（当月）,1079763575,1029288224,0.9532533304802396,0.08371305821847619,0.4206979662320325,724494754.3142282
,26年2月（来月）,1131844783,1019926901,0.9011190547670704,-0.00909494812213063,0.3752233265759053,741644561.4978486
,26年3月（再来月）,1489190823,1241339638,0.8335665374967195,0.21708686846372327,0.35045107677708187,919203708.558268
,26年Q1（1月-3月）,3700799181,3291554763,0.8894172858389422,0.05665311056195654,0.3799083525393028,2385343024.3703446
,,,,,,,
,,,,,,,
,,,1029288.224,,,,
,,,1019926.901,,,,
,,,1241339.638,,,,
,,,3291554.763,,,,
