Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,人件費,,,,,,,,,,7月➡8月,,7月➡8月,,Comment,,,,,5,May,,,,,,,,,,,,,,,,,,
,(千円）,,1月実績,2月実績,3月実績,4月実績,5月実績,6月実績,7月実績,8月予想,,先月差額,,先月比％,,,,,,,ランキング,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,All
,ALL,,254215.35609016728,285864.91433973785,270220.02588369726,297579.3539689812,293425.9633571435,288566.43910449307,297248.72321163444,328136.99,,30888.266788365552,,0.10391387540586261,,,,,,,部署,BM,GROVE,Engineer,ENGAWA,PG Web,LYFT,D2C Creator,DX / AI,PG App,HR,GEC,Finance,AnyReach,BC,共通系,CG,Legal,PR,JP
,,BM,37362.792199999836,45254.07849000001,42895.98651999993,50895.90079962554,51121.530450491286,64989.74726309505,51621.23941354078,54625,,3003.7605864592188,,0.05818846313231485,,,,,,,その他販管費,51121.530450491286,42689.7103371731,34549.99551499682,31109.017,24413.271099999998,19346.5989999999,18359.959399999858,10668.612,10074.559899999986,9805.312,9289.04249,8042.535054482557,4769.4271100000005,4480.901999999986,4139.34,1951.363,1312.531,0,286123.7073571435
,,PM,6652.954899999983,6973.813,6433.0815,6664.5677000000005,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,4814.479899999999,4119.41791,3688.16103,4794.03262,4769.4271100000005,3413.2048,12268.2119,20908,,8639.7881,,0.7042418382095275,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PG Web,23739.5361,23982.002599999996,23520.172099999854,24405.380100000002,24413.271099999998,25962.503,26923.586499999852,23621,,-3302.586499999852,,-0.12266517687009748,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PG App,7936.678900000001,7956.047399999986,7758.4989,10319.966900000001,10074.559899999986,9631.799,8560.4545,9490,,929.5455000000002,,0.10858599855883821,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CG,4345.989,4305.872,4483.656,4464.374000000001,4139.34,2953.362,2971.184,2543,,-428.1840000000002,,-0.14411224616179952,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D2C Creator,18412.126,17937.853,18985.847,18885.393199999853,18359.959399999858,17199.4176,19417.9698,13867,,-5550.969799999999,,-0.2858676708828747,,,,,,,,,,,,,,,,,,,,,,,,,,
