Unnamed: 0,Done,Unnamed: 2,Unnamed: 3,Jan,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Feb,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Mar,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Q1,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Apr,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,May,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,June,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,July,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Aug,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Sep,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Oct,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Nov,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Dec,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month,🔗 管理部門コスト実績共有,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,
,Q1,2025Q1 管理部門コスト,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total
,Q2,,,IT費用,4171477,184682,113653.4545,246000,,13566246,18282058.4545,,,,IT費用,3338936.2726993603,164573,45923,186000,,15679722,19415154.27269936,,,,IT費用,3938615,188449,166303.27273,246000,,12374412,16913779.27273,,,,IT費用,11449028.27269936,537704,325879.72722999996,678000,,41620380,54610991.99992936,,,,IT費用,4013743,230461,131156.45454200002,252042,,15171528,19798930.454542004,,,,IT費用,3323671.08,194351,113320.454549,251938,,13036871,16920151.534548998,,,,IT費用,3538364.6363789,201763,30363.636362999998,311933,,13889035,17971459.2727419,,,,IT費用,3483908,206899,51849,221968,,15944953,19909577,,,,IT費用,4034261.0909239994,410717,25486,2436047,,12155142,19061653.090924002,,,,IT費用,3724899,198455,25415,36079,,12457921,16442769,,,,IT費用,3561889.72729,202170,68349,36205,,13098310,16966923.72729,,,,IT費用,3513145.818141,142722,26293,39493,,16104183,19825836.818141,,,,IT費用,3072306.9091049996,181948,24890,39572,,19131780,22450496.909105
,Q3,,,オフィス費用,,,,,,7733152,7733152,,,,オフィス費用,,,,,,9076985,9076985,,,,オフィス費用,,,,372,,10035872,10036244,,,,オフィス費用,,,,372,,26846009,26846381,,,,オフィス費用,,,,,,9305543,9305543,,,,オフィス費用,,88739,,,,18108923,18197662,,,,オフィス費用,,,,,,12721952,12721952,,,,オフィス費用,,10000,,,,7409527,7419527,,,,オフィス費用,,,,,,26932084,26932084,,,,オフィス費用,,,,,,24856181,24856181,,,,オフィス費用,,,,19432,,19198168,19217600,,,,オフィス費用,,,,,,33492400,33492400,,,,オフィス費用,,,,,,25105499,25105499
,Q4,,,その他,,8800,519995,,43200,1819166,2391161,,,,その他,,87866,191231,,,455469,734566,,,,その他,,172134,309128,,2264,5469290,5952816,,,,その他,,268800,1020354,,45464,7743925,9078543,,,,その他,,91333,132763.54545,,,1772540,1996636.54545,,,,その他,,-7667,58100,14561,,3739021,3804015,,,,その他,,-31666,58100,,,1663686,1690120,,,,その他,,31156,-55562,,18200,3432983,3426777,,,,その他,,78309,336968,100800,,5883720,6399797,,,,その他,,10336,110886,3523,,701184,825929,,,,その他,,31911,62343,2101,,2115144,2211499,,,,その他,8934,14814,168026,,,2736559,2928333,,,,その他,,,13644,5001,-9262,6119965,6129348
,,,,交通費および宿泊費,,3000,65067.000002,,,4782,72849.000002,,,,交通費および宿泊費,502439,4636,1056469.1,,,,1563544.1,,,,交通費および宿泊費,,105247,627907.0909398003,4455,3000,882896,1623505.0909398,,,,交通費および宿泊費,502439,112883,1749443.1909418006,4455,3000,887678,3259898.1909418004,,,,交通費および宿泊費,86377,115757,759423.9090501,,137586,992403.2727,2091547.1817500999,,,,交通費および宿泊費,48281,42609,944719.1818219003,,,231300,1266909.1818219007,,,,交通費および宿泊費,132867,239467,191534.90908810002,,,587994,1151862.9090881,,,,交通費および宿泊費,,-4168,532948.7272729999,,,800684,1329464.727273,,,,交通費および宿泊費,,176592,1432266.9090304002,,,1283155,2892013.9090304,,,,交通費および宿泊費,,7835,3232787,,,1190913,4431535,,,,交通費および宿泊費,,2051,311452,,,1154900,1468403,,,,交通費および宿泊費,,,121765,,2398,1149114,1273277,,,,交通費および宿泊費,668434,40823,490318,,,,1199575
,,,,人材採用,,,11654696.454548912,,,198000,11852696.454548912,,,,人材採用,,,7258443.1,1080000,,198000,8536443.1,,,,人材採用,,2115750,13653078.5459159,,,198000,15966828.545915898,,,,人材採用,,2115750,32566218.100464813,1080000,,594000,36355968.10046481,,,,人材採用,,,13928349.272718001,,,198000,14126349.272718001,,,,人材採用,,,11449425.0909325,,,1798000,13247425.0909325,,,,人材採用,,,11110341.0000655,,,1198000,12308341.0000655,,,,人材採用,,,12444770.818329493,,,1790500,14235270.818329511,,,,人材採用,,,7439213.6362765,,,,7439213.6362765,,,,人材採用,,,3588397,,,1751750,5340147,,,,人材採用,,4727,8531486,,,,8536213,,,,人材採用,,,10592442,,,,10592442,,,,人材採用,,,25261046,,,,25261046
,,,,会計士、税理士、監査法人、社労士,,100000,,,,20000,120000,,,,会計士、税理士、監査法人、社労士,,610000,,500000,,1600000,2710000,,,,会計士、税理士、監査法人、社労士,,-2426999,,,,20000,-2406999,,,,会計士、税理士、監査法人、社労士,,-1716999,,500000,,1640000,423001,,,,会計士、税理士、監査法人、社労士,,900000,,,,850000,1750000,,,,会計士、税理士、監査法人、社労士,,100000,,15500,,1000955,1116455,,,,会計士、税理士、監査法人、社労士,,1150000,,,,1297213,2447213,,,,会計士、税理士、監査法人、社労士,,100000,,,,30000,130000,,,,会計士、税理士、監査法人、社労士,,250000,,20000,,,270000,,,,会計士、税理士、監査法人、社労士,,100000,,460327,,2809530,3369857,,,,会計士、税理士、監査法人、社労士,,100000,,460327,,822800,1383127,,,,会計士、税理士、監査法人、社労士,,33250000,,460327,,3697200,37407527,,,,会計士、税理士、監査法人、社労士,,100000,,455164,,3444750,3999914
,,,,家賃系,,,,,,46954935,46954935,,,,家賃系,,,,,,46893381,46893381,,,,家賃系,,,,,,46831746,46831746,,,,家賃系,,,,,,140680062,140680062,,,,家賃系,,,,,,46770027,46770027,,,,家賃系,,,,,,94809468,94809468,,,,家賃系,,,,,,94747128,94747128,,,,家賃系,,,,,,96713145,96713145,,,,家賃系,,,,,,96641793,96641793,,,,家賃系,,,,,,96570343,96570343,,,,家賃系,,,,,,77822416,77822416,,,,家賃系,,,,,,77190055,77190055,,,,家賃系,,,,,,76628912,76628912
