Unnamed: 0,Step 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,下記のリンクから直近のBaselineの数値をコピー＆ペースト,,,,,,,,,,,,,,,
,🔗BI ダッシュボード,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YonY,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YonY
,Brand Marketing,"¥611,875,000","¥244,767,886","¥239,950,000","¥120,307,826",0.5014,-0.3262,,,Influencer Marketing,¥0,"¥14,140,000",¥0,"¥3,772,931",-,-
,Brand Commerce,"¥121,552,200","¥73,703,116","¥70,952,514","¥51,071,993",0.7198,1.677,,,Brand Marketing,"¥593,625,000","¥495,584,632","¥233,650,000","¥219,175,966",0.9381,0.2212
,Performance Marketing,,,,,,9.2453,,,Brand Commerce,"¥27,846,962","¥34,497,118","¥20,483,325","¥21,855,769",1.067,-0.0262
,Publisher Growth,"¥564,802,078","¥496,414,775","¥219,744,702","¥186,059,381",0.8467,0.5448,,,Performance Marketing,¥0,"¥28,000",¥0,"¥14,000",-,-0.9903
,Creator Growth,"¥66,342,568","¥50,029,192","¥25,098,866","¥11,119,287",0.443,-0.742,,,Publisher Growth,"¥579,239,266","¥483,632,663","¥218,524,154","¥180,308,251",0.8251,0.2572
,D2C for Creator,"¥188,000,000","¥104,676,523","¥113,870,000","¥53,321,831",0.4683,0.2866,,,Creator Growth,"¥60,033,296","¥73,047,445","¥21,023,514","¥39,979,584",1.9017,-0.2822
,Global EC,,,,,,,,,D2C for Enterprise,¥0,"¥176,250",¥0,"¥176,250",-,-0.1739
,DX / AI,"¥52,571,429","¥51,024,196","¥46,000,000","¥48,624,196",1.057,0.9273,,,D2C for Creator,"¥180,200,000","¥145,016,998","¥103,035,000","¥85,362,140",0.8285,0.0495
,ENGAWA,"¥148,105,556","¥146,269,572","¥108,880,000","¥96,817,948",0.8892,-0.0807,,,Global EC,"¥85,244,719","¥65,438,640","¥47,773,715","¥33,395,640",0.699,0.0834
,Grove,"¥272,150,115","¥232,759,972","¥118,840,146","¥119,101,602",1.0022,0.1889,,,DX / AI,"¥46,857,143","¥32,718,829","¥41,000,000","¥29,908,169",0.7295,-0.0872
,LYFT,"¥155,999,177","¥172,082,548","¥88,913,697","¥95,094,142",1.0695,0.3908,,,ENGAWA,"¥120,264,444","¥200,152,523","¥91,610,000","¥110,376,708",1.2049,0.8375
,AnyReach,"¥26,197,515","¥10,754,427","¥25,735,961","¥10,754,427",0.4179,-,,,Grove,"¥201,134,123","¥280,176,919","¥105,877,877","¥156,535,299",1.4785,1.0536
,,"¥1,940,759,871","¥1,465,912,602","¥928,407,838","¥672,736,053",0.7246,0.1331,,,LYFT,"¥144,072,418","¥151,214,620","¥81,352,697","¥80,485,685",0.9893,0.3641
,,,,,,,,,,AnyReach,"¥21,275,048","¥17,854,203","¥20,879,340","¥17,854,203",0.8551,-
,,,,,,,,,,,"¥2,059,792,419","¥1,993,678,840","¥985,209,622","¥979,200,595",0.9939,0.318
,Step 2,,,,,,,,,,,,,,,
,自動的に反映する,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Business Domain,6月売上見込み,6月粗利見込み,,,,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YoY
,BM,244767.886,120307.826,,,,,,,Influencer Marketing,¥0,"¥7,171,489",¥0,"¥494,627",-,-0.2989
,BC,73703.116,51071.993,,,,,,,Brand Marketing,"¥751,231,250","¥491,583,529","¥294,500,000","¥242,668,184",0.824,0.119
,PM,,,,,,,,,Brand Commerce,"¥178,077,696","¥257,599,637","¥100,972,828","¥136,414,933",1.351,2.7422
,PG App,96831.308,62465.374,,,,,,,Publisher Growth,"¥770,534,619","¥680,913,652","¥290,808,413","¥231,369,087",0.7956,0.1212
,PG Web,399583.467,123594.00699999998,,,,,,,Creator Growth,"¥77,856,011","¥125,990,248","¥31,520,625","¥116,325,654",3.6905,0.67
,CG,50029.192,11119.287,,,,,,,D2C for Enterprise,¥0,"¥105,161",¥0,¥0,-,-1
,D2C CR,104676.523,53321.831,,,,,,,D2C for Creator,"¥242,000,000","¥167,416,839","¥91,911,000","¥82,586,241",0.8985,-0.2352
,GEC,,,,,,,,,DX / AI,"¥64,000,000","¥49,732,618","¥56,000,000","¥31,338,223",0.5596,0.289
,DX / AI,51024.196,48624.196,,,,,,,ENGAWA,"¥148,105,556","¥146,269,572","¥108,880,000","¥96,817,948",0.8892,-0.0807
,ENGAWA,146269.572,96817.948,,0.6619144821179898,0.5514629860548897,,,,Grove,"¥261,350,552","¥268,853,954","¥150,393,205","¥178,894,421",1.1895,-0.0591
,GROVE,232759.972,119101.602,,,,,,,LYFT,"¥165,074,252","¥212,526,506","¥96,427,810","¥115,137,202",1.194,0.0938
,LYFT,172082.548,95094.142,,,,,,,AnyReach,"¥36,997,740","¥38,245,893","¥36,426,910","¥37,241,295",1.0224,-
,AnyReach,10754.427,10754.427,,,,,,,,,,,,,
,合計,,,,,,,,,,,,,,,
