🔗 韓国案件,Unnamed: 1,Unnamed: 2,Done,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
(千円),,,,,,,5月以降はBMと合併,,,,,,,,,,,,
PM,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,9月（見込み）,,,,"累計
（1月 - 4月）"
売上高,19752,18873,28430.065,36613.544,35796.963,22922.511,7133,4002.382,4278.3,0,0,0,0,0,,,28430.065,,123763.083
原価,10008,9291,17477.715,17217.895,19244.947000000004,7917.396000000001,2403.3639999999996,1815.583,1880.545,0,0,0,0,0,,,17477.715,,61857.953
粗利,9744,9582,10952.349999999999,19395.649,16552.016,15005.114999999998,4729.636,2186.799,2397.755,0,0,0,0,0,,,10952.349999999999,,61905.13
人件費,4159,3553,6652.954899999983,6973.813,6433.0815,6664.5677000000005,0,0,0,0,0,0,0,0,0,,6652.954899999983,,26724.417099999984
その他販管費,-347,1882,319.5540000000001,-77.06800000000021,33.41699999999946,605.6210000000001,0,0,0,0,0,0,0,0,0,,319.5540000000001,,881.5239999999994
管理部門コスト,4535,5648,3353.643190661894,3999.4620392114284,4092.7352060490784,4429.599249409836,0,0,0,0,0,0,0,0,0,,3353.643190661894,,15875.439685332236
エンジニアコスト,631,457,1065.4504011800434,1114.359401385073,968.426213221692,1091.5725310989287,0,0,0,0,0,0,0,0,0,,1065.4504011800434,,4239.808546885737
営業利益,766,-1958,-439.25249184192216,7385.0825594034995,5024.356080729229,2213.754519491231,4729.636,2186.799,2397.755,0,0,0,0,0,,,-439.25249184192216,,14183.940667782037
粗利率,0.493,0.508,0.3852383031836191,0.5297397323788159,0.46238604096107255,0.6546017144456817,0.6630640684144119,0.5463743840542956,0.5604457377930486,0,0,0,0,0,,,,,0.5001905939915863
営業利益率,0.039,-0.104,-0.015450280955809359,0.20170357066236197,0.14035704874542648,0.09657556798603918,0.6630640684144119,0.5463743840542956,0.5604457377930486,0,0,0,0,0,,,,,0.11460558612443451
1人当たり粗利益,1121,1430,969.2345132743361,1716.4291150442477,1345.692357723577,1219.9280487804876,0,0,0,0,0,0,0,0,,,,,
1人当たり営業利益,88,-292,-38.87190193291347,653.5471291507521,408.48423420562835,179.98004223505941,0,0,0,0,0,0,0,0,,,,,
"人数(正社員=1, Intern&Part Time=0.3)",9,7,11.3,11.3,12.3,12.3,0,0,0,0,0,0,0,0,,,,,
前月比_売上,1.126,0.956,1.5063882265670534,1.287845947591045,0.9776972969347082,0.6403479256047502,0.3111788232973255,0.561107808776111,1.0689384471547194,0,0,0,0,0,,,,,
前月比_粗利,1.181,0.983,1.143012940930912,1.7709120873602473,0.8533880975057859,0.906543045874291,0.31520158292688866,0.4623609512444509,1.0964679424126316,0,0,0,0,0,,,,,
前月比_人件費,0.958,0.854,1.872489417393747,1.0482279084741755,0.922462575351533,1.0359837194663242,0,0,0,0,0,0,0,0,,,,,
前月比_販管費(人件費以外),-0.236,-5.418,0.16979489904357073,-0.2411736357548339,-0.43360408989463034,18.123140916300382,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
韓国案件 (千円),,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,9月（見込み）,,,,
売上高,,,1500,5381,5700,3300,7133,4002.382,4278.3,,,,,,,,,,
粗利,,,1080,4223,3941,1994,4729.636,2186.799,2397.755,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GROVE,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,9月（見込み）,,,,"累計
（1月 - 4月）"
売上高,233760,375401,205133.449491976,286150.167342935,311608.800058536,250661.111759251,299157.91840735095,385094.207579164,307867.56552809,370378.378130378,0,0,0,0,232759.972,,,,1053553.528652698
原価,134797,199195,96412.69390559,141536.832928695,171886.96803702498,117826.61639575902,146991.69304473794,208307.935237719,191803.41288048401,206680.67033777802,0,0,0,0,113658.37,,,,527663.111267069
